evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,577.4650213799151,0.0,0.06276444340263901,6.871204404859209,0.016745946420214146,5.371204404859209,0.6691128739345827,8.108073144670175e-05,Load Case 1,4.0,0.7469535312825848,1.265708787685312,1.2194113948659142,0.7278109474624133,0.5606118270152721,0.5325624018854479,0.06259535545505997,0.3033591845046827,0.640644489586404,0.13086763409466967,Durability check failed: minimum residual web ligament 0.0782 in is below 0.0800 in.,346.3730460873644,4.0,6.871204404859209,4.0,0.016745946420214146,4.0600000000000005,0.006453509951402647,280.01928416956355,5.0,8.499414628025436,5.0,0.0077561134103596606,4.12,0.0031078475864830535
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.9882050527030037,1.3697007423332441,1.2386950883417667,0.5240137541753598,1.1064840522136847,0.964612657684295,0.14931928448125048,0.11458205169883691,0.7966380502398017,0.4299587306501145,Web openings are too large; keep a remaining ligament larger than 0.149 in.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.0351968149541242,0.9698542994864782,0.8690555908198278,0.9095395273460849,0.7369279493351764,1.1314723277445988,0.14314428302598703,0.34221721290691987,0.11506659217136989,0.7555696145413955,Web openings are too large; keep a remaining ligament larger than 0.143 in.,,,,,,,,,,,,,,
4,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.783773744185829,1.2830075276714517,0.6995184857104523,0.7554348330067184,0.5651572360870322,1.171091155066567,0.07256250447393833,0.6144780400064,0.7628139736406147,0.0983978002759285,Web openings are too large; keep a remaining ligament larger than 0.073 in.,,,,,,,,,,,,,,
5,False,1712.7184178681332,0.0,0.10024568254890402,10.751569680760563,0.004863520890936317,9.251569680760563,0.8572679791201879,0.005459604775011748,Load Case 2,8.0,1.3330882336838374,1.3170656801596332,0.5016836001485993,1.0436886775790708,1.060102789772449,0.717936592914006,0.08716808447990498,0.2253902211880352,0.5207977578899897,0.3144658198411412,Durability check failed: width ratio 2.657 exceeds 2.250.,102.31570658353633,4.0,23.261335717374276,4.0,0.003574279375470995,4.33,0.0017004506931006871,221.36302611319164,8.0,10.751569680760563,8.0,0.004863520890936317,4.88,0.0029288681509222897
6,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.0258629581207095,0.6933651851044542,0.47729802993179726,0.8850975322007055,0.7188354145414106,1.0382038434547514,0.1147612472971318,0.020199740068725554,0.7243543856508061,0.6460451315456718,Web openings are too large; keep a remaining ligament larger than 0.115 in.,,,,,,,,,,,,,,
7,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.9443320259063288,0.902397792442579,0.9859354608052047,0.8025327476324046,1.104059885884196,0.4911871045938139,0.1767575122646343,0.12682198556647903,0.006535628874411822,0.07679517455511303,Web openings are too large; keep a remaining ligament larger than 0.177 in.,,,,,,,,,,,,,,
8,False,157.45138221506448,0.0,0.059105116066881444,4.277232373658682,0.03913920576425364,2.7772323736586824,0.5623243488933061,0.055889786874096535,Load Case 2,4.0,0.3853988326921638,0.43805230731462086,1.3669790619069997,0.8129286246974337,0.9153992886861171,0.5980669399851167,0.07389032282973282,0.6208073210253445,0.03205614701035946,0.6409076938746456,Durability check failed: width ratio 3.547 exceeds 2.250. | Durability check failed: max profile slope 0.232 in/in exceeds 0.220 in/in.,271.17208910317765,4.0,8.776714476298626,4.0,0.010829338618329166,3.89,0.004337109857121972,556.4345801404712,4.0,4.277232373658682,4.0,0.03913920576425364,3.67,0.016583905699400915
9,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.41466810725087755,1.3463832496449437,0.6431930098863963,0.9364498673883153,0.7118722130504749,0.5278477811128959,0.12399788427097759,0.29356373038006783,0.16269587871085275,0.41705869397704576,Web openings are too large; keep a remaining ligament larger than 0.124 in.,,,,,,,,,,,,,,
10,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.5892423231149515,0.8013451859356677,1.1436746034790115,0.5746838162214102,0.5310932497822892,0.9567267612733832,0.1055284994820989,0.41260869780970144,0.6435494306783154,0.5548664229976698,Web openings are too large; keep a remaining ligament larger than 0.106 in.,,,,,,,,,,,,,,
