evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,True,156.42225183813528,0.0,0.05899207665305612,5.917795995717881,0.03039367331924671,4.417795995717881,0.6327001273244218,6.883564267627062e-33,0.0214767955703647,0.0,Load Case 2,5.0,0.5339755160370536,0.9596812669034138,0.5339755160370536,0.4278490683000262,0.4904858346532496,0.4278490683000262,0.08563548381772432,0.25299707033709684,0.28730848167843565,0.25299707033709684,,354.3463828661047,4.0,6.716591773138884,4.0,0.03039367331924671,4.0,0.012331670609919132,402.1767566374658,5.0,5.917795995717881,5.0,0.017496453053964123,4.43,0.008606716084311877
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.9720401056458886,0.895595245024132,0.9720401056458886,0.4363355150774293,0.3600410535392808,0.4363355150774293,0.09127094325530355,0.6528948094091518,0.6961279961249999,0.6528948094091518,Web openings are too large; keep a remaining ligament larger than 0.091 in.,,,,,,,,,,,,,,
3,True,163.0263808529487,0.0,0.0795098330620961,6.0099506782145955,0.02020492642057637,4.5099506782145955,0.6441992682857015,6.62854586759052e-33,0.013867721867670147,0.0,Load Case 2,5.0,0.6294347732931309,0.5833285235042538,0.6294347732931309,1.3300689947310214,0.8288177411488427,1.3300689947310214,0.10444981871567449,0.508803357249542,0.44967406193325776,0.508803357249542,,217.27236512500593,4.0,10.95399315338923,4.0,0.006469627390286161,4.0,0.0022028254554368647,396.00990547680135,5.0,6.0099506782145955,5.0,0.02020492642057637,4.23,0.007891595467339474
4,False,164.9463669666427,0.0,0.06717409612044441,6.029877718760679,0.006509082150567013,4.529877718760679,0.6671950135647468,1.0431046107804854e-32,0.014489270773919882,0.009659813182935089,Load Case 2,8.0,0.8562039222387727,1.0874303745786738,0.8562039222387727,1.39007183726914,0.9216072501982284,1.39007183726914,0.07255470045492589,0.7873627739819968,0.5747348806503999,0.7873627739819968,Durability check failed: minimum shell area ratio 0.137 is below 0.180.,165.99260576386757,4.0,14.33798806306869,4.0,0.004423078875746029,4.0,0.0015656804401898566,394.7012047350707,8.0,6.029877718760679,8.0,0.006509082150567013,4.3,0.0027563887826029254
5,False,35.38467475226209,0.0,0.05692612334579375,3.558998147665334,0.03014197612040246,2.058998147665334,0.5524574321739759,1.2597332395169376e-32,0.05137179073403085,0.02406380027441957,Load Case 1,4.0,0.8938326579758533,0.8094998443258191,0.8938326579758533,1.0412709707883683,0.3971507260290878,1.0412709707883683,0.061524080075191195,0.36272326124584736,0.14380523736722514,0.36272326124584736,Durability check failed: height ratio 2.622 exceeds 1.900. | Durability check failed: max profile slope 0.161 in/in exceeds 0.160 in/in.,668.7275186027437,4.0,3.558998147665334,4.0,0.03014197612040246,4.0,0.009549097607756336,483.53685544082265,4.0,4.9220653466636834,4.0,0.019429098766310764,4.2,0.007364436279484743
6,True,79.025492124184,0.0,0.08335290518995173,4.636923476771273,0.026118138377972437,3.1369234767712726,0.6211308349308586,6.920471794363835e-33,0.008107446060316006,0.0,Load Case 2,8.0,0.4059610549875732,0.531384053406242,0.4059610549875732,1.0458263808386592,1.1915528387912673,1.0458263808386592,0.11290823556401305,0.5852305338021085,0.1789366833032539,0.5852305338021085,,117.3507355386551,4.0,20.281082935488143,4.0,0.0039746728630082485,4.0,0.001569211353686353,513.2713558726256,8.0,4.636923476771273,8.0,0.026118138377972437,4.36,0.011766432486162715
7,True,286.21466100816303,0.0,0.10476984602877087,7.477757393309153,0.01658719338812717,5.977757393309153,0.6855312188938341,7.645453991016542e-33,0.004292031411885113,0.0,Load Case 2,5.0,0.5166061289717242,0.6176320865421344,0.5166061289717242,0.984494863815509,1.1106028669859942,0.984494863815509,0.13135530177873866,0.15701233853001786,0.45716809130564273,0.15701233853001786,,114.213213371763,4.0,20.838219412084317,4.0,0.0038841200795593747,4.0,0.0015118009751572542,318.27724206853037,5.0,7.477757393309153,5.0,0.01658719338812717,4.33,0.007274852681884991
8,True,340.6809547825251,0.0,0.06456549904613433,8.022759067003834,0.010677326520979654,6.522759067003834,0.6946303778463754,4.87591246959793e-33,0.007272939289426989,0.0,Load Case 2,5.0,0.7104873453108028,0.9804166629201471,0.7104873453108028,0.8072168752254296,0.7531730077908276,0.8072168752254296,0.07468947844730586,0.5342357025083959,0.3368605876803722,0.5342357025083959,,205.70808571436336,4.0,11.569793145150147,4.0,0.009380737501626884,4.0,0.0035510356029694323,296.65604814040995,5.0,8.022759067003834,5.0,0.010677326520979654,4.3500000000000005,0.004762569644762432
9,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,1.005160877590499,0.9260093738552768,1.005160877590499,0.3943527831052679,1.0206336102445452,0.3943527831052679,0.12909888205760206,0.05393040143890125,0.46587656130816346,0.05393040143890125,Web openings are too large; keep a remaining ligament larger than 0.129 in.,,,,,,,,,,,,,,
10,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.6988148362079828,0.41987657544129986,0.6988148362079828,0.5106558697123176,1.2816147451575215,0.5106558697123176,0.12267229267704827,0.1091952331518979,0.7907234579011875,0.1091952331518979,Web openings are too large; keep a remaining ligament larger than 0.123 in.,,,,,,,,,,,,,,
11,True,177.18424183225076,0.0,0.06356108951163122,6.202147307490509,0.017555860555636085,4.702147307490509,0.6625328321791778,9.521852950278021e-33,0.02426613584823738,0.0,Load Case 2,5.0,0.645892669245275,0.7445009107989744,0.645892669245275,1.2402852023585553,0.6911921290305005,1.2402852023585553,0.07377176977745015,0.5767215083848327,0.14975712033747834,0.5767215083848327,,283.94701311036636,4.0,8.381845520857535,4.0,0.010001266680441784,4.0,0.003390904950605761,383.7380639324072,5.0,6.202147307490509,5.0,0.017555860555636085,4.26,0.007156042696990217
