evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,510.20962756811986,0.0,0.0808616275779439,8.016017886491412,0.017996940374951195,6.516017886491412,0.6950806496392256,2.255169705572441e-32,0.031960609249605115,0.006753566050737639,Load Case 2,5.0,0.48932885999207026,0.993835988332799,0.48932885999207026,0.6307290599618629,0.5172719552308637,0.6307290599618629,0.1142998278792436,0.39553904875887946,0.19823935158927986,0.39553904875887946,Durability check failed: width ratio 2.031 exceeds 1.700. | Durability check failed: max profile slope 0.126 in/in exceeds 0.120 in/in.,273.1348812520293,4.0,8.713643563539973,4.0,0.017996940374951195,4.0,0.0067898853879921894,296.90552512498436,5.0,8.016017886491412,5.0,0.012735411734621543,4.43,0.006307161264731964
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.8910843092431049,0.903675895770592,0.8910843092431049,0.45572215038094543,0.8066862661594769,0.45572215038094543,0.0989415317051709,0.3792210182231309,0.1202771530176344,0.3792210182231309,Web openings are too large; keep a remaining ligament larger than 0.099 in.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.7984731023218261,0.4718844600682271,0.7984731023218261,0.8746200120651622,0.47908092430760724,0.8746200120651622,0.11327402663431396,0.8323158146030649,0.6427949966458548,0.8323158146030649,Web openings are too large; keep a remaining ligament larger than 0.113 in.,,,,,,,,,,,,,,
4,False,608.6797909706163,0.0,0.08102789343321769,8.6193203055142,0.011159370883321158,7.119320305514201,0.7045113261615717,7.702689912797764e-33,0.024626050910144047,0.0018336015763637241,Load Case 2,5.0,0.9009450868657978,0.8038050356681883,0.9009450868657978,0.48913376120684937,0.918745102791771,0.48913376120684937,0.08874134555288254,0.3166451447352528,0.1292591668612992,0.3166451447352528,Durability check failed: height ratio 1.878 exceeds 1.700.,154.45248077511232,4.0,15.409270139631845,4.0,0.008178168147894738,4.0,0.003509180518311908,276.12386077326744,5.0,8.6193203055142,5.0,0.011159370883321158,4.29,0.004706194702969874
5,True,436.3704769974941,0.0,0.07277826897518805,7.527872702875874,0.012671973638759566,6.027872702875874,0.6852148747894221,4.0539369012851885e-33,0.0017740391142342653,0.0,Load Case 2,5.0,0.8483229517982607,0.8179304133089869,0.8483229517982607,0.6664367689160571,0.7348475904228045,0.6664367689160571,0.08583250516618324,0.48404258190804883,0.21905499697996036,0.48404258190804883,,218.8061977894161,4.0,10.877205600412491,4.0,0.010876091165927927,4.0,0.0041561235209538906,316.1583748740555,5.0,7.527872702875874,5.0,0.012671973638759566,4.28,0.005248384594255112
6,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.6107364222680294,0.7524473248099315,0.6107364222680294,0.5533822148167791,0.4883457643692003,0.5533822148167791,0.10653566762764954,0.12647547129999634,0.6770371581571785,0.12647547129999634,Web openings are too large; keep a remaining ligament larger than 0.107 in.,,,,,,,,,,,,,,
7,True,227.60232976704344,0.0,0.052451686403300266,5.852032290463231,0.013189667000536028,4.352032290463231,0.65321635248658,8.644787625791453e-33,0.01820243665689979,0.0,Load Case 2,8.0,0.6252003054253998,0.9994053565881713,0.6252003054253998,0.8110027607445783,0.7188174526264146,0.8110027607445783,0.06095368426289967,0.652935977441703,0.1440548072640264,0.652935977441703,,243.8960612116795,4.0,9.75825516892779,4.0,0.011846214190361694,4.0,0.00448602292948963,406.6963205036597,8.0,5.852032290463231,8.0,0.013189667000536028,4.37,0.006087503863322352
8,True,19.89321169132132,0.0,0.052952809554302406,2.779960673817688,0.05554404058710795,1.2799606738176879,0.43915219162428154,7.272701741473756e-33,0.014303105369574378,0.0,Load Case 2,5.0,0.7513458428428581,0.4734870783814364,0.7513458428428581,0.40231542244975804,0.4683195679841361,0.40231542244975804,0.08561885642410941,0.08730593076773993,0.046972505201548345,0.08730593076773993,,696.0146112923894,4.0,3.419468444176359,4.0,0.051620810669024554,4.0,0.019283376891637838,856.1272187824059,5.0,2.779960673817688,5.0,0.05554404058710795,4.2,0.02082573065617932
9,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.8655475934852432,0.4095264951845867,0.8655475934852432,0.37730515128092873,0.40401446393119683,0.37730515128092873,0.10926790808795847,0.271164718343354,0.8346496956978117,0.271164718343354,Web openings are too large; keep a remaining ligament larger than 0.109 in.,,,,,,,,,,,,,,
10,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.7273085894073885,0.5849268854712985,0.7273085894073885,0.47097307157252577,0.40775516171956383,0.47097307157252577,0.0807399800737514,0.6044966017305542,0.6952315400186979,0.6044966017305542,Web openings are too large; keep a remaining ligament larger than 0.081 in.,,,,,,,,,,,,,,
11,False,54.2299089150874,0.0,0.04110572237502408,3.6155208281219706,0.03063003897042333,2.1155208281219706,0.526357055592208,1.2934929020408022e-32,0.02320087841267708,0.005299991448332773,Load Case 2,5.0,0.6238616093215241,0.6279273685105214,0.6238616093215241,0.5382818202373877,0.8710529091768393,0.5382818202373877,0.06124817009529351,0.051913659695566966,0.8226148949945967,0.051913659695566966,Durability check failed: minimum residual web ligament 0.0664 in is below 0.0800 in. | Durability check failed: minimum shell area ratio 0.170 is below 0.180.,400.8521439199206,4.0,5.937351305461545,4.0,0.015005047437430422,4.0,0.006164199874089671,658.2730713340286,5.0,3.6155208281219706,5.0,0.03063003897042333,4.3,0.013079466336642087
12,False,2.2200641596149038,0.0,0.03691997121693084,1.5301707941998512,0.08509534268570654,0.030170794199851247,0.38944226202229437,1.7465260703233297e-32,0.0575282244956716,0.039926181662875454,Load Case 2,4.0,0.9099647374504668,0.36452180957913144,0.9099647374504668,0.720173760214824,0.4633752221695748,0.720173760214824,0.0618546458211189,0.6259780005975422,0.5474675639652332,0.6259780005975422,Durability check failed: minimum residual web ligament 0.0769 in is below 0.0800 in. | Durability check failed: width ratio 2.496 exceeds 1.700. | Durability check failed: max profile slope 0.136 in/in exceeds 0.120 in/in.,1091.8852887377834,4.0,2.179716152006475,4.0,0.05044220750499093,4.0,0.016534387016206575,1555.381927966111,4.0,1.5301707941998512,4.0,0.08509534268570654,4.11,0.028524310172739487
13,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.9711168119844727,0.3714611642931151,0.9711168119844727,0.8034302422941955,0.5628972227578122,0.8034302422941955,0.11440637131787994,0.4252294755241391,0.7248550425836023,0.4252294755241391,Web openings are too large; keep a remaining ligament larger than 0.114 in.,,,,,,,,,,,,,,
14,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.49404178931651827,0.5822987106264773,0.49404178931651827,0.3977431911210921,0.42048094656231266,0.3977431911210921,0.06904291671291483,0.6782100578344046,0.2859355994501479,0.6782100578344046,Web openings are too large; keep a remaining ligament larger than 0.069 in.,,,,,,,,,,,,,,
