evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,True,398.486071956407,0.0,0.08798534008651913,15.609123538576586,0.00614259858022253,14.109123538576586,0.8778418756289793,Load Case 1,4.0,0.7020565888120367,0.7563941161293172,0.7886752013074927,0.6607654748448021,0.910441589166808,1.1358816367340534,0.10025009136266799,0.6421912886899864,0.2323662488460816,0.3093212172350546,,152.474928788797,4.0,15.609123538576586,4.0,0.00614259858022253,3.74,0.0026596424303110765,112.935315212177,2.49,21.074010335284225,2.49,0.0042282719987122505,3.44,0.002003729697822315
2,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.319370916015599,0.9794700247496472,0.48593120590659844,0.6137250192721928,0.615104443963562,0.8234069434068498,0.1452640686500483,0.6655057094915624,0.18557212094610398,0.6580982919090409,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.0501784592916854,1.4831488958909964,0.873984230154323,0.776361160264495,0.41383491382459786,0.5120150525737379,0.10595921134917821,0.16587748760851306,0.4984190408667992,0.11430243652909007,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
4,True,140.00322268376925,0.0,0.08399498091157698,9.857723504412087,0.004604983434529876,8.357723504412087,0.720477834843929,Load Case 1,0.0,1.3033221760642628,1.3779871776036559,1.1578862714870182,0.7091648769918499,0.9171130804094298,1.2306475174192144,0.07296455842345845,0.7817932721417487,0.6741288100766175,0.46325151365134487,,241.43505332998714,0.0,9.857723504412087,0.0,0.004604983434529876,3.79,0.0019280958814514432,96.93120684594435,0.0,24.553496004466393,0.0,0.0013240584579411493,3.52,0.0006122071341045569
5,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.6876101151000971,1.357908742854197,1.2215462502018597,0.6158746367095972,0.6912381537577164,0.5195432812948142,0.14678731030371245,0.26786918529918696,0.7960714480775688,0.6125384530357527,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
6,True,279.6496179668319,0.0,0.1834622580000186,13.315157893710536,0.007281549808649165,11.815157893710536,0.9008120073704117,Load Case 1,4.0,1.0250423806645734,0.9920054352080613,1.573873750051371,1.0996743361007604,0.6079670303103878,0.7173139128085508,0.1783955368712288,0.5931327963550759,0.04877634233213176,0.30133341321925833,,178.74365583934997,4.0,13.315157893710536,4.0,0.007281549808649165,4.1,0.0026154290610390374,49.772034786397015,2.49,47.81801688868199,2.49,0.0015669490495093061,3.58,0.0006641023153908787
7,True,198.962759875094,0.0,0.08235824308761071,11.465562285191709,0.006237879989127073,9.965562285191709,0.8517943731187225,Load Case 1,8.0,0.3603523722557899,0.8435238145549376,0.46385665211871374,1.2540844802645408,1.020875909076295,0.4129210161655977,0.09422235058695583,0.0933370083807344,0.19579178244468762,0.5068664137404334,,207.57813187006778,8.0,11.465562285191709,8.0,0.006237879989127073,4.6000000000000005,0.0035683569884738253,121.62686388345286,0.0,19.568045446609556,0.0,0.004718517564961504,3.49,0.00251325432237185
8,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.887466949350862,0.8183970786456023,0.724791505232558,0.598492200600159,0.7505311447021228,0.5249082007226447,0.1108565997879292,0.6004926053353244,0.7559134852896977,0.1396875201812016,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
9,True,293.1540478245793,0.0,0.11609803912875402,13.599006922488229,0.00652689183219236,12.099006922488229,0.8867092153813428,Load Case 1,4.0,1.3348557728956376,0.9727264351353353,1.2679157942794708,0.9759589062934333,0.7189464348448146,0.9638032298197861,0.10170617385599828,0.12435760108718462,0.1272673201375797,0.784665460867018,,175.0127795040881,4.0,13.599006922488229,4.0,0.00652689183219236,4.01,0.002286258023281862,56.46594186408956,2.49,42.1493013563562,2.49,0.0018742168660161626,3.75,0.000740852432158842
10,True,911.4390357766533,0.0,0.14430027960535752,22.842673811853576,0.004736978026202212,21.342673811853576,0.9176153956238611,Load Case 2,2.49,0.5481562908227032,0.6214322366482736,0.7854060812946111,0.8253196683448041,1.1035099594644653,1.2405351923149996,0.15969899918332955,0.2615275005162396,0.002069376585106512,0.4479095604453826,,97.58298161690554,4.0,24.389498666309272,4.0,0.0033406587621983095,3.75,0.0014407723018593221,104.19095503456187,2.49,22.842673811853576,2.49,0.004736978026202212,3.35,0.00231093588186328
11,True,97.23085263349093,0.0,0.08826551818059175,8.461769690968532,0.01603371724916048,6.9617696909685325,0.7003755171138166,Load Case 1,4.0,1.2037714895548097,1.442024688119472,0.6499067284320472,0.3927777310454278,0.5056210221200974,0.7325984671637769,0.09145484243113564,0.06729717174850662,0.6018174904636652,0.7444975943620412,,281.2650411107544,4.0,8.461769690968532,4.0,0.01603371724916048,3.79,0.006792730516320479,74.40225142669104,8.0,31.988279310942996,8.0,0.0016912620032363084,3.77,0.0007537545216081781
12,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.4334752210711853,1.369360257659289,0.9186122092675626,0.6120004027167552,1.226407962688857,0.4197101166222882,0.0620215826096733,0.7005403659965617,0.677953700273933,0.7583566935950047,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
13,True,604.372448691465,0.0,0.12848686716232768,18.877752436793237,0.0037682858434728043,17.377752436793237,0.9046743845202506,Load Case 1,8.0,0.44817220376867195,0.7300541522032596,1.5919163863952894,0.8748843451250795,1.2965223364254734,0.474578994485246,0.11586430745213461,0.1543409067045228,0.019032153328369952,0.38968293548307287,,126.07433050988195,8.0,18.877752436793237,8.0,0.0030238910170954374,3.98,0.0013274327706438993,96.573752264627,2.49,24.644377423364812,2.49,0.0037682858434728043,3.04,0.0021399167888470523
14,True,719.0017928005301,0.0,0.11936354965015193,20.45530072434232,0.0035265640851535485,18.95530072434232,0.9185938345833417,Load Case 1,4.0,1.2974576238781306,0.5655554525223105,0.9598366313355258,0.7830170708931943,1.1398117593899173,1.260344199717698,0.12318847586686181,0.3750794369994651,0.29395376160811537,0.6108348212872716,,116.35125936661203,4.0,20.45530072434232,4.0,0.003318384153831021,3.88,0.0013060079302041388,77.63955327117472,4.0,30.654478287468766,4.0,0.0035265640851535485,3.88,0.0012801808875839407
15,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.4253534828649961,1.2379065150107433,0.7623944553915238,0.8373181527695858,1.042553074532635,0.3891277134019764,0.1611459811640033,0.6626937787964543,0.7476912743406067,0.4376406112322969,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
16,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.0494264065665764,0.5695062786210757,1.4626430449938956,0.6840406230554947,1.2454295433306604,1.0403980283652996,0.095641896443027,0.7211767164737939,0.06736980841255101,0.15252868930756816,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
17,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.5625666969563672,1.5606625411446,1.5611115785132883,1.2652348584339959,0.3929156578864907,0.43192694462493875,0.14871268267243132,0.13751866625076137,0.65652159251624,0.5554937137267174,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
18,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.1504658665219272,1.214917978950123,0.9795333464968433,0.5527991779988743,0.8049812173185205,0.42237241762874056,0.1778069481785482,0.13846859429598773,0.6615774520173862,0.48284329090464495,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
19,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.5087177138781387,0.38077083334452133,0.9326921786393004,1.1737827158648455,0.43830058802139543,1.1246518505194296,0.1512996662542353,0.6372807578146613,0.5856253070302233,0.20594994001376837,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
