evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,True,379.6902611967541,0.0,0.0587125106029838,10.20913229678507,0.01345367893245687,8.70913229678507,0.7732437432544208,Load Case 1,4.0,0.46757280688072017,1.2366466937768608,0.9724697582787718,0.9205024566275474,0.6644961477931153,0.3919066423762655,0.06455199677475604,0.5644065792901056,0.40361213526465817,0.443565335250632,,233.12461145688937,4.0,10.20913229678507,4.0,0.01345367893245687,4.32,0.006229653594348045,187.67867898883694,0.0,12.681248678980534,0.0,0.003244774728395474,3.22,0.0018452383323192434
2,True,744.827551367721,0.0,0.08811874379179863,13.700782283760185,0.006689440737060414,12.200782283760185,0.887981890694468,Load Case 1,4.0,1.5592133986758543,0.39432102302036903,1.1631614522025355,0.6802391394427678,1.1951672018659991,0.8007280234542665,0.086377049897116,0.03554702930291665,0.3988055026922489,0.40158171938027193,,173.71270856709125,4.0,13.700782283760185,4.0,0.004907555089756883,4.0200000000000005,0.001869994171034041,159.4724535257937,4.0,14.924207581813178,4.0,0.006689440737060414,3.97,0.0021916884124763697
3,True,296.87174753505434,0.0,0.1141861733549739,9.199375877679044,0.012492087547001464,7.699375877679044,0.7112336655391689,Load Case 1,4.0,1.1316120126955689,0.41473420980004344,0.5811464413245544,0.9594618186022987,0.7654963754207011,0.4100290849086391,0.1702407582297477,0.24181716232794764,0.27157134207921396,0.0224317008174356,,258.71320311791214,4.0,9.199375877679044,4.0,0.012492087547001464,4.48,0.006023854511768428,192.78409248440386,4.0,12.345416934193057,4.0,0.010966235701682722,4.18,0.004168278714131515
4,True,259.33015306295306,0.0,0.06346600546183773,8.69603715454751,0.012038858964877384,7.1960371545475095,0.7038668187002448,Load Case 1,4.0,0.6344646993509885,0.9220279716901494,0.8573023027710519,1.1592556208438536,0.6428039516161694,0.7793877330168193,0.06998376363471107,0.7659967233321605,0.09216924388732466,0.33741843525789034,,273.68788307848956,4.0,8.69603715454751,4.0,0.012038858964877384,4.12,0.004508924273560061,220.5675114630074,0.0,10.790347065230243,0.0,0.004322612945590328,3.5300000000000002,0.0020057793417481945
5,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.5978201300797583,1.0846321286612368,1.4994974826748013,1.2834024025779174,0.47433062796136166,0.4821079221491631,0.14595853153804728,0.07998058671468534,0.44177678824984595,0.4644345496773244,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
6,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.826577903850706,0.8268028376961567,0.880184118308555,0.5661357948209517,0.9373534224110913,0.3883477758887505,0.15272081381289146,0.3589040647565157,0.14502658111022543,0.30832500155512216,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
7,True,2356.7845299217893,0.0,0.10636203648512434,23.208186708843026,0.0026426259008049836,21.708186708843026,0.9026339107176758,Load Case 1,4.0,1.519084883244318,0.8294264929259988,0.877346898098773,1.2569189341959819,1.2068863275178983,0.920194891379525,0.11069100989155532,0.6820349926798097,0.6249487643577667,0.686047988993241,,102.55001951932537,4.0,23.208186708843026,4.0,0.0026426259008049836,4.21,0.0011037200172266982,64.71732895853478,2.49,36.775312552297954,2.49,0.0017950808277580861,4.0200000000000005,0.0006823385916136272
8,True,622.013846326081,0.0,0.08920762599165197,12.648844851804727,0.004520355327602083,11.148844851804727,0.8818621040509973,Load Case 1,4.0,1.2605976310366178,1.2918130943996244,0.7540625797653389,1.1265454294409358,0.8843599398481335,1.0411591415263173,0.0792635149062114,0.44546162938372913,0.7376673295649553,0.10099378487700034,,188.1594744725186,4.0,12.648844851804727,4.0,0.004520355327602083,4.08,0.0017225729078409677,71.55643984381847,2.49,33.260458530282804,2.49,0.0014504202832436894,3.83,0.0005993611012020304
9,True,241.2657024820628,0.0,0.17087878551821328,8.438943288180058,0.010244243231641161,6.938943288180058,0.700307827298469,Load Case 1,4.0,0.6782585869254213,1.5148164711394014,1.4001986894488274,1.0506907931298768,0.41577426514698695,1.1965052445955642,0.1452708107340288,0.524982340414579,0.24174505651874678,0.04214060280191271,,282.0258317571027,4.0,8.438943288180058,4.0,0.010244243231641161,3.93,0.003415595018437942,66.76082088797891,0.0,35.64965152231296,0.0,0.0010725698439222153,3.23,0.0005751421220560974
10,True,1024.7769119287066,0.0,0.07754003421632286,15.812740933392792,0.0073378782721917335,14.312740933392792,0.8532135248047695,Load Case 1,2.16,0.35789351406546993,1.5871637927199114,1.2094393641149788,0.5022017284203371,0.8057932038385827,1.055848362449685,0.06740254162860312,0.16896723413703882,0.2958750676896468,0.6088142929459841,,150.5115406636429,2.16,15.812740933392792,2.16,0.0073378782721917335,3.48,0.0039087558696139085,142.93978333806547,0.0,16.650368039044004,0.0,0.0022115004865877154,2.71,0.00172826908154582
