evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,True,202.4951083626155,0.0,0.07493175617058813,7.857285898249063,0.011734174063501648,6.357285898249063,0.6895132921258442,Load Case 1,4.0,0.3587677446126894,0.6456325751856643,0.795940407519922,0.9870335166312986,0.6360927736285262,1.2745206906380915,0.10082085357654307,0.0774653332810002,0.2822918101501865,0.7604078437205746,,302.9035764792987,4.0,7.857285898249063,4.0,0.011734174063501648,3.86,0.004307562072130572,181.9605827993625,2.49,13.079755864622008,2.49,0.009088502379253634,3.23,0.004747328888668839
2,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.125340634276252,0.4276449462833269,1.5533053399133863,0.49018240922933753,0.43511169431977587,0.9572203129625044,0.1796676988730203,0.16673351299334713,0.32074106865554797,0.7554333225298414,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
3,True,1050.6384563301915,0.0,0.09295601882373555,15.992072271822796,0.004390533412691355,14.492072271822796,0.889413305384261,Load Case 1,4.0,1.5473696260065712,0.7798537019489143,0.835324916047132,1.0684319056918365,0.9937740919783361,1.11769740499486,0.08777165298507593,0.11039170212258911,0.4175817708865709,0.8030062078447283,,148.82373963463365,4.0,15.992072271822796,4.0,0.004390533412691355,4.08,0.0016468805843597098,71.16965880622963,8.0,33.44121694442735,8.0,0.0026096453884142568,4.0200000000000005,0.0009650179967474019
4,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.4876306477945143,0.619807617973909,1.5980313852010046,1.2918071809852014,0.4722881381742212,0.3989912835711849,0.10694117676194902,0.070565922960538,0.6586208356501386,0.36548945810773736,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
5,True,2463.031484230933,0.0,0.16658709413841905,23.69196235302742,0.0034857570398272838,22.19196235302742,0.8978634917254852,Load Case 1,4.0,1.2119804697069445,1.4556165405959138,1.2582217220852727,0.5754576759257193,0.8893888238142716,0.7814134799131212,0.1482588717456988,0.46084963217846764,0.6591780278682974,0.42807052421692776,,100.45600970220508,4.0,23.69196235302742,4.0,0.0034857570398272838,3.84,0.0015257874930973293,42.09654386814892,2.49,56.53670779849353,2.49,0.0007559217585697697,3.47,0.00036376515589207675
6,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.7440041173233739,0.6618485811158651,1.1982766539107554,0.4816409038247948,1.1676936598556384,0.4399736558128719,0.12138405488217832,0.5716459722612355,0.8192134723616378,0.810253558576517,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
7,True,1171.1796172535546,0.0,0.1597151493850708,16.800780198403768,0.005164293114875769,15.300780198403768,0.9010574096911627,Load Case 1,0.0,1.3391221685182195,1.504290292039578,0.6115873898316304,0.40936220778838994,0.7428795845223333,1.1359455761795703,0.14087509059204256,0.14984655445655548,0.007797899011222635,0.7213975806076047,,141.66008791818624,0.0,16.800780198403768,0.0,0.005164293114875769,3.59,0.002497103339976973,62.716695814462696,8.0,37.948427752648975,8.0,0.000837956486642135,3.72,0.0003824629055725655
8,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.3492661719809709,1.1813877334593634,0.38087142134009205,0.9375480905775948,0.8754242276777612,0.6690533969029822,0.1506874407918013,0.3765489677400221,0.6340568312106499,0.7341448643457661,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
9,True,151.94532447904697,0.0,0.09197255437819604,7.004859168105663,0.018718468087436824,5.504859168105663,0.6719592425677609,Load Case 1,4.0,1.1867779004148868,1.351203024192139,0.4161992917310875,0.46546124678827,0.42532274377640705,1.051601474911613,0.10240089387308202,0.25617416635738544,0.5046317921308613,0.7304998567601315,,339.7641469847891,4.0,7.004859168105663,4.0,0.018718468087436824,3.75,0.007418864750740708,139.16797400699969,8.0,17.101635753354387,8.0,0.0019207117841790033,3.86,0.0008557802181359715
10,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.6882341194058597,0.791096496654397,0.8041728612858768,0.7532888514631604,0.4869138948868786,0.5590312199645862,0.13812063942619018,0.6405994469693983,0.8061344324159293,0.809061578246628,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
