evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,True,23.215822668375946,0.0,0.08945686294572017,3.6375915075216194,0.02277520492528963,2.1375915075216194,0.5597570805749549,Load Case 1,4.0,0.7568423839136313,0.35181782506114867,1.1700290161234892,0.9991923364123605,0.525744374113829,0.899133648347657,0.12996049368273488,0.3053031845887367,0.4489288900658434,0.33728648458472893,,654.2790731391257,4.0,3.6375915075216194,4.0,0.02277520492528963,3.98,0.007265551453808957,370.33343968662746,4.0,6.426640818646927,4.0,0.01878986637865255,3.7600000000000002,0.006673257572475455
2,True,522.9773815943604,0.0,0.08194956836339538,11.722113303727962,0.007125777251263846,10.222113303727962,0.8748601094721538,Load Case 1,4.0,1.2438778652692744,0.779953993085212,0.3985599496012601,1.1129892059599442,0.8137039727967897,1.1323010729712593,0.08000765428907798,0.6214046556338904,0.1073278010133233,0.06000721052366444,,203.03506188112794,4.0,11.722113303727962,4.0,0.007125777251263846,4.1,0.0026522707476446528,80.80628175596489,2.49,29.453155723556296,2.49,0.004178599474275993,4.19,0.0018478910375227184
3,True,1117.949865395657,0.0,0.0724286395705652,16.449517363311813,0.005747418831759901,14.949517363311813,0.8741795525592287,Load Case 1,4.0,0.40340548345539806,0.9272850635984505,0.9757002725857716,0.6651654381864447,1.0140589089738898,1.2943614536010999,0.07123732331772992,0.1354457202351353,0.2695665246333913,0.4276759134002896,,144.68509606903325,4.0,16.449517363311813,4.0,0.005747418831759901,3.58,0.0027851068792381127,128.8970352445111,2.49,18.46435021166516,2.49,0.004554574357066151,2.97,0.0028138554195319665
4,True,1866.2083224107466,0.0,0.15466951475349194,20.816270054746315,0.004223156403107847,19.316270054746315,0.9244175130938348,Load Case 1,4.0,0.7038398163431905,1.5152282952854832,0.6471979439559503,1.267997125811629,0.6750268874262215,1.1451950354365112,0.1383126783170781,0.5369281123419297,0.1540832819593795,0.3120581218789976,,114.33364352694572,4.0,20.816270054746315,4.0,0.004223156403107847,4.04,0.0015135150781164786,65.27821008524916,0.0,36.45933301314286,0.0,0.0009599019332193298,3.5,0.00048781324089905393
5,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.4753771414469088,1.488680962327246,1.239527592141922,1.189893765929037,0.4560104129508411,0.5957204688042523,0.11131951270696469,0.09624381320585448,0.7960237417279883,0.3837702019334613,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
6,True,413.23763329790984,0.0,0.07194006027166186,10.585671519687567,0.009218949195424618,9.085671519687567,0.8371168386583839,Load Case 1,4.0,0.456789442500762,0.7749088907261512,1.3479613277329496,1.225993903728522,0.8203295376871957,0.5462972624339917,0.06870763013900776,0.1826078539711929,0.0899843957816854,0.19989477452577456,,224.8322173584926,4.0,10.585671519687567,4.0,0.009218949195424618,4.17,0.0037554574206746794,140.39877684603513,2.49,16.95171463359662,2.49,0.005676890910296785,3.2600000000000002,0.002890263960526376
7,True,2933.9776142014566,0.0,0.12712913171561796,25.72144280380404,0.003501702586048154,24.22144280380404,0.9180551599766581,Load Case 1,4.0,0.9480680650086618,0.8602067476042161,1.2839083918132546,0.4975954540143045,1.1357059331117054,0.9703387403848831,0.11778985594592897,0.09787044080295652,0.4054320097856461,0.10839429075655006,,92.52980161937155,4.0,25.72144280380404,4.0,0.003501702586048154,3.63,0.0017274525934578254,69.39114205294753,2.49,34.29832583219323,2.49,0.0021202855944463346,3.41,0.0010045096921503136
8,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.397863910183681,1.026995281050556,0.9460134766735536,0.778881407523496,0.713398750198014,0.42185577293000803,0.13163926873280393,0.3767419869256079,0.42458795761871343,0.4112136497171991,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
9,True,997.7265563120033,0.0,0.08434825389493915,15.62232399965355,0.005225527140735965,14.12232399965355,0.8840646043100788,Load Case 1,4.0,0.6345954680306416,0.9230676794795681,0.7238790002506033,1.2860923310858996,0.8667987171238213,1.0983977403959218,0.08822748775330852,0.6497742954114042,0.1579599040161927,0.5007766488560595,,152.3460914043762,4.0,15.62232399965355,4.0,0.005225527140735965,4.05,0.0019241331499829026,126.17519361840544,0.0,18.862661762167683,0.0,0.003076924981598291,3.5300000000000002,0.0014421782461445855
10,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.7852881672066041,0.6142964257607326,0.9339321191944264,1.1935364320176078,0.5833317387078277,1.017432621532445,0.08785693303491388,0.5856605807977644,0.7636387489177172,0.04467904279689034,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
