evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,True,350.8981776705142,0.0,0.0580144059858308,9.87233369723413,0.013476852511326302,8.37233369723413,0.7206111506357274,Load Case 1,8.0,0.46757280688072017,1.2366466937768608,0.9724697582787718,0.9205024566275474,0.6644961477931153,0.3919066423762655,0.06455199677475604,0.598821614612673,0.42822263131738125,0.47061200203420717,,241.0777505086553,8.0,9.87233369723413,8.0,0.013476852511326302,4.3100000000000005,0.006238917916937675,203.7786699204462,0.0,11.67933818063066,0.0,0.0032597567713369326,3.22,0.0018533465145032621
2,True,732.519004286469,0.0,0.08714821061981338,13.599491769239,0.006693669866536935,12.099491769239,0.886701412875279,Load Case 1,4.0,1.5592133986758543,0.39432102302036903,1.1631614522025355,0.6802391394427678,1.1951672018659991,0.8007280234542665,0.086377049897116,0.03771453108967986,0.42312291139299585,0.4260684095863861,,175.00653997845538,4.0,13.599491769239,4.0,0.004922777148053187,4.0200000000000005,0.0018756727544451748,160.85825562517113,4.0,14.795634770190665,4.0,0.006693669866536935,3.97,0.0021929710468200562
3,True,296.0617996164498,0.0,0.11352381493874833,9.188858505401697,0.012495431985512237,7.688858505401697,0.7111004421418646,Load Case 1,4.0,1.1316120126955689,0.41473420980004344,0.5811464413245544,0.9594618186022987,0.7654963754207011,0.4100290849086391,0.1702407582297477,0.2565621112503835,0.2881305702547758,0.02379948745264509,,259.00932075522877,4.0,9.188858505401697,4.0,0.012495431985512237,4.48,0.006024883231014674,193.73228587177803,4.0,12.284994157221714,4.0,0.01096671203823473,4.18,0.00416841636821097
4,True,255.06918654742768,0.0,0.06272704020296575,8.636590874270427,0.012044965016639902,7.136590874270427,0.7036259472501565,Load Case 2,0.0,0.6344646993509885,0.9220279716901494,0.8573023027710519,1.1592556208438536,0.6428039516161694,0.7793877330168193,0.06998376363471107,0.8127038406085119,0.09778931973411274,0.35799273009068855,,273.797504004236,4.0,8.692555502489821,4.0,0.012044965016639902,4.12,0.004510978910683,275.5716965927311,0.0,8.636590874270427,0.0,0.004327256618926349,3.5300000000000002,0.0020100005073566732
5,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.5978201300797583,1.0846321286612368,1.4994974826748013,1.2834024025779174,0.47433062796136166,0.4821079221491631,0.14595853153804728,0.08485745175826372,0.46871439728947073,0.49275372953569785,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
6,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.826577903850706,0.8268028376961567,0.880184118308555,0.5661357948209517,0.9373534224110913,0.3883477758887505,0.15272081381289146,0.3807884589489862,0.15386966532426358,0.3271253065279955,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
7,True,2166.435077286046,0.0,0.10341911082234329,22.31290316123797,0.002674190139055791,20.81290316123797,0.893936359754045,Load Case 1,4.0,1.519084883244318,0.8294264929259988,0.877346898098773,1.2569189341959819,1.2068863275178983,0.920194891379525,0.11069100989155532,0.7236224922334568,0.6630553963308012,0.7278801834440485,,106.66473935738411,4.0,22.31290316123797,4.0,0.002674190139055791,4.21,0.0011168605148278478,70.35761857393297,2.49,33.827182446476016,2.49,0.0018072209192899723,4.0200000000000005,0.0006870620779011495
8,True,471.2969423668106,0.0,0.08777386430694686,11.203318840425077,0.004554661552771771,9.703318840425077,0.8743718155247818,Load Case 1,4.0,1.2605976310366178,1.2918130943996244,0.7540625797653389,1.1265454294409358,0.8843599398481335,1.0411591415263173,0.0792635149062114,0.4726239238583468,0.7826470447823307,0.10715194249145157,,212.4370495832196,4.0,11.203318840425077,4.0,0.004554661552771771,4.08,0.0017330711771847487,76.68992780127654,2.49,31.034062336936817,2.49,0.0014699222109683654,3.83,0.000606750113667517
9,True,237.67446068025944,0.0,0.17009784154645316,8.387012483553729,0.010245505142479603,6.887012483553729,0.6993161911769316,Load Case 1,4.0,0.6782585869254213,1.5148164711394014,1.4001986894488274,1.0506907931298768,0.41577426514698695,1.1965052445955642,0.1452708107340288,0.5569934587325412,0.25648560874549964,0.044710151753248856,,283.77208268939535,4.0,8.387012483553729,4.0,0.010245505142479603,3.93,0.0034166187040507523,71.58487727851228,0.0,33.24724565413773,0.0,0.001074382837398964,3.23,0.000576245026099575
10,True,1012.1352944592151,0.0,0.07681434079419262,15.72415753046519,0.00734269997694346,14.22415753046519,0.8503857219460378,Load Case 1,2.16,0.35789351406546993,1.5871637927199114,1.2094393641149788,0.5022017284203371,0.8057932038385827,1.055848362449685,0.06740254162860312,0.17927011426734607,0.31391623035364963,0.645937115686593,,151.35946046004725,2.16,15.72415753046519,2.16,0.00734269997694346,3.48,0.003910602268185468,144.7341513502276,0.0,16.44394206755583,0.0,0.002213901708847987,2.71,0.0017294304903417016
