evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,True,320.5405891576827,0.0,0.05784402993724114,9.501539644262117,0.013866615880739366,8.001539644262117,0.7191234685077826,Load Case 1,8.0,0.46757280688072017,1.2366466937768608,0.9724697582787718,0.9163774833300207,0.6575884972256492,0.3820360624020945,0.06455199677475604,0.598821614612673,0.42822263131738125,0.47061200203420717,,250.48572011560861,8.0,9.501539644262117,8.0,0.013866615880739366,4.32,0.006458690166922382,203.7786699204462,0.0,11.67933818063066,0.0,0.003281987523580701,3.22,0.001864632028902535
2,True,729.9053666282279,0.0,0.08698966946239621,13.577874660892466,0.006704963071665248,12.077874660892466,0.8861906752478246,Load Case 1,4.0,1.5592133986758543,0.39432102302036903,1.1631614522025355,0.6735026083497544,1.19402771492976,0.7953011541439867,0.086377049897116,0.03771453108967986,0.42312291139299585,0.4260684095863861,,175.2851649790943,4.0,13.577874660892466,4.0,0.0049516692988361005,4.0200000000000005,0.0018884668501337881,160.97629041511567,4.0,14.784785969800916,4.0,0.006704963071665248,3.97,0.002197313029615343
3,True,285.92742369576524,0.0,0.11290639383456258,9.055925188407604,0.012859254071635913,7.555925188407604,0.7089800757363012,Load Case 1,4.0,1.1316120126955689,0.41473420980004344,0.5811464413245544,0.9557603166305846,0.7596865534144044,0.4003554880054721,0.1702407582297477,0.2565621112503835,0.2881305702547758,0.02379948745264509,,262.81135836309835,4.0,9.055925188407604,4.0,0.012859254071635913,4.49,0.006243764830903692,194.8905635493406,4.0,12.211981722744895,4.0,0.011062481121453192,4.18,0.0042110632109602225
4,True,249.32689279007468,0.0,0.06253376574678524,8.555683944014989,0.012321211772271072,7.055683944014989,0.7019588703467123,Load Case 1,4.0,0.6344646993509885,0.9220279716901494,0.8573023027710519,1.1577257906356349,0.6356605163076495,0.7737289040278716,0.06998376363471107,0.8127038406085119,0.09778931973411274,0.35799273009068855,,278.1776437247774,4.0,8.555683944014989,4.0,0.012321211772271072,4.12,0.004613579047833133,275.5716965927311,0.0,8.636590874270427,0.0,0.004354188830330551,3.5300000000000002,0.0020204701574479504
5,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.5978201300797583,1.0846321286612368,1.4994974826748013,1.283221993910286,0.4653559608739851,0.4732177908681757,0.14595853153804728,0.08485745175826372,0.46871439728947073,0.49275372953569785,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
6,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.826577903850706,0.8268028376961567,0.880184118308555,0.5581590099820489,0.933411611785125,0.3784385125831935,0.15272081381289146,0.3807884589489862,0.15386966532426358,0.3271253065279955,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
7,True,2161.0130621746366,0.0,0.10337943700470914,22.286836349320264,0.00268281040621425,20.786836349320264,0.893711341042344,Load Case 1,4.0,1.519084883244318,0.8294264929259988,0.877346898098773,1.2564506617415905,1.2058742223822234,0.9160665749814764,0.11069100989155532,0.7236224922334568,0.6630553963308012,0.7278801834440485,,106.78949504973542,4.0,22.286836349320264,4.0,0.00268281040621425,4.22,0.0011218261794994876,70.36968141305574,2.49,33.82138375801196,2.49,0.0018091704232238886,4.0200000000000005,0.0006880836444793544
8,True,464.41005258303466,0.0,0.08768646146220918,11.132086728330213,0.00460111206698198,9.632086728330213,0.8737848223944924,Load Case 1,4.0,1.2605976310366178,1.2918130943996244,0.7540625797653389,1.1246600536739895,0.8798421131073524,1.0383456539342122,0.0792635149062114,0.4726239238583468,0.7826470447823307,0.10715194249145157,,213.79639398093283,4.0,11.132086728330213,4.0,0.00460111206698198,4.08,0.0017501741522221725,76.77681764486415,2.49,30.998940474569224,2.49,0.0014749131106725716,3.83,0.0006086143943302882
9,True,207.67118950234394,0.0,0.16966704199293065,7.936702111428274,0.010730002081473367,6.436702111428274,0.6917042080499957,Load Case 1,4.0,0.6782585869254213,1.5148164711394014,1.4001986894488274,1.047980910446506,0.4061631158551064,1.1953803016020377,0.1452708107340288,0.5569934587325412,0.25648560874549964,0.044710151753248856,,299.87266330343596,4.0,7.936702111428274,4.0,0.010730002081473367,3.93,0.0035633037373619726,71.58487727851228,0.0,33.24724565413773,0.0,0.0010836207217998352,3.23,0.0005804256456734819
10,True,980.8111049141094,0.0,0.07663261024542518,15.502214233800116,0.007491234786930292,14.002214233800116,0.8489101153823263,Load Case 1,2.11,0.35789351406546993,1.5871637927199114,1.2094393641149788,0.4935300080770798,0.8004213908368282,1.0531945403023988,0.06740254162860312,0.17927011426734607,0.31391623035364963,0.645937115686593,,153.52645526022908,2.11,15.502214233800116,2.11,0.007491234786930292,3.47,0.004011112285984063,144.7341513502276,0.0,16.44394206755583,0.0,0.0022308754608238485,2.71,0.0017463749200211968
11,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.9003579276644108,0.47614184742482146,1.445836021537783,0.9940231582259844,0.7430070815344864,1.1427363883962391,0.14814603678293575,0.6617879511454837,0.6994797371777933,0.3468057896931456,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
