evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.3611808176655181,0.49130739312505617,1.2349179260791388,0.5498822992041561,1.211854453481397,1.161524494816913,0.15358469233391953,0.05745837387887137,0.173940860576343,0.4642618232652435,Web openings are too large; keep a remaining ligament larger than 0.154 in.,,,,,,,,,,,,,,
2,False,576.6352376498565,0.0,0.07957824219732813,6.866478843753632,0.014795217023745137,5.366478843753632,0.6702405289277846,0.0034322296239216008,Load Case 1,4.0,1.3164263374020813,1.364129358876773,1.3747823896716236,1.0048101790954673,0.4663853103775643,1.0767014080796578,0.06020284958521843,0.1914642777183766,0.18620314143614414,0.36326225206471885,Durability check failed: minimum shell area ratio 0.161 is below 0.180. | Durability check failed: height ratio 2.309 exceeds 2.100.,346.61142255831203,4.0,6.866478843753632,4.0,0.014795217023745137,3.98,0.004901258900353167,214.45788839058616,5.0,11.097749855978122,5.0,0.005262732840482148,4.21,0.002057792942868758
3,True,109.46140916940759,0.0,0.05176919940977495,3.8356907994603207,0.02573161768213346,2.3356907994603207,0.5010162605433132,0.0,Load Case 2,8.0,0.9715394681865034,0.7477909016282756,0.4619060302626836,1.1290203354410784,0.6430307455123686,0.6710050490429262,0.06122638769344827,0.18501061353246587,0.25852062187614633,0.6642247699604542,,361.5647372911413,4.0,6.5825003229879755,4.0,0.017050460738881803,4.28,0.007057484873500969,620.4879705983768,8.0,3.8356907994603207,8.0,0.02573161768213346,4.68,0.012803760901305278
4,False,190.724118763035,0.0,0.07438085547172608,4.569498223465832,0.02720156493980379,3.069498223465832,0.5913317593247638,0.037171039495408766,Load Case 2,4.0,0.8859388201008843,0.41181769275426594,1.3585070264212789,0.7797340164454647,1.0972063985279703,0.6210211738355009,0.07343708045653846,0.39478186197731935,0.014123596158281944,0.21184824338521435,Durability check failed: width ratio 3.299 exceeds 2.250. | Durability check failed: max profile slope 0.237 in/in exceeds 0.220 in/in.,210.32310417493875,4.0,11.315922752929733,4.0,0.007020422546378979,3.98,0.0027067320857347425,520.8449338655917,4.0,4.569498223465832,4.0,0.02720156493980379,3.99,0.009076083292089051
5,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.3975783795921252,1.3745954563020457,0.9474302499022759,1.183196251447477,0.524532116243576,0.5987916206885767,0.11568911821572603,0.5791298055482498,0.3405871446530775,0.4096759521031934,Web openings are too large; keep a remaining ligament larger than 0.116 in.,,,,,,,,,,,,,,
6,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.7032372822160917,0.6001556149637921,1.1069614477399279,0.9085990702893799,0.5013408898946428,0.6437314210375356,0.16352489512088667,0.15994429841236776,0.05671629568357182,0.7461278391212285,Web openings are too large; keep a remaining ligament larger than 0.164 in.,,,,,,,,,,,,,,
7,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.6925675030847287,1.2041515026730707,1.1497081368324114,1.1166737369392359,0.7855717792101897,0.5074162729518819,0.12896519867343315,0.613750541992527,0.13939633270044408,0.603597174249559,Web openings are too large; keep a remaining ligament larger than 0.129 in.,,,,,,,,,,,,,,
8,True,3512.369887804471,0.0,0.10636332973898122,14.750926467266895,0.002774725289138115,13.250926467266895,0.8707994274094393,0.0,Load Case 2,5.0,1.1341742699940802,1.3777612712780463,1.3344584034839118,0.6525435348152531,1.2225723097782928,0.9736544249437835,0.08764009518598531,0.05164973015616442,0.6565063536946257,0.7052688806467823,,104.98694380682262,8.0,22.66948549697029,8.0,0.002588568824226228,3.81,0.0011804033375952287,161.3457978576023,5.0,14.750926467266895,5.0,0.002774725289138115,4.22,0.0011588834148383922
9,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.892288318301084,1.2883266976146888,1.3780086456356089,0.42910731071776126,0.46123290541984435,0.7855084710847129,0.16828646662976415,0.1946621135892064,0.3502560117182277,0.731484092625993,Web openings are too large; keep a remaining ligament larger than 0.168 in.,,,,,,,,,,,,,,
10,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.6231238343763263,1.3573139327453232,0.7294920885421257,0.8573819612964522,0.6293322295923465,0.8683981697434692,0.1276181231866142,0.268281853157512,0.4122595882496365,0.7963178581298814,Web openings are too large; keep a remaining ligament larger than 0.128 in.,,,,,,,,,,,,,,
11,False,1989.4910303708416,0.0,0.09268449235889475,11.472195396823457,0.005898265002448054,9.972195396823457,0.8350982987476814,7.332501390382798e-05,Load Case 2,5.0,1.1611207067009879,1.1465070646539048,0.5816962220794614,1.1965336508317916,1.0576281758591197,0.5580723682482627,0.09538915556731234,0.6318982627320658,0.5864940447755571,0.3596231629650368,Durability check failed: height ratio 2.144 exceeds 2.100.,110.26543350402392,4.92,21.584280080966142,4.92,0.003991940429897398,4.47,0.0020534566250614977,207.45811221616742,5.0,11.472195396823457,5.0,0.005898265002448054,4.8,0.0033214652168938805
12,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.39472921891124585,0.6048156855049751,0.4758923193822272,1.1755902681759733,0.6612261289031893,0.5521873222962271,0.11378414212480426,0.24438616667338875,0.20219170336692624,0.7021608931164961,Web openings are too large; keep a remaining ligament larger than 0.114 in.,,,,,,,,,,,,,,
