evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.949161975281867,0.6466891817851865,0.5273947075944858,0.39255787818227195,0.5698514657197766,0.46887259169241874,0.11030177060686196,0.8122196493345583,0.5033488448720812,0.7395962575603093,Web openings are too large; keep a remaining ligament larger than 0.110 in.,,,,,,,,,,,,,,
2,False,13.574866468815495,0.0,0.048104079556055175,2.62278248553272,0.05532555944723097,1.1227824855327202,0.4266026910470002,0.12293009579837731,0.03074731985752734,0.002851191525497744,Load Case 2,5.0,0.882220277629161,0.4334319478460062,0.7494032366462757,0.8147959679910084,0.5490664037608362,0.4786873763100349,0.08042627845869613,0.5407024781301549,0.5485649419529984,0.4585509231892982,Durability check failed: width ratio 2.035 exceeds 1.800.,626.4522730359582,4.0,3.7991721036717965,4.0,0.03191327651630013,4.2,0.012428021184857085,907.4332366973207,5.0,2.62278248553272,5.0,0.05532555944723097,4.28,0.020875465808323224
3,False,150.0855630852132,0.0,0.07641184633278285,5.351013085913537,0.027671188088473294,3.8510130859135367,0.6249675893388423,0.26836435326659897,0.014419060615828988,0.0027816872045746863,Load Case 2,5.0,0.3808017615588388,0.5894493281241248,0.773995752121142,0.9130166006452266,0.6584091832850071,0.5308821975031103,0.11076620706562308,0.45589337333039814,0.01227717183336985,0.25008770861827234,Durability check failed: width ratio 2.033 exceeds 1.800.,290.72291445015804,4.0,8.186489202274528,4.0,0.015127158430588606,4.15,0.006041576031878826,444.77558955430607,5.0,5.351013085913537,5.0,0.027671188088473294,4.0200000000000005,0.011126982526680125
4,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.7123691140684072,0.8275395567212961,0.43086740247348065,0.6072761831817528,0.9374119984481699,0.8167744347156147,0.09090415988516941,0.16846441685504787,0.1981568842481483,0.7952410889421039,Web openings are too large; keep a remaining ligament larger than 0.091 in.,,,,,,,,,,,,,,
5,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.7734519851726718,0.8044027554878308,0.376246608270154,0.5265145368235462,0.5996976639673572,0.9091304188060271,0.08113834125986226,0.7305693273079248,0.6720269799309796,0.5807341545446176,Web openings are too large; keep a remaining ligament larger than 0.081 in.,,,,,,,,,,,,,,
6,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.8666607794055907,0.8204282647195997,0.5324130324318881,0.386731551276046,0.9505804516453845,0.8395886087698221,0.07136738624078813,0.8871005785502143,0.7853873358232244,0.5576752641070968,Web openings are too large; keep a remaining ligament larger than 0.071 in.,,,,,,,,,,,,,,
7,False,143.673793561366,0.0,0.045633093432077054,5.27370756627192,0.018300423121419572,3.77370756627192,0.6149654218801597,0.14219113605202133,0.0170729686715542,0.005711921934684666,Load Case 2,5.0,0.4562551370825504,0.8762842738370686,0.9479270550341241,0.7858868947635038,0.5885307065460628,0.878744524464083,0.06256798652255254,0.6291943796226253,0.6900734267796391,0.4871242903115309,Durability check failed: minimum residual web ligament 0.0718 in is below 0.0800 in. | Durability check failed: width ratio 2.078 exceeds 1.800.,428.09204637176765,4.0,5.55955201730877,4.0,0.018300423121419572,3.88,0.006958276072950629,451.2954065222212,5.0,5.27370756627192,5.0,0.017962391951264502,3.93,0.0076704174773091615
8,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.7809342868509048,0.5065177358122043,0.8577638500034575,0.7723744020795706,0.5132329724451127,0.5155319546059497,0.09800434424409143,0.07092957687611433,0.617129105933538,0.39089169100385013,Web openings are too large; keep a remaining ligament larger than 0.098 in.,,,,,,,,,,,,,,
9,False,14.213490888977171,0.0,0.042257829716566185,2.5691924273451656,0.06521314179624195,1.0691924273451656,0.43556709940987065,0.33008783222382965,0.03146272206076996,0.018449254429963625,Load Case 1,4.0,0.37098773154003784,0.6006224380332015,0.8684892147961152,0.48750192227905575,0.37564972110858247,0.7726407630948733,0.0647071609940998,0.2132722391452174,0.22688866731220242,0.17174291663059543,Durability check failed: height ratio 2.057 exceeds 1.800. | Durability check failed: width ratio 2.341 exceeds 1.800.,926.3611299288062,4.0,2.5691924273451656,4.0,0.06521314179624195,3.7600000000000002,0.02549174413998943,787.32568770336,4.0,3.0228913360397183,4.0,0.05119737139649841,3.7800000000000002,0.022150891412710084
10,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.7057427583642555,0.6679084928258301,0.6294696562154292,0.9149202828030851,0.5122111493431049,0.6282815072100603,0.077272917105008,0.3516921753180747,0.776353444796257,0.6712593713846068,Web openings are too large; keep a remaining ligament larger than 0.077 in.,,,,,,,,,,,,,,
11,True,39.90149439340301,0.0,0.05743859214319015,3.4771171196468478,0.043235946274942115,1.9771171196468478,0.5182019952469273,0.11380674352942285,0.008289638377355817,0.0,Load Case 2,5.0,0.575665632055786,0.44723015830730634,0.5398771566074602,0.9960149567356826,0.8580314859998434,0.6924181487870249,0.0934029120558243,0.48589965654024253,0.6476274838366981,0.02954495868342899,,290.2838573596196,4.0,8.19887134492472,4.0,0.010937401763352313,4.14,0.004368964309911516,684.4750746393391,5.0,3.4771171196468478,5.0,0.043235946274942115,4.32,0.017630365619428212
12,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.9057726826400375,0.6281195002844409,0.42202730774871455,0.7373069986431493,0.903704141545458,0.4406937408968892,0.11708753659424972,0.15977438784491843,0.6762892326183297,0.4937951182406809,Web openings are too large; keep a remaining ligament larger than 0.117 in.,,,,,,,,,,,,,,
13,True,96.62742083665145,0.0,0.06053018950566984,4.599932162947749,0.03218896835074873,3.0999321629477494,0.6036897648137426,0.05137313500617903,0.006532012557708398,0.0,Load Case 2,5.0,0.4526375857892246,0.5358085153034048,0.5069085759302288,0.5846367515358966,0.90834133891694,0.8370425101617103,0.09746209796217878,0.25247864942987536,0.46660586380336583,0.4648013595003039,,209.6962392856964,4.0,11.349750515827884,4.0,0.009653924040689097,3.81,0.0042553703384184075,517.398934525773,5.0,4.599932162947749,5.0,0.03218896835074873,4.19,0.013319553038991516
14,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.7602958016836312,0.5587566965225124,0.6058382580503803,0.5938218073937847,0.8408020525155593,0.9326004171210713,0.10554430705356092,0.7489052199398409,0.42123068695757476,0.8913302525987458,Web openings are too large; keep a remaining ligament larger than 0.106 in.,,,,,,,,,,,,,,
15,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.6852365790457289,0.7290309438020536,0.6703707964481147,0.36886590560891813,0.7927772349409595,0.9726412510422227,0.10521500999984598,0.4629302470545716,0.39276409645911553,0.0959995971816068,Web openings are too large; keep a remaining ligament larger than 0.105 in.,,,,,,,,,,,,,,
16,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.6542998011442416,0.5871364361228913,0.8556553680551409,0.9410656509762453,0.9295890919969413,0.5134234406151197,0.09391783590472469,0.20576778096013343,0.48727999229567726,0.5558946242397559,Web openings are too large; keep a remaining ligament larger than 0.094 in.,,,,,,,,,,,,,,
17,True,442.64842105119766,0.0,0.08568797000082028,8.149778308899604,0.01367587787136324,6.649778308899604,0.6962277996989961,0.023948855021498034,0.008430002395132488,0.0,Load Case 2,5.0,0.5744686976968378,0.8573942968979759,0.7139755928234099,0.5252117302225194,0.6404219995869381,0.6407952390575709,0.11296828158470337,0.06395108447626395,0.37929360655067873,0.02621965866353856,,226.81420107322583,4.0,10.493170131052018,4.0,0.01367587787136324,3.87,0.0057281670043786625,292.03248355860507,5.0,8.149778308899604,5.0,0.012968148487130831,4.19,0.005469479677027572
18,False,59.53780589480813,0.0,0.0645251057379262,3.8913255103320115,0.038851118412840786,2.3913255103320115,0.5431381417588594,0.058748407369946555,0.06059256638742175,0.0355559356816793,Load Case 2,4.0,0.8182271566204484,0.383620425569739,0.9078409361307112,0.41060104786498774,0.9878897188213377,0.6715628255173938,0.08665678983567315,0.16216884662558773,0.32689487261700734,0.3585045103313776,Durability check failed: height ratio 2.406 exceeds 1.800. | Durability check failed: width ratio 2.367 exceeds 1.800. | Durability check failed: max profile slope 0.144 in/in exceeds 0.140 in/in.,238.75576223372923,4.0,9.968345801305126,4.0,0.010209266432613301,3.7800000000000002,0.004655445897237613,611.6167855094025,4.0,3.8913255103320115,4.0,0.038851118412840786,4.08,0.013485020844845874
19,True,136.47256078141294,0.0,0.06228434887262956,5.1867840999715815,0.02131335469236973,3.6867840999715815,0.6127933606538077,0.05357371978385031,0.00924479857691136,0.0,Load Case 2,5.0,0.8536926293619953,0.677434989575916,0.7928976999770763,0.6944732826248377,0.7669291268356951,0.4680527833037943,0.06950185929007895,0.21736652435261603,0.027136568764842755,0.015133079759628798,,271.9261841921252,4.0,8.75237523400265,4.0,0.014348263953430628,4.18,0.006184529567278274,458.85850541051826,5.0,5.1867840999715815,5.0,0.02131335469236973,4.34,0.008932040498284277
20,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.5467172051821554,0.8371320169636909,0.7945116444602394,0.36618391006763645,0.795129528218447,0.5670237301581933,0.11949015141926578,0.24753869463758638,0.8718558896913625,0.3310973824163363,Web openings are too large; keep a remaining ligament larger than 0.119 in.,,,,,,,,,,,,,,
21,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.43101522301778844,0.49793605268022245,0.41914930860540583,0.5702536992747618,0.3781653697710113,0.7677400858932184,0.08640047466173713,0.714081626664392,0.7062722626985608,0.0366880823549127,Web openings are too large; keep a remaining ligament larger than 0.086 in.,,,,,,,,,,,,,,
22,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.7628647907221828,0.47047199022346486,0.8569192479309394,0.38998501524125545,0.49867776700478017,0.9455405705510843,0.11788309557304218,0.7261548445552196,0.46578802037092115,0.7891382266115888,Web openings are too large; keep a remaining ligament larger than 0.118 in.,,,,,,,,,,,,,,
23,True,176.78362014654124,0.0,0.06847456763051243,5.697053178937074,0.02112637653908834,4.197053178937074,0.6253762560416215,0.06840135055644952,0.003785040568712588,0.0,Load Case 2,5.0,0.7293954232198423,0.6329294684995781,0.8247581434496423,0.7767575203664474,0.7265498117349221,0.7234068331123569,0.0843721679114597,0.4438911726146985,0.28015165036752127,0.0182400311057336,,277.3259223595581,4.0,8.581960098610208,4.0,0.012494412479926189,4.01,0.004611268538044083,417.7598356987862,5.0,5.697053178937074,5.0,0.02112637653908834,4.19,0.008156600763406519
24,False,53.967815896592164,0.0,0.043069925009343694,3.7719531411554854,0.0486995583632759,2.2719531411554854,0.5108705064101179,0.2296865938276312,0.012950183547401965,0.01947939973084062,Load Case 2,5.0,0.3833284335671199,0.6617736219950969,0.925879778651661,0.4356270896510957,0.4716676662699835,0.4036520099320699,0.06501430339137947,0.29764824668701984,0.025837985354662325,0.3495845161982013,Durability check failed: width ratio 2.415 exceeds 1.800.,595.1500977158603,4.0,3.9989911942117704,4.0,0.0486995583632759,3.89,0.019884416463950044,630.9728437588491,5.0,3.7719531411554854,5.0,0.03895550089529891,3.8200000000000003,0.0174134985205586
25,False,112.46184600796683,0.0,0.04359439838964057,4.825057321239053,0.026608401968443572,3.3250573212390533,0.5897760839880025,0.18019771729308798,0.02705490624237073,0.014772095813051812,Load Case 2,5.0,0.36962985249167996,0.7627700870891558,0.8634117276102016,0.3851144875893253,0.6524783210189746,0.42859528247344614,0.06379463157828125,0.20041295669237608,0.5400123719591953,0.059987469166359865,Durability check failed: width ratio 2.336 exceeds 1.800.,362.6112266113865,4.0,6.563503348313774,4.0,0.02573717363211891,3.77,0.01221830725209855,493.2583887705662,5.0,4.825057321239053,5.0,0.026608401968443572,3.81,0.0129331139421177
26,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.4133972961239555,0.7495453386276898,0.5604786206465127,0.9376134117368009,0.397625702365853,0.8560374626177236,0.07525441084121359,0.09028646982324551,0.6099230429023205,0.6951957259629913,Web openings are too large; keep a remaining ligament larger than 0.075 in.,,,,,,,,,,,,,,
