evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.463158567057712,0.4634090317109767,0.463158567057712,0.739052078171777,0.7577452602187131,0.739052078171777,0.07463943564592061,0.7578004403718442,0.17863777961285202,0.7578004403718442,Web openings are too large; keep a remaining ligament larger than 0.075 in.,,,,,,,,,,,,,,
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.8576524105261117,0.40463952194475306,0.8576524105261117,0.6864997249783615,0.4850550228591588,0.6864997249783615,0.11123650358727448,0.4877547392678,0.3621068837967002,0.4877547392678,Web openings are too large; keep a remaining ligament larger than 0.111 in.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.5992216669850794,0.5736640642867312,0.5992216669850794,0.355992308191206,0.8397628969738036,0.355992308191206,0.09609799184692379,0.5685893076769787,0.6037345783787678,0.5685893076769787,Web openings are too large; keep a remaining ligament larger than 0.096 in.,,,,,,,,,,,,,,
4,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.7649786622893409,0.8635487986052558,0.7649786622893409,0.38603775247255423,0.7197208420574022,0.38603775247255423,0.11426820826928016,0.20068662043135702,0.35489998158162284,0.20068662043135702,Web openings are too large; keep a remaining ligament larger than 0.114 in.,,,,,,,,,,,,,,
5,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.7325342804665749,0.5783527660313853,0.7325342804665749,0.4685355698157814,0.4748873312744024,0.4685355698157814,0.08087585947840076,0.6861998046846465,0.3542022809927483,0.6861998046846465,Web openings are too large; keep a remaining ligament larger than 0.081 in.,,,,,,,,,,,,,,
6,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.4811255882710117,0.5147514421643342,0.4811255882710117,0.7254894167070446,0.6861778282939267,0.7254894167070446,0.10219968078996564,0.33768066133244173,0.8511190762837535,0.33768066133244173,Web openings are too large; keep a remaining ligament larger than 0.102 in.,,,,,,,,,,,,,,
7,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.45543480762583816,0.3550082982609198,0.45543480762583816,0.5181770605683799,0.36099626086184394,0.5181770605683799,0.11023895399348468,0.19184049416783439,0.4217652157477665,0.19184049416783439,Web openings are too large; keep a remaining ligament larger than 0.110 in.,,,,,,,,,,,,,,
8,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.6208062256622322,0.6056576609116939,0.6208062256622322,0.4118153265756603,0.3594261197233636,0.4118153265756603,0.10235000275346537,0.5199019144718936,0.09031549954754316,0.5199019144718936,Web openings are too large; keep a remaining ligament larger than 0.102 in.,,,,,,,,,,,,,,
9,False,49.71535358986123,0.0,0.04081009957328872,3.714383212748839,0.03249969376588611,2.214383212748839,0.5427969525786647,4.9633711057438166e-33,0.00580433304690707,0.008957862558652404,Load Case 2,5.0,0.70421546199008,0.6478734581705095,0.70421546199008,0.6098188397821823,0.5949376223980902,0.6098188397821823,0.060487675715554697,0.7485769911096954,0.16400810653759879,0.7485769911096954,Durability check failed: minimum residual web ligament 0.0615 in is below 0.0800 in.,453.7733185574261,4.0,5.24490952347346,4.0,0.026085567545363918,4.0,0.009714299132930482,640.7524112835613,5.0,3.714383212748839,5.0,0.03249969376588611,4.2700000000000005,0.013250173329579229
10,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.7756026614871052,0.8507512689734592,0.7756026614871052,0.5637419088793658,0.4419774516561168,0.5637419088793658,0.06917391155638876,0.7094257188253658,0.1857075398311671,0.7094257188253658,Web openings are too large; keep a remaining ligament larger than 0.069 in.,,,,,,,,,,,,,,
11,True,254.38317785267114,0.0,0.08076822023424635,6.540529648833781,0.016887158581978177,5.040529648833781,0.6586985641616044,5.2130920653531e-33,0.008245757521243272,0.0,Load Case 2,5.0,0.6755564404289394,0.7295214716897833,0.6755564404289394,0.8438475718509205,0.5935001529094878,0.8438475718509205,0.11102807496483816,0.44431168358895295,0.30426016004913264,0.44431168358895295,,292.12180841218526,4.0,8.14728627395668,4.0,0.013646582427516762,4.0,0.004788303337904115,363.88490348398153,5.0,6.540529648833781,5.0,0.016887158581978177,4.2700000000000005,0.006920063132601767
12,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.8470191285903217,0.8897042884661093,0.8470191285903217,0.8689822301222884,0.38847388117718534,0.8689822301222884,0.07317997710916459,0.624561641073512,0.8828825475546913,0.624561641073512,Web openings are too large; keep a remaining ligament larger than 0.073 in.,,,,,,,,,,,,,,
