evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,2572.073931907169,0.0,0.15237893619237966,16.43553703253371,0.004885082614844778,14.635537032533708,0.8570365349456706,0.8868198104144559,1.6968547655367357e-06,0.06062622365855866,0.0051155859351169055,Load Case 2,5.5,0.44655921568123824,1.2595066740518692,0.44655921568123824,1.4007801268679057,0.783633514272569,1.4007801268679057,0.10890261850881211,0.0,0.0,0.0,Durability check failed: width ratio 2.820 exceeds 2.400.,118.0020252219663,4.5,20.169145364438698,4.5,0.004091736528853705,4.5,0.0014446593422610889,144.80816752679593,5.5,16.43553703253371,5.5,0.004885082614844778,4.905,0.002392442012309895
2,False,98.7408308838867,0.0,0.15530377553428618,4.649165060846798,0.02051753593957985,2.849165060846798,0.3997100316097414,0.8094641802613624,1.2345805948758856e-06,0.04410982058667031,0.00202688113469351,Load Case 2,4.5,1.3239966217309553,0.49687118675327957,1.3239966217309553,0.7832932390793506,0.5992528654150426,0.7832932390793506,0.14650737141565423,0.0,0.0,0.0,Durability check failed: width ratio 2.665 exceeds 2.400.,359.006449258815,4.5,6.6294073683456585,4.5,0.014209531553946981,4.5,0.004763990709157472,511.91987568763744,4.5,4.649165060846798,4.5,0.02051753593957985,4.6125,0.006848383172366857
3,False,558.2312322428869,0.0,0.1418357714276822,8.581243173383621,0.006123848228219138,6.781243173383621,0.8219739349910866,0.8790879412524433,2.3216433671622223e-06,0.08294903776780521,0.10011779478929844,Load Case 2,8.5,0.26051133228742435,1.1098112576719372,0.26051133228742435,1.070912003836444,1.5647269628120686,1.070912003836444,0.09677390281726214,0.0,0.0,0.0,Durability check failed: width ratio 4.260 exceeds 2.400.,52.29498828028942,4.5,45.51105332013334,4.5,0.0016535006743258582,4.5,0.0007195593184556168,277.34909172391576,8.5,8.581243173383621,8.5,0.006123848228219138,5.0737499999999995,0.0036085098857737527
4,True,4046.4477846127625,0.0,0.2561514054079779,20.159497755012126,0.004387599481335985,18.359497755012125,0.8897290112550132,0.9294226324978804,3.5291665463961905e-08,0.0012609213511707443,0.0,Load Case 2,5.5,0.7175121010163794,0.8205790964912072,0.7175121010163794,2.1776321266443652,1.9957207769646168,2.1776321266443652,0.12098985338993365,0.0,0.0,0.0,,36.64979126314153,4.5,64.9389783126419,4.5,0.0006107989246566374,4.5,0.0002264777300716963,118.05849674048929,5.5,20.159497755012126,5.5,0.004387599481335985,4.80375,0.0018544020842868269
5,True,8616.879166479262,0.0,0.22333212904726524,28.59442575536732,0.002024554493253076,26.794425755367318,0.9261907199888011,0.9410566262653337,1.323844783112141e-07,0.004729910393055198,0.0,Load Case 2,5.5,1.162237518774417,1.3418117612436091,1.162237518774417,1.7063700985947812,1.2944465461604284,1.7063700985947812,0.10876929674861802,0.0,0.0,0.0,,54.77705517253305,4.5,43.44884902088361,4.5,0.0012491489285107378,4.5,0.0004493837467392631,83.23300563408803,5.5,28.59442575536732,5.5,0.002024554493253076,4.7924999999999995,0.0008456089785967772
6,True,1805.608281886791,0.0,0.11368164658525767,14.061775075153738,0.005041026319246013,12.261775075153738,0.8595445224272518,0.8884818213845752,3.577098633765015e-07,0.012780468088603263,0.0,Load Case 2,5.5,1.2562158070064553,1.000327241707035,1.2562158070064553,0.9910958608912441,1.5756849307439236,0.9910958608912441,0.06131302421517899,0.0,0.0,0.0,,81.1767486190509,4.5,29.31874016251806,4.5,0.0021230917573329994,4.5,0.0008535439137941181,169.25316948109264,5.5,14.061775075153738,5.5,0.005041026319246013,4.77,0.0020539515831328793
7,False,9.584173054797084,0.0,0.07409109916848176,2.6682227075221894,0.05715127705015961,0.8682227075221893,0.23418974651209523,0.2540429109359936,1.2922335780088798e-06,0.04616968022875436,0.002019099751829051,Load Case 2,4.5,0.605716634050452,0.431422880354688,0.605716634050452,1.743537494626792,0.6544419301515717,1.743537494626792,0.05704538734791578,0.0,0.0,0.0,Durability check failed: height ratio 2.664 exceeds 2.400.,558.5821294215091,4.5,4.2607879390356205,4.5,0.015465184510509544,4.5,0.0048780845728430495,891.9795162863884,4.5,2.6682227075221894,4.5,0.05715127705015961,4.66875,0.020663694903230233
8,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.6283223431366884,1.2267799272739492,0.6283223431366884,0.4202842324584839,1.084981571486482,0.4202842324584839,0.12675873227157813,0.0,0.0,0.0,Web openings are too large; keep a remaining ligament larger than 0.127 in.,,,,,,,,,,,,,,
9,False,2158.3443202460016,0.0,0.13169983073718602,15.2055808495139,0.003841011412228601,13.4055808495139,0.8574980512075261,0.9013717888158629,1.831916179762165e-06,0.06545177719017292,0.008028496032753771,Load Case 2,8.5,0.45035943346502394,1.288368934737484,0.45035943346502394,1.1403899019552044,2.185609029512369,1.1403899019552044,0.06784060363550289,0.0,0.0,0.0,Durability check failed: minimum shell area ratio 0.161 is below 0.180. | Durability check failed: width ratio 2.861 exceeds 2.400.,40.58285756871112,3.8812499999999996,58.645451369963425,3.8812499999999996,0.000967400140954658,4.5,0.0004369225506223566,156.52147876193004,8.5,15.2055808495139,8.5,0.003841011412228601,5.0175,0.002092357805400077
10,True,500.4916901463863,0.0,0.20430247885805625,8.249091928749875,0.017608754912970027,6.449091928749875,0.7395480977301799,0.8442168145785308,4.7633013579335487e-07,0.01701860284948135,0.0,Load Case 2,5.5,0.4717676218213618,0.49063201667318046,0.4717676218213618,1.00255956359887,1.8328894407476097,1.00255956359887,0.15968035843127362,0.0,0.0,0.0,,46.18449346654694,4.5,51.532447827405925,4.5,0.0012646572412558376,4.5,0.0005442089014194882,288.5166052890238,5.5,8.249091928749875,5.5,0.017608754912970027,4.82625,0.0077299868728069
11,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.28021632670512603,0.9485173879408747,0.28021632670512603,1.2480694341541958,1.8297833724108155,1.2480694341541958,0.17220262422743915,0.0,0.0,0.0,Wall thickness is too large for at least one tube width.,,,,,,,,,,,,,,
12,True,248.38652362661585,0.0,0.1463957987225653,6.338229868246949,0.02676862216270763,4.538229868246949,0.6409998006792058,0.7779281942823626,3.547054672329727e-07,0.012673125258646556,0.0,Load Case 2,5.5,0.3481589916898503,0.5054376756834802,0.3481589916898503,0.955926997479488,1.35830146657003,0.955926997479488,0.1382361939310985,0.0,0.0,0.0,,84.68467674845753,4.5,28.10425795294011,4.5,0.0028635215958171495,4.5,0.0011835103455754956,375.4991613546937,5.5,6.338229868246949,5.5,0.02676862216270763,4.89375,0.012546404438743155
13,False,246.58297788877093,0.0,0.15704683287434734,6.321139797980192,0.02449941582372988,4.521139797980192,0.6982704631980154,0.8024068649698987,8.94334320674498e-07,0.03195330186881346,2.865513751848613e-07,Load Case 2,5.5,0.42540865146851903,0.5333097549560784,0.42540865146851903,2.019558459576269,0.8930833326312945,2.019558459576269,0.11346611271320783,0.0,0.0,0.0,Durability check failed: max profile slope 0.250 in/in exceeds 0.250 in/in.,187.41213764119587,4.5,12.699284208350239,4.5,0.004426826181620102,4.5,0.001443843225790502,376.5143749487216,5.5,6.321139797980192,5.5,0.02449941582372988,4.7475,0.00990779338552906
14,True,50.070720198704606,0.0,0.06172576668685722,3.822558607651564,0.042457212346480824,2.022558607651564,0.35009238888166755,0.6937928984767778,6.574254455831172e-07,0.023488882438411483,0.0,Load Case 2,5.5,0.29404103248518554,0.5917140913172452,0.29404103248518554,1.026346105229635,0.8795462210134687,1.026346105229635,0.059701861546753845,0.0,0.0,0.0,,274.57913214506675,4.5,8.667810919959456,4.5,0.010974353027423979,4.5,0.004118758948960801,622.619623211528,5.5,3.822558607651564,5.5,0.042457212346480824,4.89375,0.020056714335808832
15,False,604.4299197006209,0.0,0.12408437500209032,8.883190243026853,0.007259391609419908,7.083190243026853,0.7915030994517752,0.8672872220810093,1.6340059741051395e-06,0.05838072512598097,0.02016413314657879,Load Case 2,8.5,0.3057934611286156,0.9891762757527084,0.3057934611286156,1.6507804281465548,2.1405460529340803,1.6507804281465548,0.06339743020300401,0.0,0.0,0.0,Durability check failed: minimum shell area ratio 0.180 is below 0.180. | Durability check failed: width ratio 3.235 exceeds 2.400.,51.18573770457127,4.5,46.49732731677419,4.5,0.0010478753440939877,4.5,0.00043328119150244394,267.92176401583407,8.5,8.883190243026853,8.5,0.007259391609419908,4.995,0.003903890548076716
16,True,4335.47376969545,0.0,0.18911774037553292,20.804254532947848,0.003425516249866577,19.004254532947847,0.9069955418023559,0.9313490273320209,6.857845095384203e-07,0.024502111731229115,0.0,Load Case 2,5.5,1.5873044604601843,0.8586164206091907,1.5873044604601843,1.3759274487555504,2.0152117135217464,1.3759274487555504,0.0849432414684739,0.0,0.0,0.0,,46.87920440700569,4.5,50.76877967759047,4.5,0.000866144226703106,4.5,0.0003358812439042129,114.3996770579199,5.5,20.804254532947848,5.5,0.003425516249866577,4.69125,0.001289327947896286
17,True,42.8941113030074,0.0,0.1247198029007629,3.6662756111322006,0.054503545394016875,1.8662756111322005,0.33613438959437447,0.7412850185213521,6.112333650133623e-07,0.021838504654316415,0.0,Load Case 2,5.5,0.33199803684528606,0.4138646343291399,0.33199803684528606,1.6035474986196647,0.8365748085947623,1.6035474986196647,0.11256642134530087,0.0,0.0,0.0,,253.9767634385836,4.5,9.370936017048383,4.5,0.007159728641795645,4.5,0.002391913728979247,649.1601430000022,5.5,3.6662756111322006,5.5,0.054503545394016875,4.77,0.022378481145099046
