evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,528.4247272984527,523.9009759441548,0.020957933878609093,0.769413364017457,0.3253192314122078,0.0,0.14035100507994672,0.3099460094873798,0.10224341817340848,0.012359093333483433,0.011438521429681298,Load Case 2,5.5,0.4179353182169272,0.29197840170524586,0.32067019617329473,0.5514384728360131,0.42545917961170543,0.67895671775967,0.0473403104026416,0.16472466094831265,0.6207003969922308,0.5632046017041814,Minimum factor of safety 0.769 is below the target 1.500. | Maximum deflection 0.32532 in exceeds the limit 0.16500 in. | Durability check failed: minimum residual web ligament 0.0627 in is below 0.0850 in.,1794.7056429773625,4.5,1.3261227596363112,4.5,0.11346573253112976,4.46625,0.04000049047135554,3093.265741542281,5.5,0.769413364017457,5.5,0.3253192314122078,4.7924999999999995,0.12898962760986188
2,False,48.08113935421446,47.113430172643206,0.03841567623921688,1.2656280206931754,0.209326423079856,0.0,0.2215889231536748,0.049636437757817016,0.06119777480948857,0.01591084384642138,0.0,Load Case 2,4.5,0.3341698307714,0.2786262335667766,0.4120031974478279,0.8517586724359767,0.5463763437361336,0.8967888766642296,0.07586615654294973,0.33496530976843053,0.4041188940737778,0.6837289364635231,Minimum factor of safety 1.266 is below the target 1.500. | Maximum deflection 0.20933 in exceeds the limit 0.16500 in.,893.5439061475815,4.5,2.6635512632626126,4.5,0.04127353309137362,4.4775,0.014215193890318861,1880.4893389579752,4.5,1.2656280206931754,4.5,0.209326423079856,4.6125,0.07570384929840732
3,False,23.20352659935215,21.705920895994886,0.02810601147136697,1.2916449141681687,0.13654203486195857,0.0,0.21808580512824519,0.08429113036999471,0.1960185376898566,0.019177572853026657,0.0025868642785069605,Load Case 2,8.5,0.3609672262766867,0.4493491579242093,0.1904257508207167,0.7500811070351793,0.5429357932553663,0.5776530637954445,0.05586442194992962,0.07173871815782326,0.6548740422306252,0.6027763051992981,Minimum factor of safety 1.292 is below the target 1.500. | Durability check failed: minimum residual web ligament 0.0744 in is below 0.0850 in.,812.4287744666054,4.5,2.929487574541624,4.5,0.048968700518352205,4.66875,0.01978998729411542,1842.611675928552,8.5,1.2916449141681687,8.5,0.13654203486195857,5.1525,0.07098675752478427
4,False,95.40449529688516,94.22995428406851,0.03772676262613002,1.1573864894458783,0.22461371107132896,0.0,0.2569677806789551,0.06249815088780157,0.1379491358353369,0.017309606480705845,0.0,Load Case 2,5.5,0.47550952282193903,0.2548137214235008,0.3556506494207936,0.9220287158422007,0.7199270317003116,0.5359440536427416,0.06602528567731064,0.5040221353789679,0.24059668300457515,0.5161908899434747,Minimum factor of safety 1.157 is below the target 1.500. | Maximum deflection 0.22461 in exceeds the limit 0.16500 in.,623.5055064981456,4.5,3.817127475532694,4.5,0.029568969108847543,4.73625,0.012267908643997658,2056.3571647872545,5.5,1.1573864894458783,5.5,0.22461371107132896,4.87125,0.09123112539923448
5,False,16.080060856822154,0.0,0.03736774839681517,2.3340641799029016,0.08991977767026542,0.8340641799029016,0.342757510285374,0.25038453376941394,0.1258335786095222,0.0067358856894714405,2.9371107227092084e-05,Load Case 2,5.5,0.25309791329712694,0.4063325890709492,0.4434724385372149,0.8834058182264168,0.9110599502403192,0.7833257246094858,0.05154544277471076,0.3459412671224959,0.15674587110593038,0.6743519087335663,Durability check failed: minimum shell area ratio 0.197 is below 0.200.,376.646679214588,4.5,6.318919378136972,4.5,0.01581350301874323,4.5,0.006112453367369889,1019.6806156799894,5.5,2.3340641799029016,5.5,0.08991977767026542,4.59,0.036187107170227044
6,True,88.05934096631931,0.0,0.06206432227620531,3.628796135759776,0.04899550108654171,2.128796135759776,0.579929967808009,0.46293940330351246,0.07303996133895233,0.0024384428168125073,0.0,Load Case 2,5.5,0.368121772575686,0.45498428977973854,0.554755915571822,0.8618762738685417,0.8879046540898183,0.8552828197779938,0.07683030387755718,0.07885925765101943,0.3082082190003999,0.3071969717579075,,275.4795567528791,4.5,8.639479560855385,4.5,0.011082791547561647,4.46625,0.004262303258098532,655.8648959489396,5.5,3.628796135759776,5.5,0.04899550108654171,4.601249999999999,0.01890583927621422
7,False,27.65987067217826,26.246874293518744,0.03383969936242397,1.314010184201797,0.1949178349871678,0.0,0.30949760175659535,0.07598605831244204,0.058341885680049374,0.03799002003598737,7.675062003643435e-07,Load Case 2,4.5,0.5058933028633643,0.23602029496184598,0.5676642700399235,0.7466842026619047,0.9251655819168676,0.5319899604701317,0.04823059490455227,0.3826954044492801,0.3332241801480541,0.11217292023412821,Minimum factor of safety 1.314 is below the target 1.500. | Maximum deflection 0.19492 in exceeds the limit 0.16500 in. | Durability check failed: width ratio 2.405 exceeds 2.400.,532.6758549719551,4.5,4.468008034877617,4.5,0.021844297344377234,4.59,0.008852100427035273,1811.2492799633394,4.5,1.314010184201797,4.5,0.1949178349871678,4.635,0.06978217858471367
8,False,274.9163974201806,272.34765231126653,0.036344058812279686,0.9439864696239034,0.2735228682493332,0.0,0.287386189833798,0.10654851241081878,0.09272182840265877,0.055484527573256205,0.016366017084308387,Load Case 2,4.5,0.5179947508506564,0.1892712936666223,0.562484346966609,0.47280735026268345,0.8913504323831396,0.7365995466170767,0.0560059764730548,0.624718645744007,0.22981080675281443,0.2538458691663063,Minimum factor of safety 0.944 is below the target 1.500. | Maximum deflection 0.27352 in exceeds the limit 0.16500 in. | Durability check failed: minimum residual web ligament 0.0677 in is below 0.0850 in. | Durability check failed: width ratio 2.972 exceeds 2.400.,556.0904213721191,4.5,4.2798795097522015,4.5,0.023589011460926124,4.33125,0.009902004088060624,2521.2225774255253,4.5,0.9439864696239034,4.5,0.2735228682493332,4.5675,0.09153918955500183
9,True,53.112780163852776,0.0,0.0543889960895507,3.129264111666819,0.06664550752849914,1.629264111666819,0.4433551999709137,0.38429505032031375,0.21167482587647402,0.009874297308127639,0.0,Load Case 2,5.5,0.2146736761411382,0.4368887940877404,0.42770739817818443,0.8050058348730507,0.8646579097487466,0.863096473355622,0.0787483526708512,0.11124981565079066,0.23397291198971115,0.6691432211804322,,288.14017743390383,4.5,8.25986858617086,4.5,0.012669671537382781,4.41,0.005084723798211319,760.5622009106418,5.5,3.129264111666819,5.5,0.06664550752849914,4.5,0.02915913920250894
10,False,2.3719665275421593,0.0,0.03420137218240175,1.6534687066822646,0.13557348884132783,0.15346870668226464,0.3046694174525398,0.12047348776785065,0.045165300543444795,0.02620456551181163,0.00018070439945419602,Load Case 2,5.5,0.4961442654011738,0.2923785630022101,0.45963716229648144,0.6077854735885828,0.9096471026106872,0.4509740143203867,0.061647899716236396,0.6606691165602645,0.4670468453137366,0.380878389210479,Durability check failed: minimum residual web ligament 0.0822 in is below 0.0850 in.,422.65335635447013,4.5,5.631092156769592,4.5,0.020113818632110113,4.6125,0.0086380235872801,1439.3982724810937,5.5,1.6534687066822646,5.5,0.13557348884132783,4.78125,0.05395827571776786
11,True,6.576660599831894,0.0,0.0337810196851653,1.9384799141529527,0.07474423522082924,0.43847991415295273,0.3989451947770863,0.20688526249690503,0.21915217572607426,0.013440074222310826,0.0,Load Case 2,5.5,0.5370976949749313,0.5403795481405498,0.47276846980218834,0.8475230989236323,0.4532186332672589,0.4383724189867248,0.05364169502640142,0.5334784348560744,0.41093222471317403,0.24657804667375555,,870.7927325792264,4.5,2.7331417809960454,4.5,0.05840772221531627,4.73625,0.023623207512507804,1227.7661391399952,5.5,1.9384799141529527,5.5,0.07474423522082924,4.9275,0.03271773377270212
12,False,19.31053167285627,18.184828272618635,0.027604225607901555,1.3092916977548243,0.14260164232629152,0.0,0.2866805332756876,0.05562159254080204,0.07340754660347915,0.0077408028322566835,0.0,Load Case 2,5.5,0.46069261586969473,0.4096185950395771,0.5246818433940345,0.6830304090638306,0.45838770066827256,0.45818292055299004,0.04389129463800527,0.1362352358019621,0.3894290792793452,0.0458995825834056,Minimum factor of safety 1.309 is below the target 1.500.,1225.463589385753,4.5,1.9421221655332432,4.5,0.08138207751741611,4.62375,0.030961013270538,1817.7767445415166,5.5,1.3092916977548243,5.5,0.14260164232629152,4.73625,0.056102474807063624
13,True,96.004261189418,0.0,0.05166386887402713,3.72818801735719,0.04237050264522018,2.22818801735719,0.548298699649466,0.48017629395203654,0.003726213728067496,0.01550763937919343,0.0,Load Case 2,5.5,0.35557122141032527,0.5778322495794391,0.3893629215314837,0.5736855439719735,0.7625076357170717,0.5226820161318019,0.07956097485021957,0.4842910101858291,0.21886927775354095,0.48402196124246694,,285.1685068033848,4.5,8.3459426381923,4.5,0.01702455265250568,4.5337499999999995,0.007132692118329414,638.3798212213333,5.5,3.72818801735719,5.5,0.04237050264522018,4.87125,0.01970739102998943
14,True,38.931050663876455,0.0,0.04626345391453839,2.878331756001066,0.07705319558068861,1.378331756001066,0.44177414271159005,0.3353601114504816,0.2555797901017205,0.017911570888450506,0.0,Load Case 2,5.5,0.23779891614493343,0.40580675146130185,0.5493732019752566,0.4990389316878468,0.9125122850185288,0.8074205626421258,0.06815040416863265,0.04849188669861547,0.5531270089458938,0.06429677176676304,,332.0945701213019,4.5,7.166633285002744,4.5,0.015444740012449725,4.19625,0.007244070876064091,826.8678532410003,5.5,2.878331756001066,5.5,0.07705319558068861,4.30875,0.035278984237799446
15,False,350.1496540002682,348.2599544711718,0.027822666011392442,0.8939204988870854,0.29329410494505664,0.0,0.16955787973832878,0.13385979169581147,0.22817855504018736,0.015281789096791966,0.0,Load Case 2,5.5,0.41379623837680124,0.23477047734626091,0.2563991762960658,0.7609353317254248,0.906393778931368,0.6235780659963079,0.05182278948361642,0.07272601703979417,0.5561212662995376,0.6616739322278304,Minimum factor of safety 0.894 is below the target 1.500. | Maximum deflection 0.29329 in exceeds the limit 0.16500 in.,568.4653834687746,4.5,4.186710517845863,4.5,0.024390487413674833,4.66875,0.010285621743558212,2662.4291566901716,5.5,0.8939204988870854,5.5,0.29329410494505664,4.9725,0.12764195387609703
16,True,6.349061339167817,0.0,0.033081664417379905,1.9607113820165722,0.10200133614395922,0.46071138201657225,0.28323571788676527,0.17247410364766544,0.08787745274406307,0.010590734939314107,0.0,Load Case 2,5.5,0.23309993546459448,0.4630617620826236,0.39522168353408327,0.522351495751014,0.5405636617647238,0.4403166973340442,0.06790108822978844,0.5286279251539443,0.4510667417336131,0.2787548938375839,,656.653291984965,4.5,3.6244393031299893,4.5,0.04858140964770452,4.5112499999999995,0.01918920300677416,1213.8451491785565,5.5,1.9607113820165722,5.5,0.10200133614395922,4.64625,0.042830409938148455
17,False,2543.3318621327203,2525.6422097513496,0.01792009961549572,0.5069032809485104,0.6158349657087318,0.0,0.09448665594123584,1.4602081622634817,0.23428974096828112,0.019282692435119465,0.00011923470573327918,Load Case 2,5.5,0.4071145209438257,0.2039428284412895,0.20778473673373277,0.8806347783058982,0.6370911336507802,0.6675212134602707,0.040694894327703866,0.43657508333438944,0.6651311229443314,0.40195915360924694,Minimum factor of safety 0.507 is below the target 1.500. | Maximum deflection 0.61583 in exceeds the limit 0.16500 in. | Durability check failed: minimum shell area ratio 0.195 is below 0.200.,1414.3529330246824,4.5,1.6827483044915958,4.5,0.06491594716333451,4.64625,0.024827895935703195,4695.175765180641,5.5,0.5069032809485104,5.5,0.6158349657087318,4.995,0.2657233905960661
18,True,6.9604442095804915,0.0,0.032618088215057545,1.994095781563936,0.09325594226494163,0.49409578156393597,0.29936714020955485,0.17353686457637105,0.12606670744898496,0.02476864584584897,0.0,Load Case 2,5.5,0.3402106454730864,0.5051591767424711,0.340015048040027,0.513214616461953,0.43238959993801446,0.8515448309144031,0.05888294584430502,0.5679378300506402,0.14161025686886292,0.6589822126956314,,912.2304451487333,4.5,2.6089898804155305,4.5,0.06234872948898192,4.30875,0.02434710068284426,1193.5234114649227,5.5,1.994095781563936,5.5,0.09325594226494163,4.7025,0.03890941715090301
19,True,9.919782822001036,0.0,0.03584298116172568,2.099442529204981,0.08366791721435968,0.599442529204981,0.3852220458859293,0.23640856428070467,0.14503979924150268,0.015497198600000327,0.0,Load Case 2,5.5,0.5201520352068029,0.44699305314710697,0.27439105390889645,0.45435220110619057,0.8249039852090094,0.6546205155562075,0.05806416519427294,0.14001308491962033,0.5885511798996801,0.23780663018217232,,417.091193572627,4.5,5.7061861690579585,4.5,0.021294616945105017,4.44375,0.008931632924427627,1133.634270475249,5.5,2.099442529204981,5.5,0.08366791721435968,5.0625,0.04069277004445713
20,True,4.271443496818088,0.0,0.0349346490713875,1.8019721611527773,0.10276929344821725,0.30197216115277725,0.27841860034803745,0.18138469415744077,0.0838557010148968,0.01119084165418268,0.0,Load Case 2,8.5,0.37358591357790494,0.43161415876855586,0.22064796241527304,0.9099844979968292,0.686440002845956,0.7071506035371193,0.06556982979421427,0.547075931202776,0.49044719680378096,0.5656843273649395,,495.61247900207576,4.5,4.802138971141669,4.5,0.024550086913985816,4.64625,0.009828889565120517,1320.7751214521763,8.5,1.8019721611527773,8.5,0.10276929344821725,5.0962499999999995,0.05133749865494267
21,False,920.4185269985418,915.3780602764866,0.02896815009077173,0.7079806786180143,0.41030200927739996,0.0,0.19583092702357519,0.3929624727017021,0.24261203166494225,0.027531362606034768,0.0,Load Case 2,4.5,0.33139864623845045,0.22054255430174252,0.5032246721096545,0.7115158753220328,0.4903540583307382,0.4245049180106236,0.05681586093154593,0.3821878190616579,0.26978978314472196,0.0075536304532007005,Minimum factor of safety 0.708 is below the target 1.500. | Maximum deflection 0.41030 in exceeds the limit 0.16500 in.,1465.3935510531599,4.5,1.6241370779129771,4.5,0.08830362396644446,4.6125,0.03329226010083642,3361.673661272487,4.5,0.7079806786180143,4.5,0.41030200927739996,4.5562499999999995,0.1416491433276415
22,False,4.395556452332944,0.0,0.04337884486530663,1.785117073716007,0.10137847727926814,0.2851170737160069,0.3508814065228799,0.18847366988781106,0.3912858029663949,0.020023945612179878,0.001986362406835801,Load Case 2,5.5,0.5783094907571615,0.4566899512890396,0.21724551033964126,0.9457770328932587,0.5445074423075599,0.6513103978676739,0.06640156432459177,0.0390909404415288,0.3479101480121911,0.5504253942994568,Durability check failed: width ratio 2.662 exceeds 2.400.,655.2876001674458,4.5,3.63199303541199,4.5,0.03587908360344264,4.71375,0.014286428265698183,1333.245889047293,5.5,1.785117073716007,5.5,0.10137847727926814,5.20875,0.052183716343690754
23,False,39.98778578451352,38.815106747088365,0.030934350370838807,1.2614744594680756,0.1971992080711079,0.0,0.2840720732467036,0.05946063283389904,0.13392051892237225,0.026362289718292256,0.0,Load Case 2,4.5,0.48263587889397475,0.2601542041590564,0.5616189563729828,0.8779003122566869,0.7970715914653752,0.5554192326955442,0.044194787476456644,0.005013246365636928,0.39937575199641817,0.42628827359086024,Minimum factor of safety 1.261 is below the target 1.500. | Maximum deflection 0.19720 in exceeds the limit 0.16500 in.,706.5551687782893,4.5,3.3684560033935904,4.5,0.029900758716549597,4.635,0.011883746868955445,1886.6810835025324,4.5,1.2614744594680756,4.5,0.1971992080711079,4.6575,0.07159272963673098
24,True,24.936062819214325,0.0,0.04304965126073394,2.5697370720719914,0.06902962766489709,1.0697370720719914,0.4570045663413282,0.3007274689428082,0.10908634161626245,0.00879288193842656,0.0,Load Case 2,5.5,0.37290009235076227,0.4507461091404558,0.5776561483218174,0.8965910764962551,0.6399841644637346,0.8440993229484632,0.06376153131251279,0.4373436488401224,0.5731485465953052,0.08336847731222789,,559.6059147349854,4.5,4.252992931869037,4.5,0.024682227144788793,4.4775,0.008819923902547851,926.1647916691315,5.5,2.5697370720719914,5.5,0.06902962766489709,4.578749999999999,0.025813644770275392
25,True,6.343523718949009,0.0,0.033151818606181514,1.9461827571407067,0.10448955530065913,0.44618275714070665,0.30621293457771837,0.18889747525660597,0.15487510958608647,0.010748069283595311,0.0,Load Case 2,5.5,0.403582965469669,0.4161480042310257,0.22236125946746046,0.6288347147368349,0.9279837804080198,0.8817291607540644,0.04786953345229126,0.47027788629658596,0.40685346463805844,0.11714493481143617,,396.9847468265594,4.5,5.995192558468273,4.5,0.017439841294034822,4.41,0.007233508874815014,1222.9067343586216,5.5,1.9461827571407067,5.5,0.10448955530065913,5.04,0.05105702852456885
26,True,78.03146614199285,0.0,0.05894835379118016,3.4941697321878427,0.04456178240192274,1.9941697321878427,0.5832052942990664,0.4597156813953336,0.024388077192459678,0.0036137009337650814,0.0,Load Case 2,5.5,0.5107399232654455,0.5384986596968346,0.42858591322731326,0.7062782088171724,0.6840906168518798,0.858689713851706,0.07483014927346049,0.3022002773809601,0.054788081591654506,0.3572642163335455,,367.5993839084694,4.5,6.474439577930874,4.5,0.01805422804298091,4.44375,0.006850900263698879,681.1346277989148,5.5,3.4941697321878427,5.5,0.04456178240192274,4.8374999999999995,0.01913944005781485
