evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,323.3665481028514,0.0,0.06085663846578979,4.8768506252433905,0.03467402572505742,3.3768506252433905,0.6070824823960272,0.6070824823960272,0.24526216947038273,0.018346973025654693,0.00872347626003313,Load Case 2,0.5,0.20442589728820607,0.5459691272571435,0.6028673000521718,0.9176078598361139,1.1473148760259437,0.7531911580649711,0.06776284078551569,0.26529006127807747,0.26019486566087335,0.2501474535853572,Durability check failed: width ratio 2.949 exceeds 2.400.,178.59813048761174,4.5,13.326007352384273,4.5,0.006764936322145395,4.4775,0.0027897530136220343,488.0198683307469,0.5,4.8768506252433905,0.5,0.03467402572505742,4.37625,0.016562558602588158
2,False,399.2665504026425,0.0,0.08621596889944705,5.256016185141337,0.023653366250821616,3.7560161851413367,0.6895384932709232,0.6895384932709232,0.30225860020202455,0.012805123751064827,0.0019477779149296925,Load Case 2,5.5,0.9106742721121025,0.6454358259680024,0.3424293281367917,0.8471167078838261,0.8007994725685328,1.078221017839174,0.0890638152035582,0.23175436762783824,0.28880460530823654,0.04425732172476629,Durability check failed: width ratio 2.659 exceeds 2.400.,227.5294572858421,4.5,10.460184049971335,4.5,0.00895444676811568,4.5,0.003264221247222995,452.81443514733024,5.5,5.256016185141337,5.5,0.023653366250821616,5.1187499999999995,0.011552798729170357
3,True,2.228905229485728,0.0,0.05165779204361346,1.675856425037409,0.14136355122873176,0.17585642503740906,0.22210810612492662,0.22210810612492662,0.0057646752348303465,0.04480544753933868,0.0,Load Case 2,5.5,0.20680266932747715,0.3905098553183749,0.2133616105367206,1.0708672590338115,0.4758464209212237,0.9897610523506266,0.08581484237593309,0.23093170200425375,0.2961274459904654,0.1589447049914101,,806.432622891097,4.5,2.951269495357955,4.5,0.03844127342246752,4.5225,0.01295092480259126,1420.1693918659366,5.5,1.675856425037409,5.5,0.14136355122873176,4.8374999999999995,0.06280241763138152
4,True,128.97984279006468,0.0,0.0699531496874619,3.6154293951151857,0.04045009269446319,2.1154293951151857,0.6115986212087191,0.6115986212087191,0.2952916834306531,0.014752757929111878,0.0,Load Case 2,5.5,0.6507503723032055,0.5969095197936711,0.28053981695713626,1.0163660431000117,0.6805232696333106,0.5885220073012276,0.0848263389325071,0.3015703462116505,0.08657464244897255,0.051042395367695094,,316.12593715146755,4.5,7.528645138850643,4.5,0.016502016139768143,4.80375,0.007170506635358195,658.289718841038,5.5,3.6154293951151857,5.5,0.04045009269446319,5.2425,0.021581162452036902
5,True,991.8079605796163,0.0,0.08906431918382712,7.437592266319004,0.016946104648083438,5.937592266319004,0.7758971225304508,0.7760454805371194,0.07912594610705612,0.015382901726494893,0.0,Load Case 2,5.5,0.724938047448387,0.5997449645175759,0.8342118101460994,0.516247021947927,1.115476761325659,0.939608086050933,0.08776140074612812,0.34549511248535786,0.1635318113120868,0.34018024731472474,,143.065204466151,4.5,16.635771142822534,4.5,0.005527132101772468,4.2524999999999995,0.0025248290333127047,319.9960302714879,5.5,7.437592266319004,5.5,0.016946104648083438,4.62375,0.0064869647488822535
6,True,33.80990611324503,0.0,0.04275946098297077,2.5495258224287123,0.06143569365057172,1.0495258224287123,0.49573072494354975,0.4957374449368195,0.10748391118539255,0.008856033907763964,0.0,Load Case 2,5.5,0.5112832467405461,0.5238861307379473,0.8396456103100678,0.5276258098752985,0.4523058314797263,0.4592822336676782,0.05925681817654252,0.005579196747221654,0.34841091749882414,0.02492988551907648,,834.1552499586911,4.5,2.8531859028854183,4.5,0.058596458380712355,4.4775,0.021474756648718386,933.5069208017592,5.5,2.5495258224287123,5.5,0.06143569365057172,4.545,0.022679368887124497
7,False,9.022713683297056,0.0,0.05857423439916348,1.9742228529172738,0.09036904101034791,0.47422285291727384,0.47689777900069985,0.4462004215521513,0.38554984655288776,0.031201704578998984,0.0001292101506594706,Load Case 2,5.5,0.9340737946475802,0.3786543492633006,0.3874620645845522,0.4678908879156077,0.6197941304084595,0.5343400921079493,0.08832969310113595,0.19810777123767578,0.3275160124208169,0.0186964190773363,Durability check failed: width ratio 2.467 exceeds 2.400.,522.7422981770287,4.5,4.552912607798965,4.5,0.03011063411596352,4.601249999999999,0.011907037067063319,1205.5376607980788,5.5,1.9742228529172738,5.5,0.09036904101034791,5.05125,0.039998584024594275
8,False,414.1733910957608,0.0,0.053989984997854415,5.326999677203728,0.02465031328910082,3.8269996772037276,0.6378812178389651,0.6378812178389651,0.029883497439750627,0.04518599894206498,0.005381107692919555,Load Case 2,5.5,0.2694308847080881,0.7624966636358311,0.2996787121372535,0.7822148329317455,1.1308801154185957,1.054777218280247,0.05310302909829482,0.1267322058786944,0.3371350818920677,0.003803039757922701,Durability check failed: minimum shell area ratio 0.178 is below 0.180. | Durability check failed: width ratio 2.830 exceeds 2.400.,183.07346197963395,4.5,13.00024577163873,4.5,0.006965307448368051,4.35375,0.003063001635243536,446.78057897861936,5.5,5.326999677203728,5.5,0.02465031328910082,4.84875,0.012204030782659442
9,False,88.10284601754931,0.0,0.04171933730803011,3.236517009883836,0.03489973403196334,1.736517009883836,0.5767156330061689,0.5767156330061689,0.2604898991179352,0.010468018555666926,0.004490759357772084,Load Case 2,5.5,0.917398862034446,0.7380773181122049,0.3696567460083652,0.9280379010865463,0.7506340025753773,0.6665357079122696,0.04147861721615174,0.250616646800796,0.23680241986700612,0.0649776189871887,Durability check failed: minimum shell area ratio 0.151 is below 0.180. | Durability check failed: width ratio 2.482 exceeds 2.400.,398.8282679489344,4.5,5.967480721062462,4.5,0.018814698457901284,4.71375,0.007894813269054174,735.3584092812854,5.5,3.236517009883836,5.5,0.03489973403196334,5.18625,0.01787069815274313
10,True,1052.9731475559363,0.0,0.09540630826256427,7.618657795058985,0.01730017742731333,6.118657795058985,0.7820878370596136,0.7820878370596136,0.09672985948302909,0.008652200601031354,0.0,Load Case 2,5.5,0.6420854479996408,0.6025960259007586,0.8913361303316494,0.7279719403497977,1.1258073929788017,1.0617172417292808,0.07977119716727939,0.23487444614062433,0.030702224909485078,0.01766657031808212,,149.6364493586249,4.5,15.90521567573415,4.5,0.0051816239484419446,4.30875,0.002204935246750417,312.39098329675977,5.5,7.618657795058985,5.5,0.01730017742731333,4.5562499999999995,0.006495536745043601
11,False,10.638034785149218,8.777594913674342,0.03756276855809845,1.3675040007119132,0.18738260997553466,0.0,0.3067199052914261,0.30689281010328645,0.250070841332561,0.04278141371776721,0.000230190187274157,Load Case 2,5.5,0.6340128170483559,0.2547061811950534,0.3447253666981104,0.5188314820490137,1.1254845435251477,0.7773808225918613,0.04182193663973376,0.2846761120116367,0.027372231019153908,0.04399212088706981,Minimum factor of safety 1.368 is below the target 1.500. | Durability check failed: width ratio 2.489 exceeds 2.400.,401.2461238200014,4.5,5.931521474504425,4.5,0.01551910613584587,4.44375,0.006490653813275744,1740.3971021371697,5.5,1.3675040007119132,5.5,0.18738260997553466,4.91625,0.07797147683182624
12,True,1139.705015296121,0.0,0.07025395392720414,7.86686721188853,0.011664435895193524,6.36686721188853,0.7794373028553445,0.7794373028553445,0.05768123627278317,0.006731417651637578,0.0,Load Case 2,5.5,0.5836279564122842,0.9337053677836445,0.8365855783236844,0.8460941980532293,0.9148516236608111,0.7077527719091308,0.06108135355311611,0.11411176067485253,0.13081869823735368,0.33924616930071133,,184.0785874395637,4.5,12.929260448510322,4.5,0.007925833071556612,4.5225,0.003159302875740024,302.5346603541633,5.5,7.86686721188853,5.5,0.011664435895193524,4.71375,0.004923721471858103
13,False,198.63537088854085,196.70620438407718,0.04480371437738777,0.8727740369148018,0.35036597071578035,0.0,0.2553734127761811,0.33082671510385897,0.01616328861672947,0.019657153420610352,0.0,Load Case 2,4.5,0.396296979708592,0.2134487372388785,0.37105057714893697,0.8220969620075465,0.6130501206293615,0.7589942566672608,0.0675290414639634,0.23234198827448757,0.01145540224519829,0.05049339047218123,Minimum factor of safety 0.873 is below the target 1.500.,908.1189380861381,4.5,2.6208020779919567,4.5,0.041184299470785515,4.5337499999999995,0.014565189579628096,2726.937213225478,4.5,0.8727740369148018,4.5,0.35036597071578035,4.69125,0.12789486254182253
14,True,211.5504452351313,0.0,0.06867571240392363,4.222401473188466,0.03235097710378256,2.722401473188466,0.671244771203342,0.671244771203342,0.05353496056686042,0.013574925162962114,0.0,Load Case 2,4.5,0.7014349165934562,0.5826952869045026,0.7988411118028117,0.759967373982688,0.5546632557522189,0.9540734684012384,0.07252053100005293,0.2562305425790985,0.08688856507721825,0.00545234667961762,,486.50170620265067,4.5,4.892069173974528,4.5,0.023080621794055185,4.42125,0.008280686157687529,563.6602807934293,4.5,4.222401473188466,4.5,0.03235097710378256,4.635,0.011938794969908585
15,True,529.0034983286256,0.0,0.06061093320968317,5.828895308000098,0.017546030492239933,4.328895308000098,0.7175766421345424,0.7191077955088949,0.023288694571583276,0.008049322154057539,0.0,Load Case 2,5.5,0.6104572351727244,0.8724574559542149,0.6529636731546227,0.6645426012047837,0.6081654521921485,0.8358349703371089,0.0658833437022931,0.32197524972406044,0.3055783036233137,0.26954326658842087,,330.5047039976931,4.5,7.201107794267921,4.5,0.017546030492239933,4.41,0.006773056382472926,408.3106445115724,5.5,5.828895308000098,5.5,0.017195022442688182,4.75875,0.007300429142927249
