evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.7412705265074908,0.49804561586709417,0.7412705265074908,0.6526259219155313,0.3631204447854127,0.6526259219155313,0.05229265436339086,0.6865497112867697,0.701284714712185,0.6865497112867697,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.6728407077800527,0.7421421115243769,0.6728407077800527,1.0945948965236567,0.36383903656183014,1.0945948965236567,0.07390349710689906,0.530497831991223,0.8684464293969469,0.530497831991223,Web openings are too large; keep a remaining ligament larger than 0.074 in.,,,,,,,,,,,,,,
3,True,0.025511854201053615,0.0,0.025511854201053615,2.193096185416383,0.07193666643268916,0.6930961854163828,0.2700526808290772,0.4185720557307436,7.992667925606904e-07,0.028118782024066532,0.0,Load Case 2,5.5,0.2626015352125701,0.5359750883715814,0.2626015352125701,0.7067793701486862,0.9683511764106765,0.7067793701486862,0.04302090852712229,0.49957828901848167,0.6083798996841032,0.49957828901848167,,382.3778796249369,4.5,6.2242094190554935,4.5,0.016874618099338577,4.5,0.006959566122278577,1085.2237197011636,5.5,2.193096185416383,5.5,0.07193666643268916,4.9275,0.03543904283447953
4,True,0.02904816716684083,0.0,0.02904816716684083,1.6620420372785922,0.11475117576773843,0.16204203727859223,0.22586728772128548,0.3212063037443368,5.73758330163286e-07,0.020458488201120284,0.0,Load Case 2,5.5,0.27161933605408733,0.48374435341145283,0.27161933605408733,0.6210185062091172,0.4523967953114216,0.6210185062091172,0.060448156189482724,0.49706720946307664,0.4637398297507562,0.49706720946307664,,894.8772955593339,4.5,2.6595825056801843,4.5,0.06230113328510298,4.5,0.022689444163410732,1431.9734077827438,5.5,1.6620420372785922,5.5,0.11475117576773843,4.859999999999999,0.05234980083588545
5,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.6917381223066996,0.372007005762201,0.6917381223066996,0.5222637604948747,0.7246202352675786,0.5222637604948747,0.07988718798997561,0.6154025657791005,0.6850945702496058,0.6154025657791005,Web openings are too large; keep a remaining ligament larger than 0.080 in.,,,,,,,,,,,,,,
6,True,0.03671388282833299,0.0,0.03671388282833299,2.940709020663486,0.026976466603445205,1.440709020663486,0.4490798116092529,0.5086073960628837,3.108615006690767e-08,0.0007000850242401497,0.0,Load Case 2,5.5,0.5846258601165142,0.6422472667218044,0.5846258601165142,1.096102573942891,1.0416574719995444,1.096102573942891,0.05156883654399263,0.6728990578881076,0.7782529555621179,0.6728990578881076,,329.3721822869954,4.5,7.225868266938855,4.5,0.008738777092284655,4.5,0.0032503834588087006,809.328629006287,5.5,2.940709020663486,5.5,0.026976466603445205,4.7924999999999995,0.011305739597785112
7,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.3780136279012387,0.36841774546833245,0.3780136279012387,1.1875117683552003,0.5922205509244719,1.1875117683552003,0.05246602343342443,0.7257299535836896,0.8904684053275177,0.7257299535836896,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
8,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.298162356420216,0.7079277698680387,0.298162356420216,0.4134392807092767,0.9687729642302241,0.4134392807092767,0.07107377666420893,0.6051433710621271,0.7880316495752664,0.6051433710621271,Web openings are too large; keep a remaining ligament larger than 0.071 in.,,,,,,,,,,,,,,
9,True,0.03403474341381116,0.0,0.03403474341381116,2.2746014520489846,0.061483006269117235,0.7746014520489846,0.42477315210296607,0.4649842768551724,1.2063644629791893e-07,0.004176594032056437,0.0,Load Case 2,5.5,0.6511949810246916,0.5433865547976994,0.6511949810246916,0.4102943894077468,0.5149603929239193,0.4102943894077468,0.0537990448555671,0.5140141031825775,0.45392219672966705,0.5140141031825775,,724.1413370374912,4.5,3.2866512078108028,4.5,0.052974817197526,4.5,0.02045665984241188,1046.3371496822317,5.5,2.2746014520489846,5.5,0.061483006269117235,4.75875,0.02488580728733733
10,True,0.029111570500950455,0.0,0.029111570500950455,2.1002060755545293,0.07673453191326823,0.6002060755545293,0.2883807286193327,0.40841965962891497,9.448888754600696e-07,0.029579262975359764,0.0,Load Case 2,5.5,0.2553319648868708,0.5437850272264114,0.2553319648868708,0.5482058396688585,0.685170742850987,0.5482058396688585,0.05927524167864256,0.4091299512333974,0.7452968202392167,0.4091299512333974,,528.4074306597752,4.5,4.504100173285426,4.5,0.02991406322715502,4.5,0.01214821100532352,1133.222128867328,5.5,2.1002060755545293,5.5,0.07673453191326823,4.9275,0.03802488922989727
