evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.394412670901631,0.5582952274620112,0.394412670901631,0.3191666274749834,0.34201370097451367,0.3191666274749834,0.06479710447041587,0.7205281024879101,0.3206084734448586,0.7205281024879101,Web openings are too large; keep a remaining ligament larger than 0.065 in.,,,,,,,,,,,,,,
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5688413088179056,0.33612931862668033,0.5688413088179056,0.7776257734648869,0.7013147822236252,0.7776257734648869,0.08694673653531282,0.18584210640658858,0.826532163463746,0.18584210640658858,Web openings are too large; keep a remaining ligament larger than 0.087 in.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.3864292339942408,0.30700561680432725,0.3864292339942408,0.2676727201124915,0.7156392802595096,0.2676727201124915,0.06055646373020473,0.8584208950575266,0.2530891293895198,0.8584208950575266,Web openings are too large; keep a remaining ligament larger than 0.061 in.,,,,,,,,,,,,,,
4,True,0.7168458598587437,0.0,0.053880922377031654,5.290815067521503,0.020815151551164174,3.7908150675215033,0.6259322665979182,0.6460155116215951,5.2288670989663535e-08,0.0013844981409381796,0.0,Load Case 2,5.5,0.626663278596763,0.7327453552990959,0.626663278596763,0.6148216642903321,0.627769865041304,0.6148216642903321,0.06968450121497248,0.37219341297415137,0.48654472923393594,0.37219341297415137,,363.3189143192355,4.5,7.706727862617521,4.5,0.01722041982424002,4.5,0.006542104077826993,529.2190266086294,5.5,5.290815067521503,5.5,0.020815151551164174,4.8149999999999995,0.008911484080419925
5,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.2132816972787468,0.7212244989756584,0.2132816972787468,0.22318200963494456,0.47005718265185026,0.22318200963494456,0.05597119269524041,0.687083524752499,0.3618016248128201,0.687083524752499,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
6,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.6676460506233947,0.2341549118991546,0.6676460506233947,0.5792682763773087,0.6711908554054472,0.5792682763773087,0.09818483855447493,0.7765599656225183,0.3984790778385043,0.7765599656225183,Web openings are too large; keep a remaining ligament larger than 0.098 in.,,,,,,,,,,,,,,
7,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.3215508729177087,0.24100000646930134,0.3215508729177087,0.4898960723241572,0.743106100152056,0.4898960723241572,0.05050322213609292,0.7733182588019097,0.7857986599209199,0.7733182588019097,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
8,True,0.3762251729842214,0.0,0.0407029205969752,3.046212750061418,0.04556987761656815,1.546212750061418,0.47951129169699397,0.5285689186685862,3.5331114256596967e-07,0.006099580889193303,0.0,Load Case 2,5.5,0.6439463429263523,0.49615410903408486,0.6439463429263523,0.7584426827766336,0.67840853933941,0.7584426827766336,0.05592803456610708,0.2531781965389763,0.6731305574375634,0.2531781965389763,,557.1020662947028,4.5,5.02600900158719,4.5,0.020293650044304723,4.5,0.0073066534223015425,919.1741449915296,5.5,3.046212750061418,5.5,0.04556987761656815,4.725,0.017710489709260487
9,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5544422550673628,0.5262474082178401,0.5544422550673628,0.6480522458437256,0.49868208235230915,0.6480522458437256,0.076146284441821,0.8879833424508082,0.2143836377640917,0.8879833424508082,Web openings are too large; keep a remaining ligament larger than 0.076 in.,,,,,,,,,,,,,,
10,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.24343529321595067,0.6771628322786719,0.24343529321595067,0.24027537543880692,0.5041799990908947,0.24027537543880692,0.05437607213312767,0.21786040793087635,0.7748946830714633,0.21786040793087635,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
