evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,5.776444655308324,5.544471197325217,0.03969687741270286,1.3946959526198046,0.14778044221663442,0.0,0.32046096761733994,0.4193666829156387,1.2473866632564828e-06,0.039220761061829194,0.0,Load Case 2,4.5,0.4626315146837036,0.21646054085370475,0.4626315146837036,0.4723655833529702,0.7738611339120932,0.4723655833529702,0.08647489911832369,0.2840056553396468,0.6641872364546483,0.2840056553396468,Minimum factor of safety 1.395 is below the target 1.500.,594.3721980350751,4.5,6.729789874465077,4.5,0.017256455549296487,4.5,0.0067466828851480915,2868.0086096803952,4.5,1.3946959526198046,4.5,0.14778044221663442,4.6575,0.05331847840240959
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.26553266438786727,0.6538695201515604,0.26553266438786727,0.7080168839636802,0.5529965244899163,0.7080168839636802,0.05493568195078569,0.2656604547060555,0.8465320096251684,0.2656604547060555,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.6092998717848811,0.6901865173034727,0.6092998717848811,0.7193107813075237,0.4385311934642074,0.7193107813075237,0.046853898756512635,0.8719822105169275,0.23523192887549071,0.8719822105169275,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
4,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.2541976672267193,0.49429188557475245,0.2541976672267193,0.4201991245565759,0.4203107372342338,0.4201991245565759,0.05011258690298853,0.8563378996806753,0.13356998857791616,0.8563378996806753,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
5,True,0.2606542196777363,0.0,0.035000822884562424,2.149274073392537,0.10173159059755468,0.6492740733925371,0.36203710057596517,0.4294902283659464,4.0950436677100826e-07,0.014630982209664673,0.0,Load Case 2,4.5,0.5269702633929221,0.33112973692864023,0.5269702633929221,0.6328420250862259,0.4688747941667103,0.6328420250862259,0.05338737243957713,0.14312817292966407,0.14403346556480562,0.14312817292966407,,1205.9983339311077,4.5,3.316754167446884,4.5,0.04197818959006726,4.5,0.014550863224467537,1861.0934964130336,4.5,2.149274073392537,4.5,0.10173159059755468,4.68,0.03760491522192702
6,True,0.5129539372978631,0.0,0.0379439395965881,4.101459180658299,0.04437457027707559,2.601459180658299,0.5660970005477468,0.5777975856370624,3.32143837922539e-07,0.008960036443415106,0.0,Load Case 2,5.5,0.5671311965114084,0.6176927783312953,0.5671311965114084,0.5429240951852197,0.36438586046427107,0.5429240951852197,0.06324505203784696,0.6742261775999592,0.39389320835082275,0.6742261775999592,,973.0917053823824,4.5,4.110609491248489,4.5,0.04437457027707559,4.5,0.015596058414318728,975.2626623381353,5.5,4.101459180658299,5.5,0.03244112523634089,4.77,0.013350222159148254
7,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.47377045485411123,0.5453273353228385,0.47377045485411123,0.30846428777070023,0.2629610358604615,0.30846428777070023,0.0862475807753835,0.8120191519214036,0.875693877768963,0.8120191519214036,Web openings are too large; keep a remaining ligament larger than 0.086 in.,,,,,,,,,,,,,,
8,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5727791879265234,0.7162293113642229,0.5727791879265234,0.47375455220364726,0.48517793900993256,0.47375455220364726,0.05464469926349848,0.3188114883263136,0.683330726896218,0.3188114883263136,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
9,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.6598210681906376,0.7379039526169464,0.6598210681906376,0.6999101378745465,0.2588459858895856,0.6999101378745465,0.08143546813560212,0.4545564218517582,0.3423924568598777,0.4545564218517582,Web openings are too large; keep a remaining ligament larger than 0.081 in.,,,,,,,,,,,,,,
10,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.4011474897071897,0.45126475083812473,0.4011474897071897,0.4139529249644791,0.22399836108020274,0.4139529249644791,0.09801100479057548,0.07491867225340033,0.557528997226439,0.07491867225340033,Web openings are too large; keep a remaining ligament larger than 0.098 in.,,,,,,,,,,,,,,
11,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.3892378872230853,0.38880091105193443,0.3892378872230853,0.347748636146642,0.47127465337008656,0.347748636146642,0.08167828656092274,0.8579308273491213,0.809444024583217,0.8579308273491213,Web openings are too large; keep a remaining ligament larger than 0.082 in.,,,,,,,,,,,,,,
