evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.8867260744109811,0.7351016624273901,0.8867260744109811,0.5078393418919052,0.2537261091372924,0.5078393418919052,0.048670523706741346,0.5204916188271875,0.804517760694625,0.5204916188271875,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.2581424097889724,0.8340240773754741,0.2581424097889724,0.376730224648096,0.4868665110766812,0.376730224648096,0.10942204262379837,0.03681755875817743,0.4326046608692755,0.03681755875817743,Web openings are too large; keep a remaining ligament larger than 0.109 in.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.7818558748347222,0.2294334997195694,0.7818558748347222,0.7214075530422578,0.2908835219463639,0.7214075530422578,0.08130626910127148,0.7422456346086123,0.5992897307487322,0.7422456346086123,Web openings are too large; keep a remaining ligament larger than 0.081 in.,,,,,,,,,,,,,,
4,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.661516827460749,0.8978370851451538,0.661516827460749,0.6773319309567069,0.45836159303760704,0.6773319309567069,0.11072507363626524,0.8310885723135072,0.08086724194967267,0.8310885723135072,Web openings are too large; keep a remaining ligament larger than 0.111 in.,,,,,,,,,,,,,,
5,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5731388732955673,0.47413222874291,0.5731388732955673,0.6199265922439199,0.5680777702792168,0.6199265922439199,0.10591092163678664,0.5734548574183289,0.3020219306707349,0.5734548574183289,Web openings are too large; keep a remaining ligament larger than 0.106 in.,,,,,,,,,,,,,,
6,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5383152840000731,0.23581362302139078,0.5383152840000731,0.6208589118670997,0.6410117171122256,0.6208589118670997,0.09495078198238421,0.6450445951731281,0.6295596976098201,0.6450445951731281,Web openings are too large; keep a remaining ligament larger than 0.095 in.,,,,,,,,,,,,,,
7,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5419303275114673,0.41811039220958873,0.5419303275114673,0.32010908846605773,0.44418911569569486,0.32010908846605773,0.09094920541917031,0.043177797593633875,0.030639866302557897,0.043177797593633875,Web openings are too large; keep a remaining ligament larger than 0.091 in.,,,,,,,,,,,,,,
8,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5705197750605594,0.8763116649559066,0.5705197750605594,0.3206449457118282,0.8766037128029504,0.3206449457118282,0.0683899536330639,0.4536257295137217,0.006035224823127696,0.4536257295137217,Web openings are too large; keep a remaining ligament larger than 0.068 in.,,,,,,,,,,,,,,
9,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.42237710641111026,0.8436355221792504,0.42237710641111026,0.5779233406075804,0.30472704151699515,0.5779233406075804,0.04586040410016772,0.5079819018581975,0.7124121238785861,0.5079819018581975,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
10,True,0.3018551492811295,0.0,0.042549165284362804,3.284652732733175,0.044524431086029416,1.784652732733175,0.500283575870836,0.5265278710049786,1.3484628255211413e-07,0.0017344482712844543,0.0,Load Case 2,5.5,0.684224074674346,0.7261746909663926,0.684224074674346,0.44961552325461196,0.4988663890223868,0.44961552325461196,0.051730558398536255,0.31079949221586506,0.022085122710434155,0.31079949221586506,,589.4293869984917,4.5,4.037803429040925,4.5,0.044524431086029416,4.5,0.017085322911075493,724.5819249877264,5.5,3.284652732733175,5.5,0.03496822690905173,4.80375,0.014764509098016139
11,False,20.341159152706517,20.251600176418318,0.03679873980793297,1.2987459308415439,0.15709169186926863,0.0,0.26380118240133077,0.3370884433929327,1.3846201874110402e-06,0.03859660354769866,0.0,Load Case 2,4.5,0.6533016312423064,0.30336703271051335,0.6533016312423064,0.33884285731267694,0.517862377698122,0.33884285731267694,0.06827533336665435,0.06011219211521592,0.6022943166834768,0.06011219211521592,Minimum factor of safety 1.299 is below the target 1.500.,1016.6945052981398,4.5,2.340919506889711,4.5,0.06993200513065687,4.5,0.026762817142514564,1832.5370216619963,4.5,1.2987459308415439,4.5,0.15709169186926863,4.6575,0.056704982636744845
12,True,0.6032982511358868,0.0,0.06273304227002491,4.417249390824355,0.028884934208883644,2.917249390824355,0.5752400422630415,0.5900142838972259,1.0717217811685413e-06,0.03479393597896259,0.0,Load Case 2,5.5,0.41452552479599325,0.715972247774944,0.41452552479599325,0.8718642694190596,0.4538624176491728,0.8718642694190596,0.09278064932972055,0.5666736719262756,0.25919821182414376,0.5666736719262756,,494.99012186203356,4.5,4.808176759259384,4.5,0.027071648107485448,4.5,0.009264852578685792,538.7968369963011,5.5,4.417249390824355,5.5,0.028884934208883644,4.82625,0.012764952098794528
13,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5937121619329644,0.699151792505827,0.5937121619329644,0.41487125341948783,0.4426865514799137,0.41487125341948783,0.10279958949110765,0.1324340211631282,0.2532846584196818,0.1324340211631282,Web openings are too large; keep a remaining ligament larger than 0.103 in.,,,,,,,,,,,,,,
14,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.3398894260579125,0.8175670162833988,0.3398894260579125,0.2670640326974673,0.8630372009416885,0.2670640326974673,0.07217635094321218,0.6216546493051264,0.8232487154975645,0.6216546493051264,Web openings are too large; keep a remaining ligament larger than 0.072 in.,,,,,,,,,,,,,,
15,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.2480107462174708,0.857147318580475,0.2480107462174708,0.6915190074575257,0.26539215553798046,0.6915190074575257,0.07596494202245092,0.825956789279538,0.4902461199018741,0.825956789279538,Web openings are too large; keep a remaining ligament larger than 0.076 in.,,,,,,,,,,,,,,
16,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.3609247070069972,0.32189671226212024,0.3609247070069972,0.4615715072342661,0.608777193362297,0.4615715072342661,0.06573546433987892,0.31443818279826774,0.8552088309613196,0.31443818279826774,Web openings are too large; keep a remaining ligament larger than 0.066 in.,,,,,,,,,,,,,,
17,True,0.1986573095346274,0.0,0.043806399613854394,2.6786825991054153,0.04916709167621844,1.1786825991054153,0.4269313822453906,0.4602343278719169,5.354411736821035e-07,0.012398991444073677,0.0,Load Case 2,5.5,0.7665417781113515,0.5650279679352535,0.7665417781113515,0.6719729005535481,0.47752937569905063,0.6719729005535481,0.053794874678524424,0.07466077288832959,0.5012502760638032,0.07466077288832959,,791.0198627874614,4.5,3.0087740042496005,4.5,0.04407021488927938,4.5,0.015290795048590253,888.4964574731009,5.5,2.6786825991054153,5.5,0.04916709167621844,4.71375,0.01868865722889463
18,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.19569437893997332,0.7124477273264809,0.19569437893997332,0.24285314140670622,0.4795048368944851,0.24285314140670622,0.08077645676731293,0.012656909315766471,0.7264760937608152,0.012656909315766471,Web openings are too large; keep a remaining ligament larger than 0.081 in.,,,,,,,,,,,,,,
19,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.23684480964871965,0.4150567947352118,0.23684480964871965,0.2677968792781071,0.6126169774056478,0.2677968792781071,0.10266196115573367,0.2866567862508604,0.29120827660484155,0.2866567862508604,Web openings are too large; keep a remaining ligament larger than 0.103 in.,,,,,,,,,,,,,,
20,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.40465004617510403,0.35870977369252444,0.40465004617510403,0.890755583369041,0.534582381819715,0.890755583369041,0.07788524877267752,0.462901445280039,0.8766642330718024,0.462901445280039,Web openings are too large; keep a remaining ligament larger than 0.078 in.,,,,,,,,,,,,,,
21,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.22651201886648248,0.7173281560858149,0.22651201886648248,0.368287889897876,0.7620703112755046,0.368287889897876,0.07618409502195293,0.4669309191443829,0.840062034361101,0.4669309191443829,Web openings are too large; keep a remaining ligament larger than 0.076 in.,,,,,,,,,,,,,,
22,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.2926344911313675,0.8299084867042064,0.2926344911313675,0.6212077717875671,0.24607168018128106,0.6212077717875671,0.1038481069556223,0.09036112822181883,0.8244229832755567,0.09036112822181883,Web openings are too large; keep a remaining ligament larger than 0.104 in.,,,,,,,,,,,,,,
23,True,2.6458746497240067,0.0,0.09533550488612016,8.44252271988483,0.010498927401906812,6.942522719884829,0.7030402951601704,0.8200360722345219,2.8945011080230645e-08,0.0010013853407761836,0.0,Load Case 2,5.5,0.790686133702347,0.8812309943748509,0.790686133702347,0.728798694872734,0.6651161403948685,0.728798694872734,0.1099302253922933,0.5226114029764741,0.49284337372874665,0.5226114029764741,,219.06861269176582,4.5,10.864176162692509,4.5,0.010498927401906812,4.5,0.003897922637090665,281.9062594163167,5.5,8.44252271988483,5.5,0.010413199925398908,4.7924999999999995,0.004386105494163211
24,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.4844749442663416,0.8065370687403914,0.4844749442663416,0.560384566563719,0.844801627447001,0.560384566563719,0.07159931062032332,0.7284549401720528,0.24355866290706427,0.7284549401720528,Web openings are too large; keep a remaining ligament larger than 0.072 in.,,,,,,,,,,,,,,
25,True,0.8732714541865426,0.0,0.06017133176953087,5.21412862678185,0.018574564558213966,3.71412862678185,0.6168127480149511,0.6336496844528641,3.3173244208598606e-07,0.0031928426109417655,0.0,Load Case 2,5.5,0.7694535259027091,0.8294847358144553,0.7694535259027091,0.6350889626230567,0.6200808254188646,0.6350889626230567,0.06733476538367833,0.1430601760298132,0.6268962707179853,0.1430601760298132,,370.2651511792905,4.5,6.42782609278709,4.5,0.018574564558213966,4.5,0.006947261356466907,456.4521074097344,5.5,5.21412862678185,5.5,0.01783840977521131,4.78125,0.007444619017546318
26,False,372.15704508647633,372.09612409201907,0.023215592347672346,0.6373342198834834,0.4255750318272298,0.0,0.18852701054786292,0.42673995711984697,1.6370448887148072e-06,0.05387343667376325,0.0,Load Case 2,4.5,0.5433456595351085,0.1845964249780225,0.5433456595351085,0.4890573763918993,0.663797425741798,0.4890573763918993,0.04366353028885518,0.5892265055287128,0.23597935829542147,0.5892265055287128,Minimum factor of safety 0.637 is below the target 1.500.,1139.0405884307822,4.5,2.089477779961156,4.5,0.05940714229121758,4.5,0.02225649286059446,3734.3044288993433,4.5,0.6373342198834834,4.5,0.4255750318272298,4.62375,0.14570378450781735
27,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.3512137777726342,0.5096716535303263,0.3512137777726342,0.7834783466142486,0.3028272155424985,0.7834783466142486,0.061541321641211705,0.8289721571089602,0.5181489525362362,0.8289721571089602,Web openings are too large; keep a remaining ligament larger than 0.062 in.,,,,,,,,,,,,,,
28,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.8538001389964689,0.7333884506667916,0.8538001389964689,0.3852980970451988,0.3413265460023061,0.3852980970451988,0.040411284633170404,0.28370063066081064,0.8927352241921038,0.28370063066081064,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
29,False,125.89845837590074,125.85505022168375,0.020269177494167557,0.9982928140405327,0.23914928276131042,0.0,0.11569488361410563,0.26639410153637477,5.4702699500821693e-08,0.0013284689477264123,0.0,Load Case 2,5.5,0.3354889370378622,0.31129351586714943,0.3354889370378622,0.5463991675585306,0.6228537715258633,0.5463991675585306,0.0461796613888276,0.4894381042559085,0.6195247718753675,0.4894381042559085,Minimum factor of safety 0.998 is below the target 1.500.,979.9419196675846,4.5,2.4287153679550135,4.5,0.05750931707418845,4.5,0.021940444495718133,2384.0700509173125,5.5,0.9982928140405327,5.5,0.23914928276131042,4.78125,0.09839180802477036
