evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.28576988533949355,0.6372851870683145,0.28576988533949355,0.41708247773498,0.5402224354051992,0.41708247773498,0.08671598215069065,0.49228607289185033,0.8308523031481994,0.49228607289185033,Web openings are too large; keep a remaining ligament larger than 0.087 in.,,,,,,,,,,,,,,
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.3123457297134031,0.44766249379509426,0.3123457297134031,0.5168544013537137,0.4201125797299539,0.5168544013537137,0.09786333703175956,0.546807616156607,0.1767969416868461,0.546807616156607,Web openings are too large; keep a remaining ligament larger than 0.098 in.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.6479751530371449,0.6667077400713428,0.6479751530371449,0.5134495989572923,0.25507109018418556,0.5134495989572923,0.06172675643851197,0.3848810991648424,0.8383030758673905,0.3848810991648424,Web openings are too large; keep a remaining ligament larger than 0.062 in.,,,,,,,,,,,,,,
4,False,34.96006026024293,34.82675210646377,0.026890058268054677,1.2360804967174128,0.16688317210253828,0.0,0.21283619102222184,0.26929809810136623,3.6738071949954426e-08,0.0007671320420230539,0.0,Load Case 2,5.5,0.36972318732963105,0.40779212879683324,0.36972318732963105,0.40207078692999265,0.4217188348328579,0.40207078692999265,0.055277338049172176,0.23574101041887138,0.35717395374411326,0.23574101041887138,Minimum factor of safety 1.236 is below the target 1.500.,1194.2549468820573,4.5,1.9928743072939894,4.5,0.10464294659965641,4.5,0.0398316382121573,1925.440945246226,5.5,1.2360804967174128,5.5,0.16688317210253828,4.80375,0.07080482897368914
5,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.32422395046219,0.7984329403574223,0.32422395046219,0.3637712268712894,0.4535650612347796,0.3637712268712894,0.07827142329962355,0.5564398319471956,0.699389118192793,0.5564398319471956,Web openings are too large; keep a remaining ligament larger than 0.078 in.,,,,,,,,,,,,,,
6,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.7765358341681728,0.5218912662198628,0.7765358341681728,0.23691320742576705,0.28796463600390937,0.23691320742576705,0.08785344667622255,0.1558389385000676,0.8892205953887135,0.1558389385000676,Web openings are too large; keep a remaining ligament larger than 0.088 in.,,,,,,,,,,,,,,
7,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.22062577142349585,0.3242620440031435,0.22062577142349585,0.3105951735898449,0.44974574925824073,0.3105951735898449,0.05807602575668455,0.4643622086064351,0.4346336767253815,0.4643622086064351,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
8,True,0.22527862951514763,0.0,0.03498865721289055,2.1551339178011353,0.10822937132826317,0.6551339178011353,0.3376598995791677,0.371008385189099,2.237889634777838e-07,0.0070805393866275506,0.0,Load Case 2,5.5,0.5184074758574454,0.6336238227431837,0.5184074758574454,0.27650548289108634,0.37867480187664204,0.27650548289108634,0.05601966059584415,0.010166929698272932,0.16745367969912475,0.010166929698272932,,943.2544460358703,4.5,2.5231792015422876,4.5,0.10822937132826317,4.5,0.043796209977770215,1104.339725871093,5.5,2.1551339178011353,5.5,0.06446416665040222,4.8374999999999995,0.02848737936948782
9,True,0.3449410392884795,0.0,0.030725532280432295,2.85728992970406,0.04712836661135873,1.3572899297040601,0.4442074186884892,0.4915663387237273,5.842914083263243e-07,0.019451155284974597,0.0,Load Case 2,5.5,0.454877865443819,0.7708976973022325,0.454877865443819,0.3825932365049944,0.5416262385518545,0.3825932365049944,0.04557368273927982,0.5135662286111428,0.31731080504894377,0.5135662286111428,,562.5114872406768,4.5,4.231024706134917,4.5,0.04712836661135873,4.5,0.019583874962051388,832.9571232018815,5.5,2.85728992970406,5.5,0.04271952150447026,4.905,0.02037883691759506
10,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.4359166837630322,0.6068584467794712,0.4359166837630322,0.29750234552939714,0.37109954384333266,0.29750234552939714,0.09957809243673652,0.7963630998048425,0.864161284493868,0.7963630998048425,Web openings are too large; keep a remaining ligament larger than 0.100 in.,,,,,,,,,,,,,,
11,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5437962466924007,0.3901670689420723,0.5437962466924007,0.47673598259171635,0.2496977812000566,0.47673598259171635,0.06240776701310463,0.890510448545088,0.5450679742674215,0.890510448545088,Web openings are too large; keep a remaining ligament larger than 0.062 in.,,,,,,,,,,,,,,
12,True,0.5250271669417111,0.0,0.04936134336581424,3.559298622435788,0.03911637274982715,2.059298622435788,0.5272605655152004,0.5572674156155922,7.771048988683897e-07,0.025280778905309248,0.0,Load Case 2,5.5,0.3465743561706307,0.7200473431474098,0.3465743561706307,0.5439229958120279,0.5085354812410245,0.5439229958120279,0.07022576333704254,0.26061107018914126,0.001470721263639249,0.26061107018914126,,471.3053030630284,4.5,5.049805263238718,4.5,0.035291469187289176,4.5,0.01363621740795223,668.6710648546986,5.5,3.559298622435788,5.5,0.03911637274982715,4.91625,0.018957552697863558
