evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.24008338261036918,0.7858640756016196,0.3696683385398112,0.2601896692730328,0.27876301547947374,0.5212509749066216,0.04739822486046323,0.6088675037808763,0.23042666809631884,0.8598280803957352,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5158497795500706,0.7054342722164784,0.23039329856961616,0.27246364995545636,0.31352220792236735,0.27325476153958517,0.09172155578156543,0.3102221667545094,0.6301367743222398,0.8457591253360923,Web openings are too large; keep a remaining ligament larger than 0.092 in.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.41048102714533263,0.23350414524597052,0.2343694346588624,0.25102567722956637,0.34741111007380554,0.49879701582539115,0.09985213412399548,0.40677643397288044,0.20050304427950724,0.23700217438319054,Web openings are too large; keep a remaining ligament larger than 0.100 in.,,,,,,,,,,,,,,
4,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5039065052475168,0.6248509066683696,0.713211402085663,0.5303862578313533,0.3895569555688632,0.26618351374884186,0.09863717041849529,0.12168515596024909,0.811994581784904,0.6856792225822131,Web openings are too large; keep a remaining ligament larger than 0.099 in.,,,,,,,,,,,,,,
5,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.4982188997652116,0.5477225945645638,0.6853180740314355,0.474836664588967,0.5306567499884403,0.30635661387705704,0.08026082416487677,0.5020595640951154,0.21152172969721705,0.6367016367781114,Web openings are too large; keep a remaining ligament larger than 0.080 in.,,,,,,,,,,,,,,
6,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.7780233143855034,0.29339535660590366,0.687987056931021,0.3373699080574812,0.3100533424478681,0.2722088619743266,0.09598251719195926,0.6526526500548715,0.30003292417321453,0.500685964231589,Web openings are too large; keep a remaining ligament larger than 0.096 in.,,,,,,,,,,,,,,
7,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5567056782672191,0.781686837234844,0.5919369813139304,0.49812146640338406,0.34373373674211916,0.3977557521847374,0.08622792929021608,0.01745701449461007,0.43599035456820895,0.6948651006220696,Web openings are too large; keep a remaining ligament larger than 0.086 in.,,,,,,,,,,,,,,
8,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.3479816884292075,0.681309957027167,0.49169222826161085,0.3668311179634702,0.3096481859780723,0.3996484471783781,0.08898023765434893,0.5651683361845627,0.4676630988964766,0.8830317501538035,Web openings are too large; keep a remaining ligament larger than 0.089 in.,,,,,,,,,,,,,,
9,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.7174803087239752,0.32255786193480274,0.7454351691111804,0.3719187385467318,0.4164934024249102,0.37409624973630096,0.040108802593822344,0.8739657312178623,0.4399512240756452,0.25358609885487243,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
10,False,57.876518350862874,57.74635132751379,0.024454276483008075,1.1601578268445372,0.1754081149795121,0.0,0.21142549373214498,0.2798622550846731,0.03636395031970785,0.01513706497168814,0.0,Load Case 2,5.5,0.5093826581889898,0.36562116169389436,0.5823005158442908,0.4004721157577542,0.5025097049953071,0.3007879983512986,0.040496729449131935,0.03639240130118022,0.2044213141041605,0.20456078648605763,Minimum factor of safety 1.160 is below the target 1.500.,1215.283004023614,4.5,1.9583915780276595,4.5,0.09542611024106365,4.578749999999999,0.03872143803271164,2051.445023194179,5.5,1.1601578268445372,5.5,0.1754081149795121,4.69125,0.06757585248929161
