evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.434873888987974,0.7374790405335794,0.2811718565331943,0.2500222733928817,0.2502496850690753,0.42072874570439656,0.059497341907837224,0.12522806118546573,0.06577597511594792,0.5389795807259921,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.3521903548014447,0.46203771863808907,0.24853077055727224,0.31199094113182874,0.36464758251210794,0.6748641743997486,0.0652991082070041,0.08457687891258256,0.4904097896222806,0.09951860970006776,Web openings are too large; keep a remaining ligament larger than 0.065 in.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.36666577230409586,0.24153075512748412,0.7410876762015934,0.48112001634569734,0.3382859875512726,0.5559050214545932,0.0850681451702558,0.8188886226643373,0.7804243740025902,0.2156358688676601,Web openings are too large; keep a remaining ligament larger than 0.085 in.,,,,,,,,,,,,,,
4,False,80.86204827453575,80.7063757080581,0.02454721507714927,1.0982379417912684,0.1990754996109928,0.0,0.21854225233416533,0.31154920681560333,0.09367636827890756,0.0071678355135578135,0.0,Load Case 2,5.5,0.5408497299780299,0.3381412553792844,0.35247933379835217,0.5701667677370408,0.5803199497687657,0.6313877864477974,0.041188015084690395,0.4955023369974284,0.2544078726944414,0.2988466453206431,Minimum factor of safety 1.098 is below the target 1.500.,1023.8117715089622,4.5,2.3246460591991407,4.5,0.05878933688631821,4.5112499999999995,0.021727751145298582,2167.107790974812,5.5,1.0982379417912684,5.5,0.1990754996109928,4.89375,0.08344080084672831
5,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.6075063679450519,0.3707771529401909,0.31544650848059613,0.252461053926323,0.6221472690309228,0.2216725883196089,0.09060442380632158,0.5788497619924554,0.020785035989259945,0.4736068906825675,Web openings are too large; keep a remaining ligament larger than 0.091 in.,,,,,,,,,,,,,,
6,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.7252527723228841,0.732471726670624,0.27199916726522877,0.5481580640602086,0.6890010563535343,0.2534038300286027,0.07155709258786899,0.7222234677059839,0.7684041808553148,0.6195499434822088,Web openings are too large; keep a remaining ligament larger than 0.072 in.,,,,,,,,,,,,,,
7,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.7394609200053486,0.36528293637861753,0.2279047869223371,0.6466088911649612,0.5320025124459563,0.2930182873030563,0.0728515714583561,0.012199183328174431,0.050702473930809594,0.7864902470137057,Web openings are too large; keep a remaining ligament larger than 0.073 in.,,,,,,,,,,,,,,
8,True,0.26407251496476414,0.0,0.032208487353393656,2.3216765608087386,0.08695713990727648,0.8216765608087386,0.3639349669995349,0.4085731011850848,0.03364280691602681,0.01000689791742033,0.0,Load Case 2,5.5,0.55882993491395,0.718587739310069,0.39908010855844245,0.3346290308456914,0.3949565790055458,0.36368498691424667,0.05053746722730115,0.31147959192124364,0.2265844048766378,0.46326888542478567,,850.635044427883,4.5,2.7979096506666163,4.5,0.08695713990727648,4.5112499999999995,0.0345173181369793,1025.1212594276892,5.5,2.3216765608087386,5.5,0.055063816996485306,5.00625,0.026765254665447737
9,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.6691439247273685,0.26460119380103486,0.21409951070857589,0.3392658810661235,0.6353024716686997,0.5513892337277514,0.0414123622323123,0.14745981547050102,0.47706833888569017,0.7530393670517285,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
10,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.28731204331461896,0.40548864554327735,0.25389840977527195,0.47238636928176525,0.6449419088901315,0.49491963434903397,0.06310936366991794,0.8037026899223866,0.559462918577635,0.8884310927849924,Web openings are too large; keep a remaining ligament larger than 0.063 in.,,,,,,,,,,,,,,
