evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,435.2074545981369,0.0,0.08043660495369383,7.033136123614943,0.017781834884389038,5.533136123614943,0.7383962511609775,0.7798779663591042,1.1283955257447929e-32,0.033291124811806315,0.0036167711338515765,Load Case 2,5.0,0.41320074188812694,0.8533258040326707,0.41320074188812694,0.5427486616136554,0.679156717596787,0.5427486616136554,0.10882681231495427,0.0,0.0,0.0,Durability check failed: width ratio 2.065 exceeds 1.800.,203.55600749110567,4.0,11.692113779073768,4.0,0.014058173260457638,4.0,0.005894552690436559,338.3981140374559,5.0,7.033136123614943,5.0,0.017781834884389038,4.48,0.009256838330248124
2,True,20.773459346909153,0.0,0.04239236759244132,2.5795552875353898,0.06596457619430153,1.0795552875353898,0.30081874346653265,0.5469643842060454,7.631223922405644e-33,0.0202563721845426,0.0,Load Case 2,5.0,0.5116249793362904,0.47905917368517903,0.5116249793362904,0.3764445230348132,0.6733531663993724,0.3764445230348132,0.06633668402080768,0.0,0.0,0.0,,445.6125563790115,4.0,5.340962605137441,4.0,0.032746154976439165,4.0,0.013992788221187102,922.6396547886931,5.0,2.5795552875353898,5.0,0.06596457619430153,4.3,0.028136878978599067
3,True,168.40448701391347,0.0,0.05259285083136715,4.90876920165851,0.030970907376715942,3.40876920165851,0.6711126251889658,0.7008032977002236,4.693558905347863e-33,0.005448747784743647,0.0,Load Case 2,5.0,0.6968904661494326,0.8625845797797786,0.6968904661494326,0.4346961980618741,0.5340979438454645,0.4346961980618741,0.0643305418361081,0.0,0.0,0.0,,397.1673039027778,4.0,5.992436881417102,4.0,0.030970907376715942,4.0,0.012350596203349051,484.8465882640963,5.0,4.90876920165851,5.0,0.020843080642145566,4.34,0.00924588058379
4,False,301.6860702413742,0.0,0.06632298235284252,6.092672216412505,0.01944942120297291,4.592672216412505,0.7137129570949118,0.7569188557117011,7.983454884829867e-33,0.03022538020305677,0.0036498094564782293,Load Case 2,5.0,0.4249169822053922,0.8780351612956118,0.4249169822053922,0.6193017250792605,0.6229568414573374,0.6193017250792605,0.08328404065321995,0.0,0.0,0.0,Durability check failed: width ratio 2.066 exceeds 1.800.,264.62794396146353,4.0,8.993759178911914,4.0,0.01706478023349194,4.0,0.006744540956293843,390.63319270462813,5.0,6.092672216412505,5.0,0.01944942120297291,4.45,0.009791690855014135
5,True,531.3659091439488,0.0,0.11164404523226394,7.619536388780117,0.01688927276492797,6.119536388780117,0.8108861553724147,0.8606859743572366,6.6762664481515e-33,0.012289106367513784,0.0,Load Case 2,5.0,0.85703835764315,0.5471515413235244,0.85703835764315,1.098121145571858,1.0481601173514323,1.098121145571858,0.09821412021213322,0.0,0.0,0.0,,154.32627752236158,4.0,15.421871363774342,4.0,0.0046191849992277875,4.0,0.0016693594054555585,312.3549621082703,5.0,7.619536388780117,5.0,0.01688927276492797,4.19,0.006306083010493985
6,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.7925130905114133,0.3698116874685494,0.7925130905114133,0.3681286692921068,0.8807448769428241,0.3681286692921068,0.10219276303813445,0.0,0.0,0.0,Web openings are too large; keep a remaining ligament larger than 0.102 in.,,,,,,,,,,,,,,
7,True,360.4783155665388,0.0,0.07734156973336646,6.528744211594727,0.02011949383953692,5.028744211594727,0.7651586079238724,0.7860200037652636,2.0202814386153866e-33,0.0012028151695371344,0.0,Load Case 2,5.0,0.8969860129400942,0.7982998901360077,0.8969860129400942,0.5269172369810254,0.568319289919217,0.5269172369810254,0.08811875083121916,0.0,0.0,0.0,,318.9342831645023,4.0,7.462352357938347,4.0,0.02011949383953692,4.0,0.007597493782530995,364.5417744768186,5.0,6.528744211594727,5.0,0.015198673663649763,4.26,0.006148880585025995
8,True,168.24186039562568,0.0,0.06258452176852403,4.9027522249643685,0.026981441955074174,3.4027522249643685,0.6777059062077775,0.750479659850977,6.597040449675802e-33,0.012333647620334865,0.0,Load Case 2,5.0,0.4534075668248286,0.6949842288075554,0.4534075668248286,0.8662959263293913,0.7505766479105682,0.8662959263293913,0.06994440588236964,0.0,0.0,0.0,,273.6776043286336,4.0,8.696363759243093,4.0,0.012599977388191547,4.0,0.004703672597472817,485.4416235601825,5.0,4.9027522249643685,5.0,0.026981441955074174,4.36,0.012240348061288986
9,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.8196409169552685,0.5838607062038055,0.8196409169552685,0.9460360189539522,0.3864186105326203,0.9460360189539522,0.11625711934933608,0.0,0.0,0.0,Web openings are too large; keep a remaining ligament larger than 0.116 in.,,,,,,,,,,,,,,
10,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.7308879506577483,0.8563568191461632,0.7308879506577483,0.357978039481422,0.37622419740400365,0.357978039481422,0.0940107065567933,0.0,0.0,0.0,Web openings are too large; keep a remaining ligament larger than 0.094 in.,,,,,,,,,,,,,,
