rank,source_run,source_evaluation_id,rank_score,weight_lbf,min_fos,max_deflection_in,fos_3to7_std,fos_3to7_range,wall_thickness_in,max_web_opening_ratio,min_print_web_ligament_in,min_shell_area_ratio,max_dim_slope_in_per_in
90,continuous_uniform_both_load_cases_9in_corrected,367,1.17223072,0.08676487,2.00301903,0.12872720,0.47067996,1.84777080,0.10033571,0.00000000,0.28676995,0.71325641,0.09164027
287,continuous_uniform_both_load_cases_9in_corrected,713,1.59287902,0.10049349,1.96489069,0.14037889,0.84615662,2.99030725,0.07000349,0.00000000,0.63415513,0.40309207,0.08751713
394,continuous_uniform_both_load_cases_9in_corrected,516,1.83377119,0.08843376,2.95485194,0.07779984,0.69037033,2.70309220,0.07898397,0.00000000,0.51903729,0.53083901,0.00492448
432,continuous_uniform_both_load_cases_9in_corrected,506,1.91073726,0.10606103,2.65145511,0.08864289,0.83985129,2.89225727,0.10176817,0.00000000,0.37105411,0.60210089,0.08650194
526,continuous_uniform_both_load_cases_9in_corrected,706,2.23029558,0.11456008,3.29628849,0.07159508,0.81663495,3.26246745,0.06431640,0.00000000,0.85664901,0.37814336,0.07011846
577,continuous_uniform_both_load_cases_9in_corrected,552,2.37763245,0.06257484,2.73050982,0.05156773,1.47082399,5.65220600,0.06998594,0.00000000,0.19252753,0.35073515,0.09731791
612,continuous_uniform_both_load_cases_9in_corrected,484,2.48151761,0.10583261,2.82353344,0.07854337,1.33358576,4.82223320,0.08118864,0.00000000,0.56853294,0.38234339,0.06475630
663,continuous_uniform_both_load_cases_9in_corrected,374,2.64267819,0.08998093,4.09279621,0.04454051,0.95072397,3.65909123,0.08340068,0.00000000,0.43556832,0.46393310,0.02158224
678,continuous_uniform_both_load_cases_9in_corrected,711,2.69832529,0.11846429,3.66137939,0.06145132,1.09461739,3.95002141,0.06831236,0.00000000,0.87924948,0.34382747,0.04087085
682,continuous_uniform_both_load_cases_9in_corrected,504,2.70897774,0.11259839,4.04434360,0.04632268,0.94935423,3.70065829,0.11368626,0.00000000,0.32102549,0.63012369,0.08182904
703,continuous_uniform_both_load_cases_9in_corrected,719,2.77986683,0.13085712,3.96643677,0.05274283,0.98102568,3.87314272,0.10311255,0.00000000,0.49593527,0.57249265,0.08824442
723,continuous_uniform_both_load_cases_9in_corrected,528,2.81199052,0.15321660,2.90193026,0.02788457,1.47585134,4.74469614,0.14005576,0.00000000,0.36243968,0.64977924,0.09276277
735,continuous_uniform_both_load_cases_9in_corrected,522,2.84629213,0.07273607,4.30905401,0.04144810,1.11766235,3.21696414,0.06900556,0.00000000,0.41497876,0.34397415,0.06566831
827,continuous_uniform_both_load_cases_9in_corrected,451,3.28420473,0.07106913,4.60173920,0.03012171,1.42496126,4.97353956,0.06725818,0.00000000,0.22776742,0.33942863,0.07674953
862,continuous_uniform_both_load_cases_9in_corrected,497,3.42037140,0.11458381,4.54833302,0.04087131,1.40517259,4.94831117,0.07262905,0.00000000,0.62231229,0.33306489,0.11252851
926,continuous_uniform_both_load_cases_9in_corrected,681,3.82341098,0.08885253,5.73007409,0.02351471,1.33415205,4.89189895,0.09244668,0.00000000,0.27914879,0.45016865,0.06319787
941,continuous_uniform_both_load_cases_9in_corrected,606,3.93654553,0.12243634,4.23030848,0.04044081,2.04929327,7.51332022,0.10308225,0.00000000,0.43237366,0.41488125,0.07433886
951,continuous_uniform_both_load_cases_9in_corrected,311,4.02134218,0.14526614,5.74202342,0.03080694,1.29462037,5.21551325,0.08892891,0.00000000,0.73311902,0.46870391,0.05942733
