rank,source_run,source_evaluation_id,rank_score,weight_lbf,min_fos,max_deflection_in,fos_3to7_std,fos_3to7_range,wall_thickness_in,max_web_opening_ratio,min_print_web_ligament_in,min_shell_area_ratio,max_dim_slope_in_per_in
21,print_safe_contiguous_closed_tube_seed2502,1086,0.04687851,0.04687851,2.18817185,0.08570634,0.58828158,2.32306376,0.06503248,0.00000000,0.17496752,0.41600046,0.02283274
22,print_safe_contiguous_closed_tube_seed2502,1293,0.04689905,0.04689905,1.50966021,0.14579008,0.60458939,2.10562932,0.06000000,0.00000000,0.18000000,0.35110777,0.12235333
23,print_safe_contiguous_closed_tube_seed2502,1010,0.04698751,0.04698751,1.92770700,0.11062324,0.76985138,3.14056899,0.06000000,0.00000000,0.21527007,0.35143180,0.07941627
24,print_safe_contiguous_closed_tube_seed2502,1224,0.04717284,0.04717284,1.73287981,0.11730783,0.67174177,2.35282282,0.06000000,0.00000000,0.18000000,0.35413934,0.09970985
25,print_safe_contiguous_closed_tube_seed2502,1078,0.04736429,0.04736429,1.50262500,0.15824130,0.66452597,2.27730207,0.06639482,0.00000000,0.19014234,0.42171324,0.06807732
26,print_safe_contiguous_closed_tube_seed2502,1013,0.04740613,0.04740613,1.57722370,0.15797676,0.46117523,1.81908467,0.06226926,0.00000000,0.20643232,0.44108088,0.10374875
27,print_safe_contiguous_closed_tube_seed2502,1063,0.04749345,0.04749345,1.89093350,0.11350784,0.59356813,2.35260869,0.06613085,0.00000000,0.22830005,0.42007834,0.02789717
28,print_safe_contiguous_closed_tube_seed2502,1022,0.04758156,0.04758156,2.20880667,0.07202287,0.70913184,2.70956238,0.06000000,0.00000000,0.18000000,0.38993437,0.13777778
29,print_safe_contiguous_closed_tube_seed2502,1076,0.04759101,0.04759101,2.00310298,0.09886436,0.49705097,1.95846716,0.07162118,0.00000000,0.16837882,0.49644647,0.04174677
30,print_safe_contiguous_closed_tube_seed2502,1065,0.04783931,0.04783931,2.15361694,0.10618277,0.37434841,1.45122278,0.06799433,0.00000000,0.19676022,0.46139787,0.03873073
31,print_safe_contiguous_closed_tube_seed2502,1291,0.04799526,0.04799526,1.66916047,0.11960833,0.68505867,2.48828819,0.06178428,0.00000000,0.17821572,0.34468281,0.09312302
32,print_safe_contiguous_closed_tube_seed2502,1113,0.04800931,0.04800931,1.59065070,0.16476871,0.36253025,1.32932205,0.06308797,0.00000000,0.24917078,0.49472143,0.07893185
33,print_safe_contiguous_closed_tube_seed2502,1024,0.04801932,0.04801932,2.46759549,0.07969093,0.50526577,2.17684156,0.06000000,0.00000000,0.26820725,0.39017537,0.05044485
34,print_safe_contiguous_closed_tube_seed2502,369,0.04813283,0.04813283,1.56160177,0.16398088,0.66600665,2.74767568,0.06161153,0.00000000,0.23538856,0.36951263,0.10960486
35,print_safe_contiguous_closed_tube_seed2502,1067,0.04820672,0.04820672,2.08903199,0.09530964,0.71765440,2.60819171,0.06000000,0.00000000,0.27925130,0.39336051,0.04200901
36,print_safe_contiguous_closed_tube_seed2502,1581,0.04848819,0.04848819,1.69202801,0.13816751,0.51345784,1.98485542,0.06060106,0.00000000,0.27081561,0.44971158,0.04387864
37,print_safe_contiguous_closed_tube_seed2502,492,0.04862284,0.04862284,1.82892665,0.13512947,0.57046277,2.38126670,0.06414383,0.00000000,0.19940545,0.42059636,0.05667190
38,print_safe_contiguous_closed_tube_seed2502,1283,0.04867241,0.04867241,1.83246126,0.11133639,0.51481902,1.90674100,0.07230832,0.00000000,0.16769168,0.51323766,0.07977751
39,print_safe_contiguous_closed_tube_seed2502,1162,0.04880724,0.04880724,2.07937258,0.10577537,0.47728140,1.99692776,0.06851349,0.00000000,0.22909684,0.46772112,0.01500830
40,print_safe_contiguous_closed_tube_seed2502,350,0.04895607,0.04895607,2.66736631,0.07088094,0.50141126,1.80544031,0.06062685,0.00000000,0.23520895,0.37436020,0.03945533
41,print_safe_contiguous_closed_tube_seed2502,1289,0.04897150,0.04897150,1.62951777,0.12747994,0.62154559,2.49106196,0.06423622,0.00000000,0.17576378,0.37918011,0.11272465
42,print_safe_contiguous_closed_tube_seed2502,1565,0.04907353,0.04907353,1.63475844,0.15368189,0.43700799,1.69657136,0.06762517,0.00000000,0.19547277,0.51288044,0.04501302
43,print_safe_contiguous_closed_tube_seed2502,1151,0.04955761,0.04955761,1.86037799,0.12329626,0.57741169,2.14754181,0.06000000,0.00000000,0.26384645,0.39231336,0.04150137
44,print_safe_contiguous_closed_tube_seed2502,1015,0.04977268,0.04977268,2.14276770,0.09519032,0.61748820,2.43659080,0.06000000,0.00000000,0.20032329,0.39169470,0.08875886
45,print_safe_contiguous_closed_tube_seed2502,909,0.04996073,0.04996073,1.86808854,0.09668559,0.76780508,2.98364579,0.06742276,0.00000000,0.18238846,0.41905007,0.10870736
46,print_safe_contiguous_closed_tube_seed2502,1564,0.05000567,0.05000567,2.13637361,0.09540729,0.62431975,2.39730776,0.06442141,0.00000000,0.17557859,0.43206083,0.04984607
47,print_safe_contiguous_closed_tube_seed2502,1549,0.05058580,0.05058580,1.84575879,0.13370139,0.42678874,1.61144780,0.06890614,0.00000000,0.17109386,0.49712765,0.06350076
48,print_safe_contiguous_closed_tube_seed2502,1352,0.05064885,0.05064885,1.62934972,0.14800511,0.47430384,1.78097730,0.06544605,0.00000000,0.18098056,0.49946185,0.08679520
