rank,source_run,source_evaluation_id,rank_score,weight_lbf,min_fos,max_deflection_in,fos_3to7_std,fos_3to7_range,wall_thickness_in,max_web_opening_ratio,min_print_web_ligament_in,min_shell_area_ratio,max_dim_slope_in_per_in
21,print_safe_contiguous_closed_tube_seed2502,1062,0.04179259,0.04179259,1.84627068,0.10640477,0.49850683,1.92891889,0.06000000,0.00000000,0.18383831,0.42729584,0.03573082
22,continuous_uniform_both_load_cases_9in_corrected,462,0.04276718,0.04276718,1.60570990,0.09553673,1.16090131,4.53097507,0.04628653,0.00000000,0.11791531,0.22548495,0.08476618
23,ultra_light_run3_lowheight_seed2426,1547,0.04289002,0.04289002,2.97084633,0.05188322,0.77476475,2.21743135,0.06015512,0.00000000,0.18852112,0.36952561,0.10568171
24,print_safe_contiguous_closed_tube_seed2502,1018,0.04290839,0.04290839,1.64852604,0.14059587,0.54436168,2.24011193,0.06000000,0.00000000,0.18952747,0.40329030,0.06764030
25,print_safe_contiguous_closed_tube_seed2502,1075,0.04296615,0.04296615,1.52032999,0.16349287,0.49175193,1.83752433,0.06000000,0.00000000,0.18000000,0.45328767,0.06730477
26,ultra_light_runA_seed2430,2692,0.04329428,0.04329428,2.48165386,0.06315034,0.57532943,2.10101194,0.06699073,0.00000000,0.09023594,0.45535497,0.04647255
27,print_safe_contiguous_closed_tube_seed2502,1073,0.04349103,0.04349103,1.73121275,0.12795425,0.47523653,1.92374421,0.06000000,0.00000000,0.21654465,0.40697423,0.03911556
28,continuous_uniform_both_load_cases_9in_corrected,93,0.04357823,0.04357823,1.99210163,0.11021499,0.58439112,2.07056992,0.04560348,0.00000000,0.29838086,0.28915385,0.07401311
29,print_safe_contiguous_closed_tube_seed2502,1089,0.04360286,0.04360286,2.18383595,0.08030943,0.88097652,3.04110240,0.06000000,0.00000000,0.18000000,0.38217930,0.06188684
30,print_safe_contiguous_closed_tube_seed2502,463,0.04393898,0.04393898,1.62891182,0.13551070,0.47033042,1.76572837,0.06404791,0.00000000,0.20428176,0.46509989,0.01477565
31,continuous_uniform_both_load_cases_9in_corrected,361,0.04406872,0.04406872,2.58540537,0.05519130,1.05934913,3.85145832,0.04484959,0.00000000,0.16284678,0.22125241,0.06600482
32,ultra_light_runA_seed2430,2223,0.04412882,0.04412882,2.41860483,0.08845688,0.63144549,2.81948550,0.06082889,0.00000000,0.16239549,0.35717379,0.03812261
33,continuous_uniform_both_load_cases_9in_corrected,604,0.04427872,0.04427872,2.90188571,0.04535947,0.99036508,3.51495541,0.04000000,0.00000000,0.29360064,0.18589532,0.04968380
34,continuous_uniform_both_load_cases_9in_corrected,452,0.04432405,0.04432405,1.80405619,0.12645688,0.46908125,1.74948942,0.06835757,0.00000000,0.09017573,0.50564119,0.09854486
35,print_safe_contiguous_closed_tube_seed2502,1350,0.04483608,0.04483608,1.69715186,0.13441921,0.48511416,2.05546229,0.06655853,0.00000000,0.17344147,0.44524821,0.06902546
36,print_safe_contiguous_closed_tube_seed2502,1087,0.04495148,0.04495148,2.17173644,0.09905323,0.41925233,1.51167702,0.06000000,0.00000000,0.18000000,0.39756346,0.05664825
37,print_safe_contiguous_closed_tube_seed2502,414,0.04501574,0.04501574,1.80372958,0.09345716,0.78453493,3.12344994,0.06074857,0.00000000,0.18302124,0.33137950,0.05163419
38,print_safe_contiguous_closed_tube_seed2502,1064,0.04502653,0.04502653,1.57266427,0.15472459,0.40332261,1.49346928,0.06962861,0.00000000,0.17037139,0.52548531,0.03183088
39,continuous_uniform_both_load_cases_9in_corrected,622,0.04544888,0.04544888,3.26582770,0.04429177,0.79361411,3.05857072,0.04000000,0.00000000,0.32233101,0.21270488,0.08194154
40,print_safe_contiguous_closed_tube_seed2502,1068,0.04559218,0.04559218,2.13541838,0.10283067,0.59177548,2.56631648,0.06000000,0.00000000,0.23816882,0.36266888,0.03130325
41,print_safe_contiguous_closed_tube_seed2502,1080,0.04563864,0.04563864,2.49374224,0.07296575,0.55677668,1.95170715,0.06000000,0.00000000,0.21722468,0.37265128,0.05942150
42,print_safe_contiguous_closed_tube_seed2502,1079,0.04574445,0.04574445,2.16816176,0.09555071,0.47269841,1.92717983,0.06027119,0.00000000,0.20014711,0.40992658,0.03366687
43,continuous_uniform_both_load_cases_9in_corrected,407,0.04598120,0.04598120,2.60993101,0.06512927,0.99427903,3.52089257,0.04232845,0.00000000,0.32311435,0.20935780,0.08892616
44,print_safe_contiguous_closed_tube_seed2502,365,0.04601292,0.04601292,1.89774035,0.10525405,0.77394272,2.71862614,0.06037632,0.00000000,0.18106615,0.40352310,0.04836636
45,print_safe_contiguous_closed_tube_seed2502,1545,0.04620856,0.04620856,2.04411220,0.10324592,0.57368188,2.08103865,0.06000000,0.00000000,0.24442329,0.39928569,0.04178526
46,print_safe_contiguous_closed_tube_seed2502,1160,0.04645915,0.04645915,1.53518177,0.15246918,0.68530161,2.48510717,0.06854982,0.00000000,0.17145018,0.46440094,0.05327281
47,print_safe_contiguous_closed_tube_seed2502,554,0.04660338,0.04660338,1.83988371,0.12021647,0.39317721,1.49510123,0.07441313,0.00000000,0.17015938,0.53915818,0.03328011
48,flat_3to7_lc2_ranksearch_symmetric_seed2403,1024,0.04686153,0.04686153,1.64610342,0.15363956,0.38433382,1.42222006,0.06378789,0.00000000,0.27835023,0.47066364,0.03048525
49,print_safe_contiguous_closed_tube_seed2502,1086,0.04687851,0.04687851,2.18817185,0.08570634,0.58828158,2.32306376,0.06503248,0.00000000,0.17496752,0.41600046,0.02283274
50,print_safe_contiguous_closed_tube_seed2502,1293,0.04689905,0.04689905,1.50966021,0.14579008,0.60458939,2.10562932,0.06000000,0.00000000,0.18000000,0.35110777,0.12235333
51,print_safe_contiguous_closed_tube_seed2502,1010,0.04698751,0.04698751,1.92770700,0.11062324,0.76985138,3.14056899,0.06000000,0.00000000,0.21527007,0.35143180,0.07941627
52,print_safe_contiguous_closed_tube_seed2502,1224,0.04717284,0.04717284,1.73287981,0.11730783,0.67174177,2.35282282,0.06000000,0.00000000,0.18000000,0.35413934,0.09970985
53,continuous_uniform_both_load_cases_9in_corrected,574,0.04719853,0.04719853,2.80799023,0.05988918,0.65654646,2.50738562,0.04466365,0.00000000,0.40585489,0.25436161,0.03221471
