rank,folder,source_run,source_evaluation_id,rank_score,weight_lbf,min_fos,max_deflection_in,fos_3to7_std,fos_3to7_range,wall_thickness_in,max_web_opening_ratio,min_print_web_ligament_in,min_shell_area_ratio,max_dim_slope_in_per_in
1,best-designs-20\ranked-designs\01_overall_rank__ultra_light_full_infill_seed2432__eval_1594__w_0.01957__fos_1.541,ultra_light_full_infill_seed2432,1594,0.01956853,0.01956853,1.54136751,0.10025014,0.45053049,1.16447992,0.04000000,0.64905736,0.10713924,0.16137873,0.07003398
2,best-designs-20\ranked-designs\02_overall_rank__ultra_light_run2_seed2425__eval_1046__w_0.01957__fos_1.707,ultra_light_run2_seed2425,1046,0.01956916,0.01956916,1.70654764,0.08948222,0.48266039,1.18663380,0.04003332,0.68452615,0.07260893,0.14407097,0.06807920
3,best-designs-20\ranked-designs\03_overall_rank__pure_weight_tight_seed2440__eval_1515__w_0.01967__fos_1.631,pure_weight_tight_seed2440,1515,0.01966637,0.01966637,1.63098837,0.09099977,0.42068992,1.20147022,0.04000000,0.72863058,0.07969216,0.14180936,0.06732752
4,best-designs-20\ranked-designs\04_overall_rank__ultra_light_full_infill_seed2432__eval_1399__w_0.01968__fos_1.598,ultra_light_full_infill_seed2432,1399,0.01968246,0.01968246,1.59800372,0.09894642,0.41222597,1.18076920,0.04000000,0.66829552,0.07511592,0.14938198,0.06464872
5,best-designs-20\ranked-designs\05_overall_rank__pure_weight_tight_seed2440__eval_3294__w_0.01988__fos_1.589,pure_weight_tight_seed2440,3294,0.01987604,0.01987604,1.58915278,0.10551363,0.42357821,1.15081335,0.04208377,0.69395958,0.08133041,0.17639266,0.07563659
6,best-designs-20\ranked-designs\06_overall_rank__pure_weight_tight_seed2441__eval_1805__w_0.01989__fos_1.558,pure_weight_tight_seed2441,1805,0.01989483,0.01989483,1.55750786,0.10280540,0.39830138,1.22116502,0.04000000,0.72896741,0.08623467,0.17512753,0.04526527
7,best-designs-20\ranked-designs\07_overall_rank__ultra_light_runb_seed2431__eval_1702__w_0.01994__fos_1.510,ultra_light_runB_seed2431,1702,0.01994163,0.01994163,1.51004696,0.11217967,0.51351541,1.45012560,0.04000000,0.66607771,0.08430906,0.17164339,0.08049632
8,best-designs-20\ranked-designs\08_overall_rank__ultra_light_runa_seed2430__eval_1277__w_0.01997__fos_1.512,ultra_light_runA_seed2430,1277,0.01997404,0.01997404,1.51165174,0.12337192,0.22931482,0.89570823,0.04000000,0.60219188,0.07128649,0.18544802,0.06330125
9,best-designs-20\ranked-designs\09_overall_rank__pure_weight_tight_seed2440__eval_1974__w_0.01999__fos_1.529,pure_weight_tight_seed2440,1974,0.01999360,0.01999360,1.52883174,0.09633722,0.39636883,1.11038886,0.04000000,0.77594327,0.11701411,0.10720887,0.11595136
10,best-designs-20\ranked-designs\10_overall_rank__ultra_light_run2_seed2425__eval_0807__w_0.02000__fos_1.661,ultra_light_run2_seed2425,807,0.01999625,0.01999625,1.66146225,0.08507064,0.42208799,1.23784908,0.04000000,0.73877157,0.07469822,0.15365763,0.06776885
11,best-designs-20\ranked-designs\11_overall_rank__pure_weight_tight_seed2440__eval_1838__w_0.02001__fos_1.517,pure_weight_tight_seed2440,1838,0.02001053,0.02001053,1.51723229,0.12019948,0.52496157,1.23455971,0.04000000,0.59388118,0.07447168,0.15874181,0.11373729
12,best-designs-20\ranked-designs\12_overall_rank__ultra_light_full_strength_seed2433__eval_0798__w_0.02003__fos_1.637,ultra_light_full_strength_seed2433,798,0.02002924,0.02002924,1.63736671,0.09252600,0.42536446,1.20970889,0.04183230,0.67713491,0.07283453,0.19420927,0.07819909
13,best-designs-20\ranked-designs\13_overall_rank__pure_weight_tight_seed2440__eval_2175__w_0.02004__fos_1.524,pure_weight_tight_seed2440,2175,0.02003663,0.02003663,1.52359047,0.10060283,0.35372364,1.23920271,0.04000000,0.70995973,0.06806953,0.18465944,0.02523478
14,best-designs-20\ranked-designs\14_overall_rank__ultra_light_full_infill_seed2432__eval_1424__w_0.02010__fos_1.535,ultra_light_full_infill_seed2432,1424,0.02010149,0.02010149,1.53543740,0.12573318,0.40097992,1.13687735,0.04000000,0.59381769,0.07272655,0.19050958,0.06748059
15,best-designs-20\ranked-designs\15_overall_rank__pure_weight_tight_seed2440__eval_1509__w_0.02010__fos_1.805,pure_weight_tight_seed2440,1509,0.02010169,0.02010169,1.80518609,0.07894267,0.50227885,1.25211742,0.04000000,0.77989657,0.09238154,0.11437631,0.09792800
16,best-designs-20\ranked-designs\16_overall_rank__pure_weight_tight_seed2440__eval_2891__w_0.02023__fos_1.527,pure_weight_tight_seed2440,2891,0.02022690,0.02022690,1.52738707,0.11247410,0.36016220,1.23701829,0.04000000,0.68598551,0.08181167,0.19857931,0.03669688
17,best-designs-20\ranked-designs\17_overall_rank__ultra_light_full_infill_seed2432__eval_1998__w_0.02025__fos_1.560,ultra_light_full_infill_seed2432,1998,0.02025206,0.02025206,1.55954781,0.13070230,0.45051951,1.07926528,0.04000000,0.54231298,0.08567749,0.21353454,0.07041741
18,best-designs-20\ranked-designs\18_overall_rank__ultra_light_run2_seed2425__eval_1059__w_0.02031__fos_1.845,ultra_light_run2_seed2425,1059,0.02031451,0.02031451,1.84455902,0.08223335,0.52784002,1.27605491,0.04000000,0.63564299,0.07516254,0.15647156,0.07220744
19,best-designs-20\ranked-designs\19_overall_rank__pure_weight_tight_seed2441__eval_2851__w_0.02051__fos_1.780,pure_weight_tight_seed2441,2851,0.02050794,0.02050794,1.78032981,0.09979415,0.54850013,1.28107915,0.04277062,0.62066093,0.06339650,0.17490833,0.08347721
20,best-designs-20\ranked-designs\20_overall_rank__pure_weight_tight_seed2440__eval_2508__w_0.02054__fos_1.531,pure_weight_tight_seed2440,2508,0.02054452,0.02054452,1.53082469,0.08776493,0.41384711,1.08642743,0.04162125,0.80291634,0.10315613,0.10515005,0.08800182
