evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,8.295933874414576,5.945437487189174,0.030185770678529456,1.4042086958766264,0.16665096783259165,0.0,0.23525415476449937,0.06180709804036981,0.06751830302211723,0.008758247251496492,0.0,Load Case 2,5.5,0.42107493247541117,0.3304179848228254,0.3456683119109485,0.5115552735468554,0.7869168273422047,0.6158583345153952,0.04563723071507445,0.17861478723464694,0.07236197165269022,0.5434005525477843,Minimum factor of safety 1.404 is below the target 1.500. | Maximum deflection 0.16665 in exceeds the limit 0.15500 in.,591.1582770298702,4.5,4.025994547446289,4.5,0.03139900714321468,4.455,0.012755557459470646,1694.9047580952358,5.5,1.4042086958766264,5.5,0.16665096783259165,4.8374999999999995,0.07046857759259463
2,True,46.25030368674831,0.0,0.04650602169461026,2.7115418744442232,0.0544853092840909,1.2115418744442232,0.47138313365279433,0.34988887432938615,0.10073575287315663,0.002456805195378432,0.0,Load Case 2,5.5,0.46745479828321557,0.4697005294769455,0.467247041561509,0.9815235161589051,0.7790742855455783,0.8015461195240092,0.07014710309690257,0.19220632240741473,0.5737914612721607,0.6965618907352121,,378.77763881883396,4.5,6.283369861594003,4.5,0.015413947402774734,4.59,0.0059030254663575725,877.729391690778,5.5,2.7115418744442232,5.5,0.0544853092840909,4.8149999999999995,0.02271060147173061
3,False,37.832472912869214,0.0,0.04967016967171971,2.5853709676718415,0.07222938898853398,1.0853709676718415,0.46910779458150076,0.29715525541244336,0.20597882318657934,0.010886548449507401,0.000300064546331528,Load Case 2,5.5,0.4359836127423143,0.4668593381319925,0.5385423445004334,0.508862279518457,0.48025522968831114,0.8359302569435225,0.07741330772646333,0.5401967894851183,0.2763882727433637,0.043269777164327304,Durability check failed: minimum residual web ligament 0.0814 in is below 0.0850 in.,715.3775476029721,4.5,3.3269145893307766,4.5,0.04421251790997084,4.297499999999999,0.017355585333753316,920.5642168029834,5.5,2.5853709676718415,5.5,0.07222938898853398,4.578749999999999,0.026981685442143834
4,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5002504471362312,0.5661237233849852,0.28085863841214587,0.8042784242505738,0.44929237314167536,0.6188416501790244,0.07521207104771716,0.36500715383282795,0.5516174807829876,0.25336712775578996,Web openings are too large; keep a remaining ligament larger than 0.075 in.,,,,,,,,,,,,,,
5,True,8.65935978632431,0.0,0.034709581993718576,1.8870394191846183,0.11470369793989996,0.38703941918461826,0.32921203236353536,0.15017530315223032,0.09479224355914039,0.008463039405036897,0.0,Load Case 2,5.5,0.43444928496984975,0.35164655117423893,0.5181857513615661,0.5859824050615047,0.66867074996306,0.9170416733683616,0.05919966246254204,0.42184936919344657,0.43581860272102907,0.5793600944511303,,631.780862074536,4.5,3.7671289886574835,4.5,0.030351008947399345,4.33125,0.01204095217881882,1261.2349142279115,5.5,1.8870394191846183,5.5,0.11470369793989996,4.59,0.041979431207528506
6,True,170.55414298043985,0.0,0.06056675815043602,4.036449264027544,0.03771722420368319,2.536449264027544,0.6097639374694687,0.520040034529957,0.011964817700633205,0.012491978422639223,0.0,Load Case 2,5.5,0.42790090421188764,0.5993642708055419,0.3394034707798774,0.7517330053177442,0.9152035264126563,0.7085482752092311,0.0646145826724987,0.059718964848556336,0.012183451164660493,0.08148113054856426,,241.41249785558213,4.5,9.858644523962319,4.5,0.011279709120830659,4.5562499999999995,0.004646559822614458,589.627131253782,5.5,4.036449264027544,5.5,0.03771722420368319,4.995,0.018363320363184932
7,True,140.0561971102789,0.0,0.06136921483652341,3.7828670087735703,0.04303454392279693,2.2828670087735703,0.5941363685904749,0.4797168737219595,0.09223068200429253,0.010287754602176584,0.0,Load Case 2,5.5,0.3828109700098419,0.528845389805648,0.5842792159557597,0.9792986488716733,0.6674611136451949,0.9658752703303555,0.07339517153626103,0.503174509015575,0.08495381159060732,0.16154390028196047,,392.54077328367123,4.5,6.063064430456204,4.5,0.016861012150591853,4.4775,0.006029868492973259,629.1524376828704,5.5,3.7828670087735703,5.5,0.04303454392279693,4.601249999999999,0.01649175148629927
8,False,7.524903099776737,0.0,0.02739756481590164,1.7956270238714862,0.1007667638369943,0.2956270238714862,0.24582467584070497,0.16449921181418622,0.14373246920920826,0.020905181457251062,0.003514297761297188,Load Case 2,5.5,0.3893464000490671,0.5058633409913101,0.1850376746890125,0.8442995205241102,0.6367698592569586,0.6156375907594778,0.05016727566987278,0.6792834230121018,0.4637588312596196,0.4529540000097575,Durability check failed: minimum shell area ratio 0.192 is below 0.200. | Durability check failed: width ratio 2.734 exceeds 2.400.,594.07458298081,4.5,4.006230982073306,4.5,0.033304819217914984,4.68,0.013809968970489259,1325.4422930595956,5.5,1.7956270238714862,5.5,0.1007667638369943,5.20875,0.05465518400611691
9,True,46.80915463852209,0.0,0.05334210122251496,2.712044391112924,0.05493646806394298,1.212044391112924,0.5325394033658475,0.36304022627479765,0.0814098434362148,0.011661936174754146,0.0,Load Case 2,5.5,0.5575941101667461,0.5365809196528837,0.4084585053699007,0.8664355795706311,0.5049994778047759,0.6677955500430077,0.07827005872607581,0.3505444892812769,0.3865479667673714,0.10553660831441362,,589.9501223211339,4.5,4.034239353381249,4.5,0.03261612138502876,4.6125,0.012134747850503638,877.5667565763313,5.5,2.712044391112924,5.5,0.05493646806394298,4.93875,0.024252885508572453
10,True,5.670702906841192,0.0,0.02748110050947412,1.6989037120051935,0.09243003393774828,0.19890371200519352,0.32062104298160576,0.1389752813585426,0.07776480380479545,0.004760229176839985,0.0,Load Case 2,5.5,0.4581277713372203,0.4861122641097455,0.4258110196806728,0.679601815605804,0.6331006740906224,0.4572314647287903,0.044578363843376184,0.08993581824733027,0.6125732643993931,0.39040517383451867,,714.4560851905435,4.5,3.331205443320229,4.5,0.04114604651654802,4.66875,0.017147584145952164,1400.9034079929802,5.5,1.6989037120051935,5.5,0.09243003393774828,4.89375,0.04082381312527038
