evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,True,75.74302416664469,0.0,0.044976541638869216,3.3411183286709254,0.04194329249755263,1.8411183286709254,0.5266007353195395,0.4345123481954592,0.025092607010161576,0.0242315129524517,0.0,Load Case 2,5.5,0.3073644045357512,0.6195122186755236,0.36779248868878334,1.0338034905867266,0.7203406480149079,0.921585469753943,0.06017176172807405,0.2988945618474219,0.6022293969926782,0.09518145447524748,,395.9068593186469,4.5,6.011514940902929,4.5,0.016302640483432402,4.5225,0.006004589065238606,712.3363394755157,5.5,3.3411183286709254,5.5,0.04194329249755263,4.8149999999999995,0.018750823053245113
2,False,34.39211697709444,0.0,0.03236064119967041,2.689832316575222,0.059388665066241235,1.189832316575222,0.4013894885646834,0.3324259466514209,0.03607369859389896,0.026240302383606636,9.704667257416391e-06,Load Case 2,5.5,0.3319689770181902,0.598815078460744,0.27446602097068556,0.5428592031133005,0.7614836508163921,0.5814692132235666,0.05118929133589872,0.5381692426448832,0.43320985478756774,0.24155423560245473,Durability check failed: minimum shell area ratio 0.218 is below 0.220.,397.5809317717475,4.5,5.98620258118004,4.5,0.023358859896604602,4.4775,0.009753198219750226,884.8135199112671,5.5,2.689832316575222,5.5,0.059388665066241235,4.995,0.029993840952508604
3,False,87.15649035849381,0.0,0.04449708025429968,3.484749132782068,0.04175719649978671,1.9847491327820679,0.5327913365915194,0.46029257309383087,0.20537001563177362,0.016318923846916057,2.5149254260570527e-05,Load Case 2,5.5,0.590819785546568,0.6042346201934314,0.24870929158652028,0.568422709879622,0.906003003026014,0.8726403271493628,0.057825425613492326,0.4710236937310781,0.36686884996028646,0.309344634586828,Durability check failed: width ratio 2.429 exceeds 2.400.,275.1186745596962,4.5,8.65081224969183,4.5,0.012658972510508548,4.41,0.005311652406792056,682.9759931957898,5.5,3.484749132782068,5.5,0.04175719649978671,5.141249999999999,0.02183468522778522
4,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.36918735989394247,0.21238853470303004,0.5309417098594655,1.0321254256609504,0.991164655764569,0.5092077816359416,0.08408119130322798,0.34187267514888425,0.019689977244266348,0.5637439148999633,Web openings are too large; keep a remaining ligament larger than 0.084 in.,,,,,,,,,,,,,,
5,True,3.923194748318601,0.0,0.04117087749727605,1.734851797273579,0.11250144238615764,0.23485179727357908,0.3114349390105125,0.13854438986428774,0.29300931562002047,0.010822727474620373,0.0,Load Case 2,5.5,0.48607935487797294,0.3561969200583298,0.3337454584862616,0.5344593680159085,0.659242402268915,0.9939246956944012,0.07771060655250911,0.08093971966270799,0.6031433451109663,0.6288261560320053,,566.6533797642214,4.5,4.2000984817037414,4.5,0.027213517627297734,4.33125,0.010822567609511271,1371.8751098741166,5.5,1.734851797273579,5.5,0.11250144238615764,4.8149999999999995,0.04616065101135809
6,False,11.80174765948262,0.0,0.03298168096126964,2.0901700692288747,0.07473509758831186,0.5901700692288747,0.3719184115264838,0.2553595976003309,0.2764724829171185,0.012546850289947849,0.0009132607270519293,Load Case 2,8.5,0.6138411299399027,0.4812766620640726,0.2795567832081901,0.6087344242394463,0.9228315715167192,0.7460582446173678,0.04486434643433262,0.1037853878788505,0.36734546003283935,0.6297922258226043,Durability check failed: minimum shell area ratio 0.204 is below 0.220.,382.09208660293666,4.5,6.228864934523634,4.5,0.017299273388752603,4.5337499999999995,0.007039254322904043,1138.6633245963817,8.5,2.0901700692288747,8.5,0.07473509758831186,5.1187499999999995,0.03702290654869366
7,True,2.482332530415158,0.0,0.03938642585880731,1.5634943940935364,0.1374666375217083,0.06349439409353641,0.3232275048007591,0.11123308725452423,0.05842497441556993,0.005176254776603193,0.0,Load Case 2,5.5,0.45903098179704316,0.3393868425743698,0.3155293294694337,0.7082249004200416,0.7048739564778984,0.7109766900312828,0.0657313286970522,0.19682983534202853,0.5642592957231031,0.060983772903460964,,577.6151225480127,4.5,4.120390736137919,4.5,0.02731256577971672,4.5337499999999995,0.010297294209656334,1522.2312334415801,5.5,1.5634943940935364,5.5,0.1374666375217083,4.91625,0.05928283784464643
8,False,65.32332002111438,64.1377969213234,0.031223976570444883,1.2408911119616588,0.20028931993711857,0.0,0.23944950636587062,0.04512521170691056,0.025805120133069945,0.008577496342755186,0.0,Load Case 2,5.5,0.4167190062269481,0.29824806678792387,0.4181569537874269,0.6128034525000816,0.6335422798657576,0.5044130393219775,0.05383077634910139,0.5626157693068737,0.07718796570638245,0.35293066041980764,Minimum factor of safety 1.241 is below the target 1.500. | Maximum deflection 0.20029 in exceeds the limit 0.14500 in.,794.3478154416566,4.5,2.9961686225280575,4.5,0.04552292220935871,4.5675,0.017802911523513335,1917.9765066070822,5.5,1.2408911119616588,5.5,0.20028931993711857,4.7475,0.07881600960289341
9,True,20.27439842734085,0.0,0.04767815946481835,2.3770032373629157,0.08469157463211725,0.8770032373629157,0.3751678860698126,0.2602093552699404,0.11058237712220864,0.03583214487083704,0.0,Load Case 2,5.5,0.2753745149984795,0.49014604610597007,0.25454851898978526,0.669696618617081,0.5003061097161174,1.0263909620222353,0.07384236993708698,0.47978381056039077,0.021460725299662337,0.2618704194175162,,652.9830421123654,4.5,3.644811345024867,4.5,0.03699474359441843,4.3425,0.014093533092094213,1001.260731407505,5.5,2.3770032373629157,5.5,0.08469157463211725,4.75875,0.037247542870908375
10,False,88.8947218366134,87.17292577678133,0.027057632634523356,1.1244669416977757,0.1858171371336482,0.0,0.28758128147389994,0.07284788390017272,0.08258559499956031,0.030413836342100826,0.00013927805380877545,Load Case 2,4.5,0.6115077053813027,0.27762835814912923,0.6049957255788444,0.5706285930335026,0.6779864239735882,0.7146432733683621,0.043489411984752396,0.48089212360965167,0.622612606625475,0.03510950227045838,Minimum factor of safety 1.124 is below the target 1.500. | Maximum deflection 0.18582 in exceeds the limit 0.14500 in. | Durability check failed: minimum shell area ratio 0.214 is below 0.220.,975.612039428087,4.5,2.439494290573924,4.5,0.04351055357493847,4.42125,0.016319898161500288,2116.5584436004483,4.5,1.1244669416977757,4.5,0.1858171371336482,4.635,0.06578978112053253
11,True,29.241613673015035,0.0,0.04532444789556293,2.580513639323935,0.07681539165916672,1.080513639323935,0.40840752510110406,0.3193283182203825,0.04649330793923168,0.011387287401829692,0.0,Load Case 2,5.5,0.31668920461624056,0.452655148991797,0.2623677367107322,0.8490984540868929,0.8920855764684834,0.7967258607098565,0.06084074821756144,0.5550910772960309,0.12240265179069786,0.2179990991647902,,319.3762460543321,4.5,7.4520257201442455,4.5,0.014122361150954388,4.545,0.00561423393544512,922.2970046473123,5.5,2.580513639323935,5.5,0.07681539165916672,4.96125,0.03669547970695617
12,False,99.6396534760491,0.0,0.05467021879818462,3.623789049518036,0.03812180621696343,2.123789049518036,0.5525589429155175,0.5235873895977105,0.20418455176172445,0.01979981271660762,8.208349554158642e-06,Load Case 2,0.5,0.2328093456623542,0.5626635953204497,0.4555427243710865,0.916757240746954,0.9135194173780075,0.5529042373178176,0.08041421442985087,0.5602839646463974,0.4421223021428455,0.1442939666051555,Durability check failed: width ratio 2.417 exceeds 2.400.,227.03792542736926,4.5,10.482830106555813,4.5,0.010548731278787329,4.64625,0.004581764345001054,656.7711220156538,0.5,3.623789049518036,0.5,0.03812180621696343,4.68,0.016603601872319074
13,True,241.54598846587345,0.0,0.05757733941172556,4.898509071969166,0.0272338098835898,3.3985090719691664,0.6464998638925472,0.5828653673755574,0.08889504129031155,0.010581655411453587,0.0,Load Case 2,5.5,0.4137052939368223,0.6187158649957958,0.51750469458315,0.7004823567627715,0.9785040743187825,0.7508539332178004,0.07353616191828115,0.4789568352309541,0.5418484651617126,0.004406780574324232,,213.41007393590817,4.5,11.15223829927901,4.5,0.008875969682683962,4.4325,0.003698942581609762,485.862119480215,5.5,4.898509071969166,5.5,0.0272338098835898,4.73625,0.0116955839915851
14,False,239.26870077718635,236.471279985953,0.0424494113202085,0.9131568860334529,0.22517409792506313,0.0,0.33074642336308324,0.1345467383403386,0.11857629377486768,0.04504226762442006,2.473285410137144e-06,Load Case 2,4.5,0.5711971640032432,0.25143270561465825,0.5412664321411887,0.6550821988687786,0.46739321304485504,0.9513877194575726,0.07611310777732186,0.6434235572463761,0.3874012679662278,0.2811234229998767,Minimum factor of safety 0.913 is below the target 1.500. | Maximum deflection 0.22517 in exceeds the limit 0.14500 in. | Durability check failed: minimum residual web ligament 0.0897 in is below 0.0900 in.,1266.7352845366725,4.5,1.8788455875929286,4.5,0.059911277933159104,4.39875,0.0207925387063411,2606.3429366865776,4.5,0.9131568860334529,4.5,0.22517409792506313,4.601249999999999,0.07597340778023641
15,True,22.581992049725336,0.0,0.04920654090247031,2.416051635035472,0.07144791801543879,0.9160516350354722,0.47156627826754166,0.3062611810615183,0.14389108078412108,0.005168999558393857,0.0,Load Case 2,5.5,0.45684655168934835,0.4516430668137564,0.41977415081986236,0.9133384338688924,0.6826736806216542,0.4850226459970579,0.0707916944441557,0.2172863317851271,0.20554476684241266,0.4130213021860151,,439.79487626360867,4.5,5.411613750982974,4.5,0.02365289844060251,4.75875,0.010167471640059622,985.0782845396667,5.5,2.416051635035472,5.5,0.07144791801543879,4.9275,0.03157215060350895
16,False,17.1960037137994,15.997653647932523,0.03299668633199371,1.3535182231061664,0.16795473408023953,0.0,0.20869679684582856,0.04837601292464888,0.02688739925715039,0.0024321639519723423,0.00030636227650416935,Load Case 2,5.5,0.34453997157673744,0.3663863125008481,0.2913428092927901,0.4941501751823675,0.48376422061370644,0.5898833904336772,0.074558063291456,0.5006791539853925,0.4566306088504361,0.3549166829548604,Minimum factor of safety 1.354 is below the target 1.500. | Maximum deflection 0.16795 in exceeds the limit 0.14500 in. | Durability check failed: minimum residual web ligament 0.0861 in is below 0.0900 in.,899.084135649507,4.5,2.6471382439427265,4.5,0.06288953418566993,4.44375,0.02391350057230315,1758.380463129767,5.5,1.3535182231061664,5.5,0.16795473408023953,4.8374999999999995,0.07245733935087507
17,False,200.63396494502214,199.0150055453172,0.03553132534272283,1.0754475380989277,0.24935162149779294,0.0,0.23325314207542822,0.07256159501802761,0.014836578189679588,0.017245988920040114,0.0,Load Case 2,5.5,0.3695817855577829,0.2961999342212074,0.335435104949399,0.7402156007910279,0.4510002556232055,0.851942039451844,0.06030689727959834,0.26237981999850724,0.14097209024123133,0.228809198592744,Minimum factor of safety 1.075 is below the target 1.500. | Maximum deflection 0.24935 in exceeds the limit 0.14500 in.,1305.4072752302282,4.5,1.8231857943186744,4.5,0.07028380462370046,4.46625,0.024082987573069408,2213.032170966828,5.5,1.0754475380989277,5.5,0.24935162149779294,4.725,0.09587762075496377
