evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,129.00585488560856,126.71911516665685,0.032671756022494475,0.9965735104970005,0.23441165317402013,0.0,0.25596562114590826,0.2753737768650229,0.5506800732283323,0.04761262015620346,0.0068981485638008695,Load Case 2,4.5,0.3187564700388965,0.27028279782201625,0.7806475988923993,0.47716916050363295,0.48223845863875775,0.8253316823640698,0.061225113974176355,0.46082731736466787,0.42072463075697225,0.4545819105569115,Minimum factor of safety 0.997 is below the target 1.500. | Durability check failed: width ratio 2.888 exceeds 2.400.,1269.3261705089733,4.5,1.8750105806497865,4.5,0.07367682551741009,4.2299999999999995,0.02944804778891707,2388.1830842694903,4.5,0.9965735104970005,4.5,0.23441165317402013,4.28625,0.09026576430296211
2,False,1.408942497025529,0.09982254454067846,0.03558649477146939,1.4858704179438542,0.18474630212830911,0.0,0.18187372513168693,0.18187398664618837,0.14062304451459573,0.020790635228206178,0.0,Load Case 2,5.5,0.20371317504474062,0.34631654782668797,0.32558378827591894,0.6945648096456623,0.5154140356167585,1.0191953340508608,0.06282905648452108,0.251588258725009,0.21507054410914242,0.44393481182690997,Minimum factor of safety 1.486 is below the target 1.500.,909.1513525440125,4.5,2.6178259465161857,4.5,0.04858493757400087,4.33125,0.018394276708748575,1601.7547501170668,5.5,1.4858704179438542,5.5,0.18474630212830911,4.5112499999999995,0.07497722969659013
3,False,29.991099175972487,0.0,0.0387094945470524,2.408132680689062,0.06100711765652428,0.9081326806890622,0.4841452459071507,0.4841452459071507,0.16156791184088187,0.009397622373111956,0.003452522081837044,Load Case 2,5.5,0.7893115238106099,0.4810097471961977,0.46836870173455925,0.9494120409898301,0.8253866043660227,0.6619097224183268,0.04659451967652718,0.4746329561976823,0.28943072899580485,0.32035404531562356,Durability check failed: minimum shell area ratio 0.154 is below 0.180.,431.3525554357711,4.5,5.517528457888978,4.5,0.01823392264011079,4.69125,0.00748011961106008,988.3176367670022,5.5,2.408132680689062,5.5,0.06100711765652428,4.995,0.026919595347766754
4,True,779.5710747035758,0.0,0.08678546747664795,6.418662621897343,0.018542388785650073,4.918662621897343,0.7584318668260573,0.7570053835689817,0.07700093196151338,0.0040725128921685234,0.0,Load Case 2,5.5,0.8061106703348041,0.6614592049284198,0.7213174319842466,0.6050409448812817,0.8546473024029693,0.984159391211443,0.07912322680448715,0.06909604304790827,0.04467300627585125,0.0029538911980332974,,215.02896323982142,4.5,11.068276403981868,4.5,0.0091451533580909,4.33125,0.0037587212993957938,370.79375256156976,5.5,6.418662621897343,5.5,0.018542388785650073,4.7475,0.007445987419962143
5,True,136.35165249584264,0.0,0.05058072042378632,3.5328458897487334,0.03499189145985677,2.0328458897487334,0.5783432716407649,0.5805845613335916,0.12094712659731405,0.021198439516026565,0.0,Load Case 2,5.5,0.4542180040506555,0.7271532164182899,0.38608972431974253,0.767661816606861,0.4917950066095377,0.4505405130195118,0.07643511913138468,0.345690371108329,0.4854596005594093,0.22241766807038219,,492.5794557159599,4.5,4.831707803446027,4.5,0.033900761105028786,4.73625,0.014267673505762003,673.6778433800498,5.5,3.5328458897487334,5.5,0.03499189145985677,5.04,0.017273980792172777
6,True,20.307092660772028,0.0,0.03704644014000385,2.2299855742049046,0.05699303911803327,0.7299855742049046,0.45948317883816453,0.45967315536312725,0.17124579500285028,0.019903805131814396,0.0,Load Case 2,5.5,0.7606558875631843,0.6221605068634517,0.42344255561111854,0.867685104017047,0.4541330757958976,0.7297375261566514,0.046143188890860075,0.09218173560398132,0.2904138799143395,0.4849422227356526,,844.2227672681677,4.5,2.819161117511052,4.5,0.04771527751857073,4.601249999999999,0.017265545733932002,1067.2714781343743,5.5,2.2299855742049046,5.5,0.05699303911803327,4.995,0.025647136409407204
7,False,595.2308885409544,0.0,0.05525878095161607,5.782317876460731,0.020565660699981572,4.282317876460731,0.6579849308912289,0.6579849308912289,0.07931767058841087,0.04261949952886311,0.07489996424018511,Load Case 2,0.5,0.1985058219072621,0.7957889748986867,0.431396262690688,0.782651176845404,1.081590647125021,0.9964901307543645,0.06016800113938511,0.25021559569334906,0.46573716118445235,0.13343144059696313,Durability check failed: width ratio 4.009 exceeds 2.400.,178.16714042523532,4.5,13.358243244627506,4.5,0.006847973293979915,4.32,0.003043949664995418,411.5996475546173,0.5,5.782317876460731,0.5,0.020565660699981572,4.5675,0.01021126488894418
8,False,56.84113813716063,46.6734059070004,0.03445912112006589,1.194472895123852,0.28956727953534767,0.0,0.19112704003324985,0.19630410191726494,1.2228412933192672,0.08373223023844079,0.17525293625797111,Load Case 2,4.5,0.16962666254734185,0.20911362604702827,0.8245628048649223,0.870981909757623,1.0672959118186285,0.5958692343988559,0.04253900521671919,0.4442029252321126,0.1347976538929172,0.09026015760021744,Minimum factor of safety 1.194 is below the target 1.500. | Durability check failed: width ratio 4.861 exceeds 2.400.,472.9392315087611,4.5,5.032359003940892,4.5,0.017423499947614607,4.4325,0.007007698550070191,1992.510679577391,4.5,1.194472895123852,4.5,0.28956727953534767,4.08375,0.12746208791849423
9,True,40.05725926646214,0.0,0.05900458031226442,2.5641964501061896,0.06443203798207346,1.0641964501061896,0.5367842382727033,0.5367842382727033,0.2518663442798507,0.015715842262922754,0.0,Load Case 2,5.5,0.7908323625756535,0.45343064911140185,0.3504324784817377,0.9532968489284424,0.7261763408145494,0.974490639763977,0.0614236568215579,0.15710130832662603,0.027472956893736925,0.04814356495872148,,435.4139871760587,4.5,5.466062345483753,4.5,0.017483422776446014,4.5675,0.006381891293725602,928.1660146988498,5.5,2.5641964501061896,5.5,0.06443203798207346,5.02875,0.028872421858354123
10,True,108.68234792530559,0.0,0.05115069332191976,3.311358228336008,0.05686744469890052,1.8113582283360081,0.5197709819210027,0.5197709819210027,0.09980529803270113,0.01020774993329988,0.0,Load Case 2,5.5,0.3239267714632845,0.44648603591100366,0.44798295460432735,0.5670815315656813,1.0528598948339605,0.971298855582841,0.0636133061558809,0.06747462490522034,0.38122919147527934,0.17790811788593286,,248.0512338907871,4.5,9.594792022070227,4.5,0.010235085649680844,4.2299999999999995,0.004713297352009145,718.7383049148309,5.5,3.311358228336008,5.5,0.05686744469890052,4.59,0.023303402677022356
11,True,239.5911732223614,0.0,0.05952702458673724,4.2096692916923315,0.03325423701366586,2.7096692916923315,0.6539397797439817,0.6539397797439817,0.00934033744128458,0.011114433664609456,0.0,Load Case 2,5.5,0.7020673200911317,0.5022014028233223,0.68913805473132,0.8004385973918856,1.0298445034108463,0.66941002585228,0.06447980629759352,0.30800908747264144,0.22943218789308353,0.3810231535029681,,230.2525280349784,4.5,10.336477172743338,4.5,0.008877232856134655,4.5675,0.0036048090128678427,565.3650762298278,5.5,4.2096692916923315,5.5,0.03325423701366586,4.77,0.013350923707820742
12,True,36.639855046646744,0.0,0.058876300928272216,2.512806002435926,0.06965123710843169,1.012806002435926,0.5365466934738005,0.5365466934738005,0.09209948344847009,0.015996857708112915,0.0,Load Case 2,5.5,0.6588431616520298,0.3994000115996387,0.6217732563077871,0.9717953783086413,0.6486118370178131,0.6374816218944653,0.0713417505197928,0.11028108985132737,0.07603547031893876,0.35178577737146083,,517.9635290461173,4.5,4.594918110128358,4.5,0.023430389434547914,4.64625,0.008913589379715932,947.1483264895169,5.5,2.512806002435926,5.5,0.06965123710843169,4.75875,0.02670615493824676
13,False,39.11500195829294,0.0,0.03607925854883627,2.5301118875581237,0.05472883069706016,1.0301118875581237,0.4486214102480941,0.4486214102480941,0.38463608925244464,0.017428766945214585,0.039640964484692266,Load Case 2,8.5,0.7387273267921821,0.5676554256384978,0.20915643128163375,0.7081511654680948,1.010304458038546,1.0044809463007867,0.041950177236230866,0.20816933605148066,0.44943141003352255,0.32105939160873104,Durability check failed: minimum shell area ratio 0.158 is below 0.180. | Durability check failed: width ratio 3.532 exceeds 2.400.,327.35127673468827,4.5,7.270477218663616,4.5,0.012388499052572936,4.48875,0.004881446159555243,940.6698619549982,8.5,2.5301118875581237,8.5,0.05472883069706016,5.2425,0.02953750495641118
14,True,16.948076665684948,0.0,0.04351053698242401,2.1687698120746406,0.09039027025982008,0.6687698120746406,0.3702864752546354,0.3702864752546354,0.10121855233812077,0.023141628243575785,0.0,Load Case 2,5.5,0.3518748564680402,0.46833961771994026,0.21809602594948035,0.7948588924701168,0.6313480709329757,1.096137800150274,0.05802156678710317,0.04035826379925749,0.23527201228215627,0.2132943834746105,,553.6190192254202,4.5,4.298985254028858,4.5,0.026041043745303832,4.41,0.009717254018908448,1097.396315067341,5.5,2.1687698120746406,5.5,0.09039027025982008,4.93875,0.04237876672420945
15,False,22.78063614774793,19.308867621648858,0.0551182802421086,1.3034860431335786,0.12252505309660544,0.0,0.4738330454606251,0.47424505016253415,0.0955527933998166,0.05637405415263918,0.0019243883667615959,Load Case 2,4.5,0.8093223833935598,0.3044981597137044,0.6831171897834415,0.815370991216229,0.4813777288047076,1.0161073705130708,0.07351021886180854,0.40180067064741254,0.3826907828270285,0.020716422819494637,Minimum factor of safety 1.303 is below the target 1.500. | Durability check failed: width ratio 2.658 exceeds 2.400.,1049.756918184819,4.5,2.267191536222846,4.5,0.0436827211623958,4.455,0.014385381636415413,1825.8730214544403,4.5,1.3034860431335786,4.5,0.12252505309660544,4.635,0.04160571347376477
16,False,123.51453622410085,122.23938195241553,0.028241360514647276,1.0055520614818674,0.2611340478892217,0.0,0.15706246462255966,0.18162548934211115,0.08707458403722035,0.004875524773297018,0.0,Load Case 2,5.5,0.3163967081103308,0.3016130057085905,0.22541190616697,0.8774617845856355,0.6512487945200094,0.7044576632278121,0.04784006572852356,0.08117051655661861,0.36371824174566486,0.3995884938738305,Minimum factor of safety 1.006 is below the target 1.500.,837.5955092953099,4.5,2.8414670011809804,4.5,0.04146290300761639,4.6125,0.0159758913478645,2366.8590530187257,5.5,1.0055520614818674,5.5,0.2611340478892217,4.96125,0.11764696114245468
17,False,96.87273378593143,0.0,0.047662094838213626,3.1913154365036123,0.04477490445623083,1.6913154365036123,0.5305210477788083,0.5305210477788083,0.35268164381851813,0.015635800847359833,0.03147157312903342,Load Case 2,8.5,0.7004335454022148,0.5665697667281349,0.20344240957785062,0.8388151383053822,1.0443717570936644,1.093680130949859,0.05281137354322573,0.36952691102962393,0.3870060249115439,0.18143742025419832,Durability check failed: width ratio 3.443 exceeds 2.400.,252.21821938312237,4.5,9.436273104381696,4.5,0.008966031821186809,4.5,0.0034604508112593825,745.7739754511748,8.5,3.1913154365036123,8.5,0.04477490445623083,5.2425,0.02430900555510012
