evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,True,122.9770122486992,0.0,0.08398074160591204,4.009810753904815,0.04592337595519073,2.509810753904815,0.6376520987691033,0.514456317558861,0.030427460148798317,0.005752870402363417,0.0,Load Case 2,5.5,0.5011278933720518,0.4213712657204549,0.4841049599913648,0.6850217035011665,1.0792234738678013,0.9701436219544857,0.083366518738864,0.0,0.0,0.0,,194.69840037516923,4.5,12.224034688594864,4.5,0.0073343333435563094,4.365,0.0030839269918364323,593.5442209292096,5.5,4.009810753904815,5.5,0.04592337595519073,4.73625,0.01851638384552706
2,True,211.7837970069354,0.0,0.07864068373126147,4.840948446528138,0.02605461608944352,3.340948446528138,0.694586555124617,0.58717032110662,0.3451159094269382,0.02133557596977937,0.0,Load Case 2,5.5,0.37029056064718624,0.6879142975341077,0.7451301321633828,1.0303333357254258,0.5304431267020294,0.5005230851413985,0.08881717320777602,0.0,0.0,0.0,,402.50573532136826,4.5,5.912959223052468,4.5,0.023258395141251602,4.71375,0.009250589701537663,491.6391955603046,5.5,4.840948446528138,5.5,0.02605461608944352,4.64625,0.010369985525669513
3,False,19.197155090574707,17.78279154737772,0.0423497493484671,1.3439077663882335,0.1886651618427227,0.0,0.262746781416334,0.052700131485339655,0.07764258516256059,0.011060424168052209,0.0,Load Case 2,5.5,0.2626874036642308,0.3299320459185855,0.38057266934894096,0.9029358513913903,0.5277204217891771,0.6923183087688518,0.0602357721815768,0.0,0.0,0.0,Minimum factor of safety 1.344 is below the target 1.500. | Maximum deflection 0.18867 in exceeds the limit 0.16500 in.,926.2479503425511,4.5,2.569506360710232,4.5,0.0489203444477585,4.5675,0.017619739864987886,1770.9548672348812,5.5,1.3439077663882335,5.5,0.1886651618427227,4.6575,0.07299763113707473
4,True,3.688786002135253,0.0,0.07710572179165111,1.5137165886340904,0.15674651739401105,0.01371658863409042,0.43649428505028853,0.17047625411750528,0.02235880194608327,0.025616792984390575,0.0,Load Case 2,4.5,0.5253911553936236,0.24279573691465295,0.48477139076533116,0.8148649177393923,0.823181926329428,1.0189229671351854,0.08936105320507715,0.0,0.0,0.0,,419.25055097348195,4.5,5.676796355958844,4.5,0.015141768554942897,4.4325,0.0055619822511847865,1572.2890386948884,4.5,1.5137165886340904,4.5,0.15674651739401105,4.6575,0.05534577158864943
5,True,24.61652415248177,0.0,0.07106020780003927,2.5092893931912243,0.07086876137250077,1.0092893931912243,0.5394088392072163,0.3202514211921623,0.11357621000676024,0.022173671477083465,0.0,Load Case 2,5.5,0.674479241485124,0.43257179920335,0.4511928999789607,0.7263658635715018,0.4865077236959941,0.9748012755895623,0.08872180624399081,0.0,0.0,0.0,,694.9190139589954,4.5,3.424859519156048,4.5,0.03430287977088441,4.44375,0.011852571932669736,948.4756945364526,5.5,2.5092893931912243,5.5,0.07086876137250077,4.80375,0.02803551817984466
6,True,48.1691903889673,0.0,0.060912811431614734,3.005009194676355,0.054705472274600174,1.5050091946763549,0.5673101736599306,0.38758124348354006,0.008753325659685748,0.004697217975084123,0.0,Load Case 2,5.5,0.5333656189450933,0.492850227932764,0.5925728455336909,0.6935425860579069,0.5591287331924646,0.7686411361543023,0.0732595565496583,0.0,0.0,0.0,,547.3667990444064,4.5,4.348089807703,4.5,0.029052345365448644,4.455,0.01054733286130568,792.0108877591406,5.5,3.005009194676355,5.5,0.054705472274600174,4.68,0.021084589322973944
7,True,120.26194078010415,0.0,0.08651035520617717,3.984342961265421,0.047313988622582764,2.484342961265421,0.6237997706356007,0.4894107688352103,0.14509653753629959,0.006598322868998502,0.0,Load Case 2,5.5,0.4399901229949983,0.4651157267675935,0.5924939125329334,0.5405540276101232,0.6600723940549591,0.9480289462595861,0.10971890725101588,0.0,0.0,0.0,,354.1185287621979,4.5,6.720913498424273,4.5,0.01824739355860672,4.24125,0.007622778603314169,597.3381365855403,5.5,3.984342961265421,5.5,0.047313988622582764,4.5225,0.018079639320137512
8,True,40.06428398790289,0.0,0.07613966713453045,2.849005012530356,0.07157366331538745,1.3490050125303559,0.5217789595052787,0.386445952058565,0.2697204223068204,0.015965799481004316,0.0,Load Case 2,5.5,0.5770602857886497,0.3889443396589227,0.25810261441758603,0.5416450134943124,1.0283262961179063,0.9137269938352995,0.08451362828902512,0.0,0.0,0.0,,219.74093236539701,4.5,10.830936113634069,4.5,0.009245602877851746,4.3875,0.003952112403767982,835.3793656144511,5.5,2.849005012530356,5.5,0.07157366331538745,5.0962499999999995,0.034571965048757224
9,False,61.04190641310638,0.0,0.09059955540393017,3.209046359288512,0.051070324987812644,1.7090463592885121,0.6153662848119801,0.4456336813105998,0.07618431719327495,0.02895980588483701,0.0001327439558342744,Load Case 2,4.5,0.4231549419321773,0.47123349200012965,0.6597169975773274,1.0625503231521392,0.4853917667616916,0.9897030821993011,0.10664691985323006,0.0,0.0,0.0,Durability check failed: minimum residual web ligament 0.1360 in is below 0.1400 in.,602.7237588546307,4.5,3.9487409696985676,4.5,0.026311341469033786,4.48875,0.008616765874606042,741.6533553998507,4.5,3.209046359288512,4.5,0.051070324987812644,4.5562499999999995,0.018186957490576784
10,False,87.15888333859104,84.410932025357,0.06956610903690702,1.1230483887307243,0.20155772614113934,0.0,0.3860411418939145,0.11853955034501057,0.014601036545242503,0.03223371629710595,0.0,Load Case 2,4.5,0.47611647430948156,0.254430588158879,0.4757804875692333,0.850165512954459,0.5414816522648154,1.0034750217215915,0.09430174013167739,0.0,0.0,0.0,Minimum factor of safety 1.123 is below the target 1.500. | Maximum deflection 0.20156 in exceeds the limit 0.16500 in.,868.7685924923348,4.5,2.7395097158982513,4.5,0.036199045157277364,4.455,0.01225181515608501,2119.2319261415705,4.5,1.1230483887307243,4.5,0.20155772614113934,4.62375,0.06972023720328521
