evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.1987295966663935,1.5713743558142645,0.1987295966663935,1.751969354352632,1.6335498189206066,1.751969354352632,0.18103730232086232,0.815261174756154,0.36685437290485184,0.815261174756154,Wall thickness is too large for at least one tube width.,,,,,,,,,,,,,,
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,1.2818410453953424,0.24349977514371007,1.2818410453953424,0.544462037033616,1.2351116804504025,0.544462037033616,0.17845404464296136,0.6986932826689071,0.1838906846945122,0.6986932826689071,Wall thickness is too large for at least one tube width.,,,,,,,,,,,,,,
3,True,310.34425322643705,0.0,0.08046732387125309,7.724092095985386,0.01032410675939265,6.224092095985386,0.6984130962076605,0.8720105873056208,1.5291679319457046e-07,0.0037416137333358677,0.0,Load Case 2,5.5,0.8419913360679131,0.7648934728124093,0.8419913360679131,1.8400077364501872,1.4536172172543567,1.8400077364501872,0.05639170267263886,0.2720189737712912,0.48777080513125204,0.2720189737712912,,129.61213754205966,4.5,18.36247781368223,4.5,0.0024644504715401567,4.5,0.0008799205881292833,308.12682842518285,5.5,7.724092095985386,5.5,0.01032410675939265,4.7475,0.00411960218575781
4,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.4017245125137683,0.4500995163575029,0.4017245125137683,0.29810510247358446,0.6945016480437123,0.29810510247358446,0.09413594381006965,0.633068516626125,0.8797714052999328,0.633068516626125,Web openings are too large; keep a remaining ligament larger than 0.094 in.,,,,,,,,,,,,,,
5,True,114.07774287131994,0.0,0.09059780859739307,5.269038667865674,0.011995938165363198,3.769038667865674,0.6838504475786279,0.8345346994635862,3.4261148963141056e-06,0.12169864464207018,0.0,Load Case 2,8.5,0.2140398960601601,1.0569339419321022,0.2140398960601601,1.5206044383988306,0.6240571412124587,1.5206044383988306,0.07901129398320501,0.20477702857214872,0.06607900081219845,0.20477702857214872,,234.3356296189174,4.5,10.156372737130997,4.5,0.008509900393191931,4.5,0.0028753031786665465,451.69529965967496,8.5,5.269038667865674,8.5,0.011995938165363198,4.93875,0.00627161412746693
6,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.23950685122257337,0.9075995215724846,0.23950685122257337,0.5196327757769879,1.4013280613506627,0.5196327757769879,0.16974584291862302,0.42880915122525376,0.7994904500632667,0.42880915122525376,Wall thickness is too large for at least one tube width.,,,,,,,,,,,,,,
7,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.21670834243279952,0.9322560801137939,0.21670834243279952,2.1281209830648433,1.3910891116554802,2.1281209830648433,0.12937725918733423,0.7226546468557964,0.23630525771367372,0.7226546468557964,Wall thickness is too large for at least one tube width.,,,,,,,,,,,,,,
8,True,434.1889020512561,0.0,0.12144073977465866,8.863033349973414,0.007925767368083099,7.3630333499734135,0.7067608178315029,0.9311153776128578,4.4821190786347163e-07,0.006613995590663552,0.0,Load Case 2,8.5,0.5984209068720878,0.7680862903947816,0.5984209068720878,1.4010855011590115,1.5395484949678182,1.4010855011590115,0.10663164572928957,0.6817034495770882,0.17760465271945242,0.6817034495770882,,64.11437500599688,4.5,37.121160422719385,4.5,0.0015774097332733133,4.5,0.0006138303349857119,268.5310893033184,8.5,8.863033349973414,8.5,0.007925767368083099,4.8374999999999995,0.0034917752152515457
9,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.2988436375794896,1.3702246829049984,0.2988436375794896,1.2639943803435865,0.6755294350253852,1.2639943803435865,0.13266996079287274,0.6269618414738818,0.6412221745602759,0.6269618414738818,Web openings are too large; keep a remaining ligament larger than 0.133 in.,,,,,,,,,,,,,,
10,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.3361532581736657,0.2314374196220995,0.3361532581736657,2.095507337712796,1.0205727315054964,2.095507337712796,0.15572579576606568,0.42196810407414664,0.3222446259620101,0.42196810407414664,Wall thickness is too large for at least one tube width.,,,,,,,,,,,,,,
