evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,9.863510565588573,9.711983042739904,0.030133299453346692,1.3606301105493737,0.175349641512697,0.0,0.2023237056588694,0.32917698017731184,0.08282230564123846,0.003657290915360892,0.0,Load Case 2,5.5,0.3615369303849605,0.3453143566720718,0.31295001223083446,0.4608252668892421,0.6789603201539746,0.6714285002097988,0.04871392630764643,0.01084557729994278,0.1898213853292153,0.3463127562966853,Minimum factor of safety 1.361 is below the target 1.500.,694.576360454141,4.5,3.426549095975371,4.5,0.04082614910096921,4.365,0.017000886683542396,1749.1895714692373,5.5,1.3606301105493737,5.5,0.175349641512697,4.80375,0.0742982209869456
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.4835053699898365,0.5750677167632493,0.41891515061641105,0.6829887871824015,0.627484228270734,0.3418728575214884,0.09948695575721338,0.06171299515639761,0.46642716101159737,0.6742748027364618,Web openings are too large; keep a remaining ligament larger than 0.099 in.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.6970455929455631,0.349511091309904,0.534402945590749,0.6672538747393628,0.4063411821090086,0.3489322899861121,0.05921188666506534,0.27103830978162136,0.5716985044977425,0.6042160303237877,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
4,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.41487651802357606,0.5838687466663727,0.5485418389235202,0.3978531292635371,0.42641286520520044,0.27387498119679843,0.08055627724481484,0.5688307408318042,0.200521130549885,0.4713551222506873,Web openings are too large; keep a remaining ligament larger than 0.081 in.,,,,,,,,,,,,,,
5,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.4747197061175863,0.38074651899825385,0.5146460585662851,0.3433283676441896,0.6620482110508569,0.47455653641960027,0.0716501896157814,0.11008646470702348,0.3154491177010564,0.663897803608349,Web openings are too large; keep a remaining ligament larger than 0.072 in.,,,,,,,,,,,,,,
6,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.503304261875106,0.5953767462829038,0.5252138791952065,0.32814227914161903,0.28656874578377717,0.5430123133856847,0.08491541186820105,0.46438655133380896,0.6750593568742156,0.6222283637131378,Web openings are too large; keep a remaining ligament larger than 0.085 in.,,,,,,,,,,,,,,
7,True,0.250552350845376,0.0,0.03553676536816158,2.0253923108325522,0.10625751914694118,0.5253923108325522,0.3491580731192918,0.3752938182099464,0.19175963237793436,0.013790456383152974,0.0,Load Case 1,4.5,0.3965832736268883,0.5775024969020348,0.6479822232762621,0.35916698314935236,0.3427526335452935,0.6004453950432074,0.05719656056406901,0.4745967193132654,0.1303977729153817,0.33456801528731295,,1175.0809891352276,4.5,2.0253923108325522,4.5,0.10625751914694118,4.26375,0.0429905841278605,1043.0404320416537,5.5,2.2817907406919726,5.5,0.07178061972676318,4.4775,0.029098703726169527
8,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5267166337269612,0.33308289662298196,0.5455684789083998,0.6147420825793694,0.5343052886593143,0.42633354351809527,0.07463286017889545,0.31413961572032206,0.06518963527159549,0.8441461786207645,Web openings are too large; keep a remaining ligament larger than 0.075 in.,,,,,,,,,,,,,,
9,False,381.0403878557231,380.9211137810935,0.02017018513259289,0.6271642608358735,0.36060307063497343,0.0,0.15731445401750332,0.4058360883480892,0.25388196836052257,0.02846179224790241,9.430434173030646e-05,Load Case 2,5.5,0.7362239572203071,0.2990369285352622,0.38043707347001776,0.35931649697984847,0.3254064536799682,0.41194308076998,0.04286549254205854,0.4975078222532264,0.494940385399712,0.2777405627582873,Minimum factor of safety 0.627 is below the target 1.500. | Durability check failed: minimum residual web ligament 0.0605 in is below 0.0620 in.,2734.7167662072666,4.5,0.8702912233579431,4.5,0.23741896407300586,4.545,0.08501379343986798,3794.8590961289437,5.5,0.6271642608358735,5.5,0.36060307063497343,4.905,0.14551993978865357
10,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.6457901551597018,0.21112401875324266,0.612101100976759,0.23118722016019624,0.2841662951146614,0.43470796725595423,0.09611388208291831,0.4704436600612044,0.3212922163445443,0.8612510110049626,Web openings are too large; keep a remaining ligament larger than 0.096 in.,,,,,,,,,,,,,,
