evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.4175153749381058,1.1360124264423594,0.7178847597595847,0.6814608929745669,0.5930963384006003,0.8142770183462126,0.16829660576923144,0.7044603523910307,0.1720225576039327,0.6853663950121147,Web openings are too large; keep a remaining ligament larger than 0.168 in.,,,,,,,,,,,,,,
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.5209208995646303,1.1521200398885034,0.4042650027687726,1.034611630281561,0.4322346665310289,1.2257361926150963,0.12727831012522972,0.03226053329952003,0.39337933296407823,0.5436182678916451,Web openings are too large; keep a remaining ligament larger than 0.127 in.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.7017953621980808,0.9615860311109922,0.6373827689674028,0.4770284485043682,0.6369344958991461,0.9969581375096372,0.11988970441098218,0.09089335475338604,0.6930608697915387,0.30999659047704387,Web openings are too large; keep a remaining ligament larger than 0.120 in.,,,,,,,,,,,,,,
4,False,1302.8568734498476,0.0,0.06524127643401738,9.569345683276664,0.00801818200966527,8.069345683276664,0.7181852688992643,0.001478517755189573,Load Case 1,0.0,0.8688959051401172,1.0333181706218382,1.1501628507972033,0.6806264803590187,0.9543546436119656,0.7660971315922553,0.06006440506915184,0.7414259515790057,0.13357583859941963,0.3396536818720209,Durability check failed: minimum residual web ligament 0.0725 in is below 0.0800 in.,248.71083967206607,0.0,9.569345683276664,0.0,0.006960556477571762,3.89,0.0029288823976908293,241.92184325349163,5.0,9.837888005450495,5.0,0.00801818200966527,4.13,0.003197173670569514
5,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.0426934579053053,1.4362455864816344,0.9982418957854508,0.7238308201724519,0.8883058433580723,0.8883889808988739,0.11541215737710536,0.10075095232038743,0.7177595730030797,0.7308907097971299,Web openings are too large; keep a remaining ligament larger than 0.115 in.,,,,,,,,,,,,,,
6,False,2108.658465505571,0.0,0.09539622112150001,11.76573814882468,0.011001505748973975,10.26573814882468,0.8173133802464331,0.007301729032287826,Load Case 2,5.0,0.4116190589176955,0.8289752371704902,0.9852449376123611,0.4365929936777333,0.9976816941381981,1.0996127914424165,0.09740702701234552,0.08285317274147362,0.0934027814245403,0.22397727535102885,Durability check failed: height ratio 2.519 exceeds 2.100. | Durability check failed: width ratio 2.394 exceeds 2.250.,136.2864907700728,2.11,17.46321287276571,2.11,0.006288869580753411,3.38,0.0035716449619167838,202.28225121921028,5.0,11.76573814882468,5.0,0.011001505748973975,3.63,0.0057711747870105995
7,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.1620859668824428,0.40086161177435364,0.4440191029219524,1.190475396231666,1.0435328319444717,1.2352605115451152,0.15697288433584294,0.6356540984656727,0.26062342882063927,0.7218549296850214,Web openings are too large; keep a remaining ligament larger than 0.157 in.,,,,,,,,,,,,,,
8,True,116.87765897660451,0.0,0.08698192589180655,3.9130711175296993,0.02822729565570439,2.4130711175296993,0.5540544759867791,0.0,Load Case 2,4.0,0.9293890608114612,0.46380663322806315,1.0278842140036208,1.2222274196634115,0.6419258195474978,1.0978776247049526,0.10074024144811619,0.2646008812936112,0.2016045033663374,0.564152586831726,,389.48031929950145,4.0,6.110706708571414,4.0,0.012316988696237223,4.0200000000000005,0.004024472155409603,608.2179261547593,4.0,3.9130711175296993,4.0,0.02822729565570439,4.1,0.009507036162981208
9,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.3900458899324488,1.0427723805510851,0.5896891456979341,0.8228311542405791,0.931835889957662,0.6730321065753901,0.11102115560446699,0.4385332886252291,0.47647176361556004,0.7443601909047773,Web openings are too large; keep a remaining ligament larger than 0.111 in.,,,,,,,,,,,,,,
10,True,4989.927825709932,0.0,0.1349926176798284,17.29439507743128,0.004899669979401061,15.794395077431279,0.8908597542399197,0.0,Load Case 2,5.0,0.7620086985754252,1.074116797366531,1.1757415707743575,0.6107557425154918,0.8465764272254028,0.9601477608938378,0.13396071259734899,0.050507943042313944,0.3793572121164079,0.35934273418656115,,112.49547228232557,4.0,21.15640702433788,4.0,0.004899669979401061,3.72,0.00218246872948599,137.616839984524,5.0,17.29439507743128,5.0,0.004604908530874051,3.99,0.00192541780687122
