evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,True,16065.625289583591,0.0,0.18168838851686198,21.540409530868576,0.00396007038995067,20.040409530868576,0.9037932474387849,0.0,Load Case 2,5.0,0.555357466090287,1.0833701538542768,0.8511548803340554,1.0281870351436573,1.0583766124916203,1.1580379498503957,0.16591057992839015,0.02049529615853135,0.10782620830150247,0.3674771475164467,,66.86126815921989,4.0,35.596094204082306,4.0,0.0023156755603937615,3.89,0.0009409236150569937,110.49000700703164,5.0,21.540409530868576,5.0,0.00396007038995067,4.1,0.0017241271649847682
2,True,1713.4757298146221,0.0,0.08554629473529775,8.04374817586297,0.01029210235038665,6.543748175862969,0.7057199443615793,0.0,Load Case 2,8.0,0.9383087502527114,0.9390054111861036,0.4467469205846102,0.6012437625041331,0.783351791473154,1.1102043168169535,0.0957458055975122,0.4359540185344475,0.228533427211051,0.40119198762717234,,166.3712485633582,4.0,14.305356367471381,4.0,0.007538587401191927,3.81,0.003139109381002049,295.88196298110273,8.0,8.04374817586297,8.0,0.01029210235038665,4.58,0.005171134229966026
3,False,2089.258003663474,0.0,0.08037429176303111,8.72469875106885,0.01226624842913783,7.22469875106885,0.7102197097287578,0.015171437121923467,Load Case 2,8.0,0.5621555836653516,1.1647564929722598,0.40367588437492546,0.7822261759393838,0.5339824620870175,1.2404866793934426,0.09015056765328396,0.442146310196591,0.29987984136416146,0.21173621184935693,Durability check failed: height ratio 2.323 exceeds 2.100. | Durability check failed: width ratio 2.885 exceeds 2.250.,258.72537121898654,4.0,9.19894322225382,4.0,0.01226624842913783,3.83,0.00466493832739618,272.7887882327662,8.0,8.72469875106885,8.0,0.00905550086601718,4.41,0.004536705555981818
4,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.9395917148207574,0.6706301719230467,1.1632671893257587,0.4248679622400978,0.5843777873828283,0.7643789915382064,0.15310659139977706,0.43348970908047235,0.2035019441872944,0.6861208510945375,Web openings are too large; keep a remaining ligament larger than 0.153 in.,,,,,,,,,,,,,,
5,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.3669753538519491,1.342425985238563,1.1566189557932631,0.9967821071817327,0.577318605398239,0.4580211805125128,0.11224544087681143,0.6421418801924408,0.6240562338694287,0.043949085852360285,Web openings are too large; keep a remaining ligament larger than 0.112 in.,,,,,,,,,,,,,,
6,False,1491.64176074645,0.0,0.06646945701026047,7.600987302189851,0.011450190601211392,6.100987302189851,0.669985831561586,0.04314920329837072,Load Case 2,5.29,1.3182740420931807,1.016839853558408,0.393866057875269,0.421904751100177,1.014942709594483,0.5703254467768936,0.06946849964217651,0.1375236527126182,0.5716300594928556,0.04587131982924631,Durability check failed: height ratio 2.406 exceeds 2.100. | Durability check failed: width ratio 3.347 exceeds 2.250.,157.38773654170544,4.0,15.121889750090757,4.0,0.007294048236973469,4.12,0.0034606525048712367,313.1172182479926,5.29,7.600987302189851,5.29,0.011450190601211392,4.92,0.0070389022801865125
7,False,5123.7032824162,0.0,0.11826507957001095,12.815618087878327,0.00410874135795548,11.315618087878327,0.8820843934367919,0.023016827862256492,Load Case 2,0.0,0.42842094470763425,1.2437881741185546,1.3221685634031575,1.0512080794778424,0.9638775936437993,1.2011747363441256,0.09748664471367795,0.3852764564520778,0.24106345585476663,0.19768059358222423,Durability check failed: width ratio 3.086 exceeds 2.250.,98.6022264682267,4.0,24.13738599266746,4.0,0.0033592957424270027,3.83,0.0013800956980099415,185.71090240673814,0.0,12.815618087878327,0.0,0.00410874135795548,3.72,0.002104418607241997
8,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.7925574695098746,0.8239353472166795,1.002629074317651,1.1555588346290309,0.5178636011439244,0.8451999657428491,0.1173673391049469,0.10344462127943242,0.6483518783973496,0.12473938748360901,Web openings are too large; keep a remaining ligament larger than 0.117 in.,,,,,,,,,,,,,,
9,False,2769.3851543929177,0.0,0.08466264261163103,9.819643873459098,0.008548475795999252,8.319643873459098,0.7200009032600381,0.0013104756055575728,Load Case 2,5.0,0.785230682244106,1.1568533399720753,0.47227878889052166,1.0952956127058457,0.7913295371730922,0.7432926205162623,0.07613507085379849,0.10264404980920915,0.02042756599929477,0.1504449422836192,Durability check failed: width ratio 2.450 exceeds 2.250.,159.24919693832982,4.0,14.945130309961117,4.0,0.007252912196238543,4.23,0.003103809740000185,242.3713151586641,5.0,9.819643873459098,5.0,0.008548475795999252,4.72,0.004743252211463975
10,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.8455350374716317,0.7324339925119971,0.7749730645505997,0.42869588342133647,1.1197855288684921,0.9346586754678534,0.17057113529094547,0.12167830095493735,0.6893795448301254,0.4092527565286277,Web openings are too large; keep a remaining ligament larger than 0.171 in.,,,,,,,,,,,,,,
