evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.4633372745326638,0.7036021986084442,1.5630001573043968,0.9168011827316944,0.6414682780593831,0.6171721405958626,0.1430452815909116,0.6009058947093368,0.8268419370822304,0.39766048265230597,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
2,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.5497756689980426,1.1340114821520826,1.368844294404206,2.197907783147373,1.3532898052674462,1.7689523664535183,0.1927190627908775,0.771002467839927,0.7053062780325164,0.7983370660644576,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
3,True,1.2325732532792295,0.0,0.05547635977336885,8.888672302405986,0.012271708438723656,7.388672302405986,0.7103943804919406,Load Case 2,2.49,0.4011191699490755,0.48525581557833974,1.3239871155447642,0.9404178924466907,1.0907549557950829,0.5224700287269917,0.07251907020101686,0.2706012763330133,0.7187680351744907,0.16547136186604158,,247.69206696534897,4.0,9.60870499067276,4.0,0.007739158768056361,3.99,0.00308381952782745,267.756524149932,2.49,8.888672302405986,2.49,0.012271708438723656,3.22,0.0061490555985422995
4,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.5376220478815918,1.0527529299912781,0.9894406144116913,1.6887804907234711,0.40289615848186067,1.9421962910771553,0.11837561596276658,0.3525928130943701,0.5087137944524502,0.7648865610273088,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
5,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.4179341757859131,0.8261995294950449,1.095943149982734,0.694215496251501,0.9670817723274752,0.5978973385159149,0.06301799211889621,0.8943941823732419,0.7211335441528416,0.45383870085707007,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
6,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.0710318320531926,0.501957390294504,0.5090931067721199,2.184293897870735,1.8549048090817326,0.7792975833714948,0.1865878384211535,0.17141180172926157,0.17409263741885764,0.5791946107007931,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
7,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.5028314696490361,0.6674487305372874,1.0441043457015766,1.465031816444096,0.6546271919961772,1.25565319894475,0.11734521452173706,0.7174561294421196,0.751045469493655,0.21632173932968835,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
8,True,1.4588901895336281,0.0,0.09439514935749323,9.495862563194734,0.0074179593189357,7.995862563194734,0.7151556465512798,Load Case 1,0.0,1.3641760724162166,1.1718296362703264,1.2902491370032019,0.507738398814304,0.7798273764267896,0.8903236882415787,0.07855092439325452,0.6863685406754386,0.08222207540064724,0.3595052105632474,,250.6354724661565,0.0,9.495862563194734,0.0,0.0074179593189357,3.7800000000000002,0.0031754401550738625,67.96797163293928,2.49,35.01649295720018,2.49,0.001679351321607518,3.59,0.0007415788012792772
9,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.201031851902937,1.2932736855639555,1.0814171380264317,0.7545992987434814,0.47538958804622183,0.9883377280723328,0.12125237641017315,0.23788018489182786,0.5130328848632276,0.8652573449609829,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
10,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.2914094433569154,0.6285471470174622,0.6026476764651547,0.4516618437375357,1.0710886353024125,0.8655775403284729,0.18739064978463338,0.8625185362634799,0.14972214433085906,0.24570633238053916,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
