evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.1773373527059952,1.1820151456301242,0.40834956735699585,1.0877264638033433,1.0615809424451887,0.6651340741223108,0.16957567122391753,0.18418001479577856,0.4671173687569888,0.8568380886684543,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
2,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.49260860776369597,0.6783540009899609,1.0084565858384242,0.6620785512672066,0.6081675875727792,1.1081377332366729,0.15365379455656777,0.559892702298246,0.7452968123867753,0.4889038930403489,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.7567018599656041,0.7186829833705428,1.3166681756037892,0.8903010541082105,0.42795104885584767,1.232761399366335,0.14215994221545342,0.49644156816598417,0.6726331237963487,0.04460634719940306,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
4,True,2921.8879519320412,0.0,0.17223354101457997,17.102529780410066,0.004219652256290013,15.602529780410066,0.8969836160620512,Load Case 2,5.0,1.1164251903926479,0.9268023692991728,0.8110960698073424,1.0663339593617498,1.2669448141977935,0.9898063745734963,0.16671911313713472,0.318268386612047,0.40053853323218847,0.4801695100356966,,59.60274293724755,4.0,39.9310481818894,4.0,0.001769271564771431,4.09,0.000726142722081314,139.16069906372266,5.0,17.102529780410066,5.0,0.004219652256290013,4.47,0.0019046725979977516
5,True,990.1843041567231,0.0,0.07293642019750045,10.581550945173433,0.006600457257225315,9.081550945173433,0.8331137983197119,Load Case 2,5.0,0.6609128241669178,1.1646355045598318,0.8842205395076064,0.9749303731284693,1.08445284771788,0.540373173613074,0.06761398849737113,0.049472296588159916,0.5786276018738141,0.01542054484015358,,137.4304494334105,4.0,17.317850664187684,4.0,0.004981629162090098,4.24,0.0023554010306037557,224.91976954338537,5.0,10.581550945173433,5.0,0.006600457257225315,4.34,0.003047310370210901
6,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.7546284548905969,1.4498013069302567,0.8421131929327994,0.9431511205611689,0.5812194788465973,1.1016025304304518,0.1751342254433859,0.7320008821607127,0.8612657438412703,0.04981395989431083,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
7,True,1717.6257366218945,0.0,0.12297580842230081,13.461939034010774,0.0029535385434020316,11.961939034010774,0.8938707455697165,Load Case 2,8.0,1.1424461338307377,1.433124725426436,0.743840671118531,1.1763619395559002,1.2235100080111132,1.0222002194339026,0.08879748463914425,0.5057426508331736,0.006552633754819189,0.5128914908500172,,66.08291401304331,4.0,36.01536093777948,4.0,0.0021124032751021005,4.12,0.0008901515003646027,176.794739152144,8.0,13.461939034010774,8.0,0.0029535385434020316,4.62,0.0015252714079816432
8,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.4894683283872636,1.539131542673415,1.3003682967282995,0.9248569229861021,0.38329672542574866,0.785707911299226,0.17919335843018647,0.08774286369905211,0.19943340631173265,0.2270489357212809,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
9,True,421.00333367973275,0.0,0.10114907948750339,7.420027446515785,0.015918658873530684,5.920027446515785,0.6829699804854357,Load Case 1,4.0,0.9611830243694283,1.017454295072818,0.582889881989911,1.2991045369165786,0.47091025067793874,0.647342027634751,0.11175942758001003,0.21491204635962005,0.3074437326799811,0.3237086755407845,,320.7535305165986,4.0,7.420027446515785,4.0,0.015918658873530684,4.28,0.006256887007807799,293.2001688409835,5.0,8.117321382890431,5.0,0.00998173479719824,4.65,0.004947897510919688
10,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.2563531093281974,1.4394150840102125,0.5244837437854276,0.5932206935003992,1.1497484997146081,0.808280556467015,0.10100849295451934,0.8594180304647209,0.26110294974113774,0.0832451931436142,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
11,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.8015072168343167,1.3415263949116187,0.5371540189089545,0.6413452300904485,0.7055031458843677,1.2292991752454916,0.15565027544082266,0.7069357407631622,0.3536890008167594,0.7947455510104433,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
12,True,2.6767343291582284,0.0,0.08293427454914587,1.9457073623682042,0.049074302062446014,0.4457073623682042,0.419878840356845,Load Case 2,4.0,1.042570001164767,0.3787518543816771,1.1627851003187946,1.0076556546839086,0.45576033418062545,1.1761116846192083,0.09800325142111063,0.06828682991141359,0.5205169727542428,0.052394651929961525,,868.3718797857981,4.0,2.7407612514894844,4.0,0.02865074271532342,3.96,0.008948822728452155,1223.2055272192626,4.0,1.9457073623682042,4.0,0.049074302062446014,4.04,0.015240892720741472
13,True,1265.3539413772664,0.0,0.1759846357248321,11.766186769748206,0.008850319983821988,10.266186769748206,0.8857344906086254,Load Case 1,4.0,1.536864821688324,0.8505056121942361,1.4254900829008736,0.826395908892648,0.6200584506232039,0.6429857115835665,0.1636601734402671,0.05525490803159258,0.0820102839823044,0.03768251442121065,,202.27453860575864,4.0,11.766186769748206,4.0,0.008850319983821988,4.1,0.003244975318383858,183.3627205239205,4.0,12.979737610783966,4.0,0.005971939744497809,4.22,0.0022035314182478755
14,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.2918684838334418,0.8129330120001489,0.9873290505158149,1.2136928092198207,0.42484088639015677,1.2851390968383163,0.14192831214416096,0.22840867005105214,0.8108762278065855,0.3588426150256578,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
15,True,1834.432989314305,0.0,0.10794395710130048,13.862194380650742,0.004858042591396489,12.362194380650742,0.8776929945806063,Load Case 2,5.0,1.131116009608126,1.0875537426712305,1.045562379971562,0.6335948777200796,1.016239501388195,0.5650480923961572,0.1006574851275461,0.12049879219309943,0.5371823982175886,0.05106540851888612,,110.4178150955148,4.0,21.554492795761508,4.0,0.0044732814350243585,4.07,0.0019505629530812418,171.6899889473541,5.0,13.862194380650742,5.0,0.004858042591396489,4.36,0.002132429696008291
16,True,78.07400167105335,0.0,0.0709646250515339,4.04501705362688,0.03280851800610223,2.5450170536268804,0.5553908139640839,Load Case 2,5.0,1.120407410163564,0.3866438899677233,0.5991546854843575,0.9856729098242882,1.2655258665783382,0.7867795880199324,0.09667513617382754,0.7994316819806807,0.4978709961566379,0.39200733313817243,,152.9197812127763,4.0,15.563715701949706,4.0,0.004518756622950225,4.19,0.001922911251392087,588.3782363453876,5.0,4.04501705362688,5.0,0.03280851800610223,4.43,0.013380299305007504
17,True,1632.2899118572818,0.0,0.11115700115644757,13.160999353458806,0.007778097435809993,11.660999353458806,0.8637675994506282,Load Case 2,5.0,1.1609069930925995,1.2280912428879196,0.972821553045659,0.991064894578241,0.6608104296400319,0.6148325895332857,0.10601671670735535,0.3856714276717416,0.415516949232977,0.41628503758921503,,170.61518943060378,4.0,13.949520016024389,4.0,0.007778097435809993,4.22,0.0031885000334401503,180.83733127564653,5.0,13.160999353458806,5.0,0.0047541068627948305,4.47,0.002157933763937553
18,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.4137406677483142,1.2514765776009202,0.6639293125205055,0.43898426494829496,0.5219999517730938,0.9215202595127956,0.11721268614642479,0.8580792521140579,0.41957638925010216,0.2509194035503703,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
19,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.8981371066151024,1.460511567259838,0.3804690697528825,0.4670785849605242,1.0542301010109811,1.039275413987174,0.14310012861668925,0.6022872336341055,0.6817148967073344,0.2927991137047127,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
20,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.5766006267113553,1.5106692217490676,0.7598724332178788,0.6621401856597791,0.6437191195772451,0.8000849359436321,0.1489865543791601,0.8254576239492022,0.7150538152610133,0.39858320629676475,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
21,True,59.23582057054655,0.0,0.0451496374068458,3.71587351166904,0.026598249282539663,2.21587351166904,0.5390517930838402,Load Case 2,4.0,0.5617065854507651,0.601813947727925,0.7391203845946162,0.8024832251758075,0.9058065996213331,0.6874977354506562,0.06982550949500056,0.42970378005649656,0.8434775812825853,0.24737391708742812,,373.4101542230015,4.0,6.373688484589677,4.0,0.011057412300720285,4.01,0.004268845251178405,640.4954292782123,4.0,3.71587351166904,4.0,0.026598249282539663,4.16,0.010442923255164771
22,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.8865202872262308,0.4769443532733828,1.1601774233358748,0.9920751154309276,0.7495599377544412,1.0822281587220242,0.13313920166457682,0.8483498429238103,0.1420301764841794,0.21505340689173524,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
23,True,201.4222433689442,0.0,0.05753890314413199,5.593139609726735,0.008577106358885617,4.093139609726735,0.638404178465968,Load Case 2,5.0,0.8373304418117689,1.0121189687485619,1.1083071878749098,1.121483566560431,0.962553360647459,0.6186183861872189,0.06573703111933663,0.5582421709633174,0.86194857585873,0.5713617472836386,,331.3959493351048,4.0,7.181741372443162,4.0,0.0065641306408613645,4.19,0.0027756120542118262,425.52129323950135,5.0,5.593139609726735,5.0,0.008577106358885617,4.26,0.0035348976965100115
24,True,4047.2975354810974,0.0,0.11964267949072713,19.863761581238847,0.003818655431460342,18.363761581238847,0.8900397011991966,Load Case 2,5.0,0.4746987497454949,1.4138592957864287,0.9448986498659371,0.6854205714914239,0.9538525656885188,0.8506501446489712,0.1110807900419291,0.1386881218291383,0.4995215100337477,0.10998729772416124,,93.09142044627511,4.0,25.566265812578774,4.0,0.003818655431460342,3.7800000000000002,0.0017728341601306059,119.81617833391081,5.0,19.863761581238847,5.0,0.0035341862612975105,3.95,0.0018284226046119021
25,True,2121.370639912118,0.0,0.09952697314698111,14.794246950690484,0.006348457899473844,13.294246950690484,0.8541782153044574,Load Case 2,5.0,0.5418257196908773,0.9576773367321696,1.5707702551379739,0.41807558031355935,1.1203746940589574,0.5518765632640321,0.1021916980946234,0.2198905277235445,0.5665292654211159,0.2124269834379193,,127.08984071474588,0.0,18.72690992934619,0.0,0.00477111854494776,3.5500000000000003,0.0026760294783069257,160.87334542492002,5.0,14.794246950690484,5.0,0.006348457899473844,3.62,0.0032355096822490317
26,True,403.40078160331103,0.0,0.11947286808674294,7.294719388856579,0.01732106132564505,5.794719388856579,0.672070376280001,Load Case 1,4.0,1.1524774966771467,0.7068541439138853,0.9777277694557275,0.5257678106727633,0.5282846817577269,0.7466132567933624,0.15297903003801877,0.28878224443566225,0.1473055992674632,0.4633669072864113,,326.2634068742508,4.0,7.294719388856579,4.0,0.01732106132564505,3.9,0.006426932354214852,299.71408075400245,4.0,7.94090152191896,4.0,0.01300961161024267,4.22,0.004885001577453751
27,True,345.0987880085688,0.0,0.09234812838148038,6.859304539803658,0.01664250703645686,5.359304539803658,0.6813961517323393,Load Case 2,5.0,0.7682234860592176,0.5521940240195163,0.6175704404905705,0.6423368252280048,1.2508491859437854,0.9581509033165928,0.12288671930713364,0.33439517448840245,0.42318798082399917,0.6301042964817988,,104.49391517394712,4.0,22.776445844125018,4.0,0.0036695199990572015,3.86,0.00162287459454975,346.9739513953882,5.0,6.859304539803658,5.0,0.01664250703645686,4.33,0.006946682812194321
28,True,297.10015822579095,0.0,0.12816914244275088,6.471910488496269,0.0030000415300536643,4.971910488496269,0.666524431835443,Load Case 2,8.0,1.3859791395858485,1.5832765309630887,0.3845850275511215,1.258643475223783,1.073672273314889,1.1785078610672342,0.10300018426277249,0.06195281267000067,0.7564213096063976,0.35986137827557246,,118.43861480308868,4.0,20.094797663387848,4.0,0.002205090417848345,4.16,0.0009125739027734427,367.7430341829383,8.0,6.471910488496269,8.0,0.0030000415300536643,4.92,0.0019496127516123452
29,True,609.6917490860425,0.0,0.08425396796981864,8.625419115110756,0.012587859812635296,7.1254191151107555,0.6966486524874219,Load Case 2,5.0,1.0602355629098152,0.7825908488170348,1.2130196857443942,0.453593700031176,0.6699339175922727,0.8678144329661266,0.09263780034102567,0.22337135848410541,0.3887072622757473,0.41423437496789756,,254.57936307612684,4.0,9.348754632905216,4.0,0.012587859812635296,3.73,0.005351112219654922,275.928620770498,5.0,8.625419115110756,5.0,0.011116730791515378,4.08,0.004006630402014766
30,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.8681142685436833,0.7695809416822326,0.789052753656572,0.40345073462469094,1.2413578382678796,1.2731085472020822,0.15316322644388827,0.7472295672007397,0.348509366158677,0.5805304560971501,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
31,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.5467048122913303,1.596059523134318,1.2022507065495265,1.1313840556551895,0.6091145221535708,1.1991976181888107,0.13205139873630745,0.006842383685842103,0.7587859669248506,0.0564289433644154,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
32,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,1.2994941674766454,0.835229290366491,0.9390885576370095,0.824077756225593,0.7172410355797594,1.086113875891924,0.15005529398021297,0.6828626482076366,0.21002928315052008,0.11927180369795853,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
33,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.5142275310611962,0.5562434061621164,1.2745000370947386,1.2449298310984989,1.273371009063683,0.6253567504220721,0.15718820943705017,0.8120463985388559,0.6556666767947055,0.8145584759327797,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
34,True,42.31879783703734,0.0,0.08711326747494824,3.3697898370887582,0.01776516096815472,1.8697898370887582,0.5566323019950469,Load Case 2,4.0,1.5391122040074765,0.4346322691461867,1.3491201957358308,1.0414666720133994,1.1572220843351912,0.7376457164154281,0.08794537696057557,0.014511077393745329,0.8016210171694138,0.28664131541295096,,238.47761854034175,4.0,9.979972185932368,4.0,0.004956630967315086,4.12,0.0019086993343729944,706.275499381332,4.0,3.3697898370887582,4.0,0.01776516096815472,4.16,0.006068869152950351
35,True,729.5453992808583,0.0,0.12896902294108284,9.29454805978523,0.008960554279787283,7.79454805978523,0.7133535645939164,Load Case 2,4.0,1.3408220165420606,0.6608645895995178,1.5419270543509866,0.9007828223751044,0.8276813519824124,0.6655144916241943,0.12343524354932371,0.2648620768979008,0.39253072086069796,0.048605712033421566,,177.93215754026332,4.0,13.375884566911084,4.0,0.006275360304040879,4.07,0.0023465554156897744,256.06409098012614,4.0,9.29454805978523,4.0,0.008960554279787283,4.11,0.0030970940659038465
36,True,114.60260461317043,0.0,0.10536490350088128,4.584809526346741,0.01589248078684088,3.084809526346741,0.6092838871885443,Load Case 2,4.0,1.4319383183576861,0.49563366244457974,1.49875854975069,0.9108747147354743,0.7872174783859327,1.235173291644407,0.10719287324044399,0.4675835288710976,0.6911968338771398,0.10799833797588054,,292.18241538711123,4.0,8.145596294173789,4.0,0.0076293587220499694,3.92,0.002646615904795338,519.1055345534554,4.0,4.584809526346741,4.0,0.01589248078684088,4.0600000000000005,0.0050927687275610645
37,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.5359045959420973,0.9727426208610842,1.2959097747007118,0.8226285807557225,1.006965250636906,1.1895465948502495,0.1715880917307405,0.2871450874123982,0.7705697709765118,0.5151779086259834,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
38,True,4688.606139494609,0.0,0.19049427217906217,21.26519874380361,0.002696431668702502,19.76519874380361,0.9173372755209389,Load Case 1,0.0,0.8440455707383416,1.4919855715581511,1.4732694225148806,0.507839998540847,0.9944101560729541,1.0139865421715584,0.16174418866838236,0.35123489531255514,0.44107522119385506,0.48249045256515977,,111.91995093361166,0.0,21.26519874380361,0.0,0.002696431668702502,3.52,0.0014135490226780997,74.45943138088546,5.0,31.9637144128255,5.0,0.0018169746382047038,3.88,0.0008538225562405766
